borough,units_occupied_count,units_occupied_count_moe,units_occupied_count_cv,units_occupied_pct,units_occupied_pct_moe,units_occupied_owner_count,units_occupied_owner_count_moe,units_occupied_owner_count_cv,units_occupied_owner_pct,units_occupied_owner_pct_moe,units_occupied_renter_count,units_occupied_renter_count_moe,units_occupied_renter_count_cv,units_occupied_renter_pct,units_occupied_renter_pct_moe,units_occupied_wnh_count,units_occupied_wnh_count_moe,units_occupied_wnh_count_cv,units_occupied_wnh_pct,units_occupied_wnh_pct_moe,units_occupied_owner_wnh_count,units_occupied_owner_wnh_count_moe,units_occupied_owner_wnh_count_cv,units_occupied_owner_wnh_pct,units_occupied_owner_wnh_pct_moe,units_occupied_renter_wnh_count,units_occupied_renter_wnh_count_moe,units_occupied_renter_wnh_count_cv,units_occupied_renter_wnh_pct,units_occupied_renter_wnh_pct_moe,units_occupied_bnh_count,units_occupied_bnh_count_moe,units_occupied_bnh_count_cv,units_occupied_bnh_pct,units_occupied_bnh_pct_moe,units_occupied_owner_bnh_count,units_occupied_owner_bnh_count_moe,units_occupied_owner_bnh_count_cv,units_occupied_owner_bnh_pct,units_occupied_owner_bnh_pct_moe,units_occupied_renter_bnh_count,units_occupied_renter_bnh_count_moe,units_occupied_renter_bnh_count_cv,units_occupied_renter_bnh_pct,units_occupied_renter_bnh_pct_moe,units_occupied_anh_count,units_occupied_anh_count_moe,units_occupied_anh_count_cv,units_occupied_anh_pct,units_occupied_anh_pct_moe,units_occupied_owner_anh_count,units_occupied_owner_anh_count_moe,units_occupied_owner_anh_count_cv,units_occupied_owner_anh_pct,units_occupied_owner_anh_pct_moe,units_occupied_renter_anh_count,units_occupied_renter_anh_count_moe,units_occupied_renter_anh_count_cv,units_occupied_renter_anh_pct,units_occupied_renter_anh_pct_moe,units_occupied_hsp_count,units_occupied_hsp_count_moe,units_occupied_hsp_count_cv,units_occupied_hsp_pct,units_occupied_hsp_pct_moe,units_occupied_owner_hsp_count,units_occupied_owner_hsp_count_moe,units_occupied_owner_hsp_count_cv,units_occupied_owner_hsp_pct,units_occupied_owner_hsp_pct_moe,units_occupied_renter_hsp_count,units_occupied_renter_hsp_count_moe,units_occupied_renter_hsp_count_cv,units_occupied_renter_hsp_pct,units_occupied_renter_hsp_pct_moe
BX,462443,4487,0.6,100,,90497,2321,1.6,19.6,0.5,371946,2321,0.4,80.4,0.9,86436,2281,1.6,100,,33094,1508,2.8,38.3,1.4,53342,1869,2.1,61.7,1.4,150988,2744,1.1,100,,30295,1448,2.9,20.1,0.9,120693,2570,1.3,79.9,0.9,10703,880,5.0,100,,2515,430.0,10.4,23.5,3.5,8188,772,5.7,76.5,3.5,201022,2659,0.8,100,,21653,1236,3.5,10.8,0.6,179369,2851,1.0,89.2,0.8
BK,878924,5661,0.4,100,,239333,3591,0.9,27.2,0.4,639591,3591,0.3,72.8,0.6,355562,3959,0.7,100,,126466,2831,1.4,35.6,0.7,229096,3541,0.9,64.4,0.7,297070,3816,0.8,100,,68216,2158,1.9,23.0,0.7,228854,3540,0.9,77.0,0.7,50712,1881,2.3,100,,18186,1148.0,3.8,35.9,1.8,32526,1523,2.8,64.1,1.8,144608,2742,1.2,100,,19265,1181,3.7,13.3,0.8,125343,2821,1.4,86.7,1.1
MN,740737,5362,0.4,100,,149356,2971,1.2,20.2,0.4,591381,2971,0.3,79.8,0.7,419951,3669,0.5,100,,120771,2736,1.4,28.8,0.6,299180,3634,0.7,71.2,0.6,103009,2562,1.5,100,,9279,824,5.4,9.0,0.8,93730,2462,1.6,91.0,0.8,59025,2005,2.1,100,,9242,822.0,5.4,15.7,1.3,49783,1854,2.3,84.3,1.3,141089,2666,1.1,100,,8205,775,5.7,5.8,0.5,132884,2841,1.3,94.2,0.9
QN,781069,5457,0.4,100,,334798,3763,0.7,42.9,0.4,446271,3763,0.5,57.1,0.3,330171,3757,0.7,100,,164800,3103,1.1,49.9,0.7,165371,3107,1.1,50.1,0.7,138240,2902,1.3,100,,67238,2133,1.9,48.6,1.2,71002,2186,1.9,51.4,1.2,116078,2705,1.4,100,,50154,1864.0,2.3,43.2,1.3,65924,2114,1.9,56.8,1.3,156629,2791,1.1,100,,36033,1595,2.7,23.0,0.9,120596,2748,1.4,77.0,1.1
SI,157807,2773,1.1,100,,100434,1644,1.0,63.6,1.5,57373,1644,1.7,36.4,0.8,119987,1459,0.7,100,,84312,1705,1.2,70.3,1.1,35675,1430,2.4,29.7,1.1,13058,942,4.4,100,,4161,548,8.0,31.9,3.5,8897,788,5.4,68.1,3.5,7232,715,6.0,100,,4955,596.0,7.3,68.5,4.7,2277,408,10.9,31.5,4.7,14349,901,3.8,100,,5779,642,6.8,40.3,3.7,8570,775,5.5,59.7,3.9
