borough,units_occupied_0812_count,units_occupied_0812_count_moe,units_occupied_0812_count_cv,units_occupied_0812_pct,units_occupied_0812_pct_moe,units_notovercrowded_0812_count,units_notovercrowded_0812_count_moe,units_notovercrowded_0812_count_cv,units_notovercrowded_0812_pct,units_notovercrowded_0812_pct_moe,units_overcrowded_0812_count,units_overcrowded_0812_count_moe,units_overcrowded_0812_count_cv,units_overcrowded_0812_pct,units_overcrowded_0812_pct_moe,units_occupied_0812_wnh_count,units_occupied_0812_wnh_count_moe,units_occupied_0812_wnh_count_cv,units_occupied_0812_wnh_pct,units_occupied_0812_wnh_pct_moe,units_notovercrowded_0812_wnh_count,units_notovercrowded_0812_wnh_count_moe,units_notovercrowded_0812_wnh_count_cv,units_notovercrowded_0812_wnh_pct,units_notovercrowded_0812_wnh_pct_moe,units_overcrowded_0812_wnh_count,units_overcrowded_0812_wnh_count_moe,units_overcrowded_0812_wnh_count_cv,units_overcrowded_0812_wnh_pct,units_overcrowded_0812_wnh_pct_moe,units_occupied_0812_bnh_count,units_occupied_0812_bnh_count_moe,units_occupied_0812_bnh_count_cv,units_occupied_0812_bnh_pct,units_occupied_0812_bnh_pct_moe,units_notovercrowded_0812_bnh_count,units_notovercrowded_0812_bnh_count_moe,units_notovercrowded_0812_bnh_count_cv,units_notovercrowded_0812_bnh_pct,units_notovercrowded_0812_bnh_pct_moe,units_overcrowded_0812_bnh_count,units_overcrowded_0812_bnh_count_moe,units_overcrowded_0812_bnh_count_cv,units_overcrowded_0812_bnh_pct,units_overcrowded_0812_bnh_pct_moe,units_occupied_0812_hsp_count,units_occupied_0812_hsp_count_moe,units_occupied_0812_hsp_count_cv,units_occupied_0812_hsp_pct,units_occupied_0812_hsp_pct_moe,units_notovercrowded_0812_hsp_count,units_notovercrowded_0812_hsp_count_moe,units_notovercrowded_0812_hsp_count_cv,units_notovercrowded_0812_hsp_pct,units_notovercrowded_0812_hsp_pct_moe,units_overcrowded_0812_hsp_count,units_overcrowded_0812_hsp_count_moe,units_overcrowded_0812_hsp_count_cv,units_overcrowded_0812_hsp_pct,units_overcrowded_0812_hsp_pct_moe,units_occupied_0812_anh_count,units_occupied_0812_anh_count_moe,units_occupied_0812_anh_count_cv,units_occupied_0812_anh_pct,units_occupied_0812_anh_pct_moe,units_notovercrowded_0812_anh_count,units_notovercrowded_0812_anh_count_moe,units_notovercrowded_0812_anh_count_cv,units_notovercrowded_0812_anh_pct,units_notovercrowded_0812_anh_pct_moe,units_overcrowded_0812_anh_count,units_overcrowded_0812_anh_count_moe,units_overcrowded_0812_anh_count_cv,units_overcrowded_0812_anh_pct,units_overcrowded_0812_anh_pct_moe,units_occupied_1519_count,units_occupied_1519_count_moe,units_occupied_1519_count_cv,units_occupied_1519_pct,units_occupied_1519_pct_moe,units_notovercrowded_1519_count,units_notovercrowded_1519_count_moe,units_notovercrowded_1519_count_cv,units_notovercrowded_1519_pct,units_notovercrowded_1519_pct_moe,units_overcrowded_1519_count,units_overcrowded_1519_count_moe,units_overcrowded_1519_count_cv,units_overcrowded_1519_pct,units_overcrowded_1519_pct_moe,units_occupied_1519_wnh_count,units_occupied_1519_wnh_count_moe,units_occupied_1519_wnh_count_cv,units_occupied_1519_wnh_pct,units_occupied_1519_wnh_pct_moe,units_notovercrowded_1519_wnh_count,units_notovercrowded_1519_wnh_count_moe,units_notovercrowded_1519_wnh_count_cv,units_notovercrowded_1519_wnh_pct,units_notovercrowded_1519_wnh_pct_moe,units_overcrowded_1519_wnh_count,units_overcrowded_1519_wnh_count_moe,units_overcrowded_1519_wnh_count_cv,units_overcrowded_1519_wnh_pct,units_overcrowded_1519_wnh_pct_moe,units_occupied_1519_bnh_count,units_occupied_1519_bnh_count_moe,units_occupied_1519_bnh_count_cv,units_occupied_1519_bnh_pct,units_occupied_1519_bnh_pct_moe,units_notovercrowded_1519_bnh_count,units_notovercrowded_1519_bnh_count_moe,units_notovercrowded_1519_bnh_count_cv,units_notovercrowded_1519_bnh_pct,units_notovercrowded_1519_bnh_pct_moe,units_overcrowded_1519_bnh_count,units_overcrowded_1519_bnh_count_moe,units_overcrowded_1519_bnh_count_cv,units_overcrowded_1519_bnh_pct,units_overcrowded_1519_bnh_pct_moe,units_occupied_1519_hsp_count,units_occupied_1519_hsp_count_moe,units_occupied_1519_hsp_count_cv,units_occupied_1519_hsp_pct,units_occupied_1519_hsp_pct_moe,units_notovercrowded_1519_hsp_count,units_notovercrowded_1519_hsp_count_moe,units_notovercrowded_1519_hsp_count_cv,units_notovercrowded_1519_hsp_pct,units_notovercrowded_1519_hsp_pct_moe,units_overcrowded_1519_hsp_count,units_overcrowded_1519_hsp_count_moe,units_overcrowded_1519_hsp_count_cv,units_overcrowded_1519_hsp_pct,units_overcrowded_1519_hsp_pct_moe,units_occupied_1519_anh_count,units_occupied_1519_anh_count_moe,units_occupied_1519_anh_count_cv,units_occupied_1519_anh_pct,units_occupied_1519_anh_pct_moe,units_notovercrowded_1519_anh_count,units_notovercrowded_1519_anh_count_moe,units_notovercrowded_1519_anh_count_cv,units_notovercrowded_1519_anh_pct,units_notovercrowded_1519_anh_pct_moe,units_overcrowded_1519_anh_count,units_overcrowded_1519_anh_count_moe,units_overcrowded_1519_anh_count_cv,units_overcrowded_1519_anh_pct,units_overcrowded_1519_anh_pct_moe
BX,473280,1380,0.2,100,,419240,2497,0.4,88.6,0.5,54040,2130,2.4,11.4,0.4,64224,1243,1.2,100,,62132,1284,1.3,96.7,0.7,2092,345.0,10.0,3.3,0.5,149658,1610,0.7,100,,136536,2119,0.9,91.2,1.0,13122,1103.0,5.1,8.8,0.7,237359,1879,0.5,100,,202270,2448,0.7,85.2,0.8,35089,1704,3.0,14.8,0.7,13980,671,2.9,100,,11102,777,4.3,79.4,4.0,2878,446,9.4,20.6,3.0,503830,1324,0.2,100,,439202,2713,0.4,87.2,0.5,64628,2537,2.4,12.8,0.5,55297,1154,1.3,100,,52453,1212,1.4,94.9,0.9,2844,458,9.8,5.1,0.8,155473,2210,0.9,100,,140584,2408,1.0,90.4,0.9,14889,1214.0,5.0,9.6,0.8,268703,2097,0.5,100,,226063,2756,0.7,84.1,0.8,42640,2136,3.0,15.9,0.8,15104,663,2.7,100,,11824,633,3.3,78.3,2.4,3280,399,7.4,21.7,2.5
BK,911992,2148,0.1,100,,816395,3288,0.2,89.5,0.3,95597,2424,1.5,10.5,0.3,361351,2087,0.4,100,,335132,2489,0.5,92.7,0.4,26219,1225.0,2.8,7.3,0.3,298213,2188,0.4,100,,270973,2428,0.5,90.9,0.5,27240,1546.0,3.5,9.1,0.5,162829,1986,0.7,100,,138184,2317,1.0,84.9,1.0,24645,1306,3.2,15.1,0.8,75209,1217,1.0,100,,59026,1391,1.4,78.5,1.3,16183,930,3.5,21.5,1.2,958564,2489,0.2,100,,861498,3238,0.2,89.9,0.2,97066,2698,1.7,10.1,0.3,380745,2264,0.4,100,,351497,2576,0.4,92.3,0.4,29248,1396,2.9,7.7,0.4,297999,2247,0.5,100,,274064,2485,0.6,92.0,0.5,23935,1352.0,3.4,8.0,0.4,163999,1792,0.7,100,,141190,1765,0.8,86.1,0.5,22809,1275,3.4,13.9,0.8,92214,1371,0.9,100,,73451,1455,1.2,79.7,1.0,18763,904,2.9,20.3,0.9
MN,738133,3595,0.3,100,,697197,3975,0.3,94.5,0.3,40936,1921,2.9,5.5,0.3,414712,2604,0.4,100,,403078,2838,0.4,97.2,0.3,11634,1276.0,6.7,2.8,0.3,87702,1683,1.2,100,,82778,1772,1.3,94.4,0.9,4924,596.0,7.4,5.6,0.7,142659,2110,0.9,100,,126014,2452,1.2,88.3,1.1,16645,1287,4.7,11.7,0.9,78646,1999,1.5,100,,71501,2169,1.8,90.9,1.5,7145,668,5.7,9.1,0.8,759461,4628,0.4,100,,715264,4795,0.4,94.2,0.3,44197,2048,2.8,5.8,0.3,412657,2995,0.4,100,,399183,3391,0.5,96.7,0.4,13474,1271,5.7,3.3,0.3,85138,1908,1.4,100,,81015,1956,1.5,95.2,0.9,4123,659.0,9.7,4.8,0.8,155122,2999,1.2,100,,138899,3165,1.4,89.5,1.1,16223,1351,5.1,10.5,0.8,89120,2075,1.4,100,,79543,2354,1.8,89.3,1.6,9577,1124,7.1,10.7,1.2
QN,776312,1728,0.1,100,,707114,2408,0.2,91.1,0.2,69198,2093,1.8,8.9,0.3,275963,1982,0.4,100,,267964,2032,0.5,97.1,0.2,7999,726.0,5.5,2.9,0.3,131175,1513,0.7,100,,122901,1692,0.8,93.7,0.7,8274,897.0,6.6,6.3,0.7,183259,1885,0.6,100,,154942,2065,0.8,84.5,0.7,28317,1455,3.1,15.5,0.8,160301,1975,0.7,100,,138171,2173,1.0,86.2,0.8,22130,919,2.5,13.8,0.5,778961,2365,0.2,100,,706967,3040,0.3,90.8,0.3,71994,2270,1.9,9.2,0.3,251361,1889,0.5,100,,242329,2060,0.5,96.4,0.4,9032,822,5.5,3.6,0.3,129259,1409,0.7,100,,122127,1471,0.7,94.5,0.5,7132,685.0,5.8,5.5,0.5,188245,2449,0.8,100,,160242,2902,1.1,85.1,1.1,28003,1477,3.2,14.9,0.8,182026,1910,0.6,100,,156900,1968,0.8,86.2,0.6,25126,1113,2.7,13.8,0.6
SI,163674,904,0.3,100,,158585,1141,0.4,96.9,0.4,5089,602,7.2,3.1,0.4,112264,1108,0.6,100,,111140,1155,0.6,99.0,0.3,1124,334.0,18.1,1.0,0.3,15671,619,2.4,100,,14494,741,3.1,92.5,3.0,1177,371.0,19.2,7.5,2.4,23615,823,2.1,100,,21760,932,2.6,92.1,2.3,1855,368,12.1,7.9,1.5,10260,510,3.0,100,,9453,555,3.6,92.1,2.9,807,221,16.7,7.9,2.1,166244,1097,0.4,100,,159106,1204,0.5,95.7,0.4,7138,776,6.6,4.3,0.5,110692,1053,0.6,100,,108025,1165,0.7,97.6,0.5,2667,508,11.6,2.4,0.5,15331,765,3.0,100,,14481,751,3.2,94.5,1.3,850,292.0,20.9,5.5,1.9,25190,878,2.1,100,,22964,985,2.6,91.2,2.3,2226,496,13.5,8.8,1.9,12971,474,2.2,100,,11667,524,2.7,89.9,2.4,1304,338,15.7,10.1,2.6
