borough,units_rentstable,units_rentstable_cv,units_rentstable_moe,units_rentstable_pct,units_rentstable_pct_moe,units_occurental,units_occurental_cv,units_occurental_moe
BX,229429,3,14006,47.2,2.7,378751.94,1.06,8019.07
BK,281556,3,18713,30.0,2.0,664969.62,0.94,12438.29
MN,244776,3,16793,33.0,2.3,559220.0,1.09,12093.55
QN,180453,4,15582,23.1,1.9,439257.03,1.23,10785.61
SI,10300,27,5499,6.4,3.4,61675.34,3.92,4818.24
