borough,units_renteroccu_count,units_renteroccu_moe,units_renteroccu_cv,units_renteroccu_pct,units_renteroccu_pct_moe,units_affordable_eli_count,units_affordable_eli_moe,units_affordable_eli_cv,units_affordable_eli_pct,units_affordable_eli_pct_moe,units_affordable_vli_count,units_affordable_vli_moe,units_affordable_vli_cv,units_affordable_vli_pct,units_affordable_vli_pct_moe,units_affordable_li_count,units_affordable_li_moe,units_affordable_li_cv,units_affordable_li_pct,units_affordable_li_pct_moe,units_affordable_mi_count,units_affordable_mi_moe,units_affordable_mi_cv,units_affordable_mi_pct,units_affordable_mi_pct_moe,units_affordable_midi_count,units_affordable_midi_moe,units_affordable_midi_cv,units_affordable_midi_pct,units_affordable_midi_pct_moe,units_affordable_hi_count,units_affordable_hi_moe,units_affordable_hi_cv,units_affordable_hi_pct,units_affordable_hi_pct_moe
BX,396293,2602,0.4,68.5,,75745,2294,1.8,19.1,0.6,69338,2305,2.0,17.5,0.6,193384,3865,1.2,48.8,0.9,55095,1939,2.1,13.9,0.5,2389,447,11.4,0.6,0.1,342,172.0,30.6,0.1,0.0
BK,654119,3616,0.3,54.6,,94354,2696,1.7,14.4,0.4,88276,2763,1.9,13.5,0.4,247130,3686,0.9,37.8,0.5,154087,2885,1.1,23.6,0.4,51954,1774,2.1,7.9,0.3,18318,1095.0,3.6,2.8,0.2
MN,566695,5122,0.5,63.7,,83717,2899,2.1,14.8,0.5,73555,2916,2.4,13.0,0.5,108506,3662,2.1,19.1,0.6,114751,3222,1.7,20.2,0.5,103176,3674,2.2,18.2,0.6,82990,2835.0,2.1,14.6,0.5
QN,415610,3640,0.5,37.7,,27371,1506,3.3,6.6,0.4,45013,1755,2.4,10.8,0.4,173853,3325,1.2,41.8,0.7,148491,3336,1.4,35.7,0.7,17049,1120,4.0,4.1,0.3,3833,516.0,8.2,0.9,0.1
SI,48973,1629,2.0,23.0,,8453,727,5.2,17.3,1.4,6895,918,8.1,14.1,1.8,22764,1272,3.4,46.5,2.1,10173,957,5.7,20.8,1.8,596,257,26.2,1.2,0.5,92,98.0,64.6,0.2,0.2
