,boro,classa_net_all,classa_net_alteration_decrease,classa_net_alteration_increase,classa_net_demolition,classa_net_new_building,net_change_pct_2010_census_housing_stock_all,net_change_pct_2010_census_housing_stock_alteration_decrease,net_change_pct_2010_census_housing_stock_alteration_increase,net_change_pct_2010_census_housing_stock_demolition,net_change_pct_2010_census_housing_stock_new_building,borough,fraction_area_historic,total_area_historic
0,MN,98180.0,-6291.0,13235.0,-5624.0,96860.0,11.59,-0.74,1.56,-0.66,11.43,BK,0.0310643886018526,2.155264826286639
1,BX,51579.0,-296.0,1069.0,-2231.0,53037.0,10.08,-0.06,0.21,-0.44,10.36,BX,0.0095290061800521,0.4057907056270209
2,BK,115064.0,-2522.0,11389.0,-8000.0,114197.0,11.5,-0.25,1.14,-0.8,11.42,MN,0.1236853917346223,2.8244331336144777
3,QN,68696.0,-605.0,5574.0,-6098.0,69825.0,8.23,-0.07,0.67,-0.73,8.36,QN,0.0095281674209814,1.0392871863549742
4,SI,11997.0,-97.0,258.0,-2802.0,14638.0,6.79,-0.05,0.15,-1.59,8.29,SI,0.0105135468154345,0.6120676903924341
