puma,extremely_low_income_units_new_construction,extremely_low_income_units_preservation,very_low_income_units_new_construction,very_low_income_units_preservation,low_income_units_new_construction,low_income_units_preservation,moderate_income_units_new_construction,moderate_income_units_preservation,middle_income_units_new_construction,middle_income_units_preservation,other_income_units_new_construction,other_income_units_preservation,area_historic_pct,total_area_historic_sq_miles,classa_net_all,classa_net_alteration_decrease,classa_net_alteration_increase,classa_net_demolition,classa_net_new_building,net_change_pct_2010_census_housing_stock_all,net_change_pct_2010_census_housing_stock_alteration_decrease,net_change_pct_2010_census_housing_stock_alteration_increase,net_change_pct_2010_census_housing_stock_demolition,net_change_pct_2010_census_housing_stock_new_building
03701,121.0,0.0,14.0,283.0,226.0,117.0,29.0,41.0,33.0,352.0,3.0,5.0,5.62,0.1974091022009598,1982.0,-13.0,40.0,-201.0,2156.0,4.31,-0.03,0.09,-0.44,4.69
03702,226.0,8.0,44.0,332.0,263.0,395.0,10.0,24.0,53.0,0.0,5.0,2.0,0.0,0.0,3919.0,-13.0,116.0,-294.0,4110.0,7.48,-0.02,0.22,-0.56,7.85
03703,0.0,75.0,0.0,10671.0,0.0,4867.0,0.0,5.0,17.0,0.0,0.0,1.0,0.0,0.0,1866.0,-6.0,83.0,-242.0,2031.0,3.72,-0.01,0.17,-0.48,4.05
03704,0.0,0.0,0.0,171.0,4.0,58.0,33.0,5.0,33.0,0.0,1.0,0.0,0.0,0.0,1499.0,-17.0,62.0,-225.0,1679.0,3.15,-0.04,0.13,-0.47,3.53
03705,2409.0,900.0,637.0,1602.0,2725.0,2640.0,152.0,449.0,121.0,17.0,40.0,48.0,0.26,0.0115818730456285,15122.0,-47.0,141.0,-359.0,15387.0,26.47,-0.08,0.25,-0.63,26.93
03706,597.0,57.0,335.0,228.0,675.0,731.0,187.0,21.0,54.0,11.0,14.0,17.0,0.06,0.0009103882276795,3408.0,-14.0,136.0,-212.0,3498.0,7.46,-0.03,0.3,-0.46,7.66
03707,559.0,202.0,216.0,1273.0,978.0,2289.0,145.0,72.0,112.0,17.0,14.0,45.0,0.23,0.0034470025514145,4175.0,-44.0,92.0,-184.0,4311.0,9.14,-0.1,0.2,-0.4,9.44
03708,751.0,1074.0,311.0,1302.0,1049.0,1635.0,250.0,136.0,80.0,0.0,13.0,48.0,7.37,0.1476444870834357,5420.0,-10.0,121.0,-112.0,5421.0,11.03,-0.02,0.25,-0.23,11.04
03709,525.0,573.0,90.0,2336.0,583.0,901.0,131.0,31.0,8.0,13.0,5.0,15.0,0.0,0.0,3885.0,-25.0,98.0,-209.0,4021.0,5.7,-0.04,0.14,-0.31,5.9
03710,1173.0,1276.0,640.0,1314.0,1950.0,2443.0,239.0,76.0,202.0,112.0,24.0,48.0,0.91,0.0447978525179028,10262.0,-107.0,180.0,-190.0,10379.0,20.53,-0.21,0.36,-0.38,20.76
03801,207.0,453.0,35.0,648.0,194.0,522.0,0.0,220.0,22.0,243.0,3.0,19.0,1.13,0.0329305485657342,947.0,-43.0,106.0,-77.0,961.0,1.24,-0.06,0.14,-0.1,1.26
03802,129.0,680.0,24.0,412.0,244.0,978.0,14.0,279.0,18.0,133.0,3.0,23.0,8.87,0.1492560937038351,2253.0,-150.0,276.0,-256.0,2383.0,4.4,-0.29,0.54,-0.5,4.65
