puma,extremely_low_income_units_new_construction,extremely_low_income_units_preservation,very_low_income_units_new_construction,very_low_income_units_preservation,low_income_units_new_construction,low_income_units_preservation,moderate_income_units_new_construction,moderate_income_units_preservation,middle_income_units_new_construction,middle_income_units_preservation,other_income_units_new_construction,other_income_units_preservation,area_historic_pct,total_area_historic_sq_miles,classa_net_all,classa_net_alteration_decrease,classa_net_alteration_increase,classa_net_demolition,classa_net_new_building,net_change_pct_2010_census_housing_stock_all,net_change_pct_2010_census_housing_stock_alteration_decrease,net_change_pct_2010_census_housing_stock_alteration_increase,net_change_pct_2010_census_housing_stock_demolition,net_change_pct_2010_census_housing_stock_new_building
03803,268.0,1076.0,190.0,2978.0,323.0,2277.0,22.0,615.0,275.0,124.0,9.0,60.0,8.78,0.1254947646678487,6301.0,-756.0,1000.0,-410.0,6467.0,11.05,-1.33,1.75,-0.72,11.34
03804,346.0,1728.0,381.0,4095.0,713.0,1638.0,248.0,1522.0,273.0,746.0,7.0,39.0,0.23,0.0054277528651063,7497.0,-119.0,750.0,-561.0,7427.0,15.39,-0.24,1.54,-1.15,15.24
03805,0.0,487.0,69.0,163.0,108.0,92.0,68.0,11.0,191.0,0.0,1.0,2.0,20.6,0.4080214841344995,4456.0,-1037.0,280.0,-1242.0,6455.0,3.26,-0.76,0.2,-0.91,4.72
03806,0.0,446.0,0.0,534.0,393.0,260.0,0.0,35.0,0.0,87.0,0.0,6.0,20.95,0.6648914892357807,8627.0,-1393.0,1509.0,-162.0,8673.0,7.57,-1.22,1.32,-0.14,7.61
03807,0.0,1040.0,439.0,768.0,1473.0,965.0,183.0,597.0,185.0,665.0,3.0,6.0,7.33,0.2250684885232129,37721.0,-1047.0,2218.0,-1128.0,37678.0,37.93,-1.05,2.23,-1.13,37.89
03808,8.0,88.0,43.0,11.0,343.0,777.0,27.0,104.0,70.0,4725.0,2.0,1.0,3.73,0.0601447474263919,6696.0,-615.0,1124.0,-605.0,6792.0,6.88,-0.63,1.15,-0.62,6.98
03809,54.0,1062.0,244.0,2496.0,406.0,2104.0,114.0,595.0,158.0,534.0,4.0,14.0,2.98,0.0520225546719867,7207.0,-173.0,663.0,-594.0,7311.0,9.47,-0.23,0.87,-0.78,9.61
03810,0.0,0.0,22.0,175.0,232.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,37.89,1.101175209944815,16382.0,-958.0,5309.0,-589.0,12620.0,18.15,-1.06,5.88,-0.65,13.98
03901,,,,,,,,,,,,,0.0,0.0,4898.0,-36.0,98.0,-830.0,5666.0,8.11,-0.06,0.16,-1.37,9.38
03902,160.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,1.0,1.0,2.26,0.5466499423931366,2759.0,-27.0,68.0,-1018.0,3736.0,5.43,-0.05,0.13,-2.0,7.35
03903,31.0,761.0,66.0,196.0,73.0,706.0,0.0,33.0,3.0,1.0,2.0,4.0,0.48,0.0654177479992974,4374.0,-34.0,92.0,-917.0,5233.0,6.69,-0.05,0.14,-1.4,8.0
04001,237.0,436.0,235.0,1257.0,1421.0,1810.0,149.0,25.0,638.0,1.0,6.0,19.0,1.25,0.0516757340084727,24034.0,-164.0,2458.0,-767.0,22507.0,37.65,-0.26,3.85,-1.2,35.26
04002,57.0,201.0,14.0,298.0,489.0,91.0,6.0,5.0,635.0,0.0,0.0,9.0,0.0,0.0,9932.0,-45.0,1424.0,-527.0,9080.0,21.49,-0.1,3.08,-1.14,19.65
04003,111.0,198.0,58.0,490.0,259.0,1065.0,80.0,39.0,281.0,32.0,2.0,21.0,7.91,0.1817767580341304,9221.0,-155.0,1206.0,-622.0,8792.0,16.6,-0.28,2.17,-1.12,15.82
04004,392.0,122.0,18.0,780.0,1081.0,1272.0,226.0,24.0,269.0,422.0,6.0,7.0,21.9,0.6810022376210757,22611.0,-758.0,2516.0,-449.0,21302.0,38.51,-1.29,4.28,-0.76,36.28
04005,0.0,33.0,14.0,108.0,278.0,115.0,14.0,4.0,213.0,13.0,0.0,1.0,10.94,0.4495683233230395,5265.0,-483.0,380.0,-547.0,5915.0,10.26,-0.94,0.74,-1.07,11.52
04006,120.0,205.0,124.0,620.0,365.0,873.0,125.0,513.0,435.0,60.0,5.0,24.0,19.3,0.4283117526842336,7349.0,-140.0,968.0,-417.0,6938.0,13.5,-0.26,1.78,-0.77,12.75
04007,1050.0,271.0,836.0,362.0,1622.0,2071.0,78.0,729.0,70.0,45.0,25.0,15.0,0.0,0.0,6031.0,-23.0,147.0,-161.0,6068.0,13.36,-0.05,0.33,-0.36,13.44
04008,613.0,63.0,484.0,4001.0,1290.0,2697.0,110.0,114.0,80.0,0.0,15.0,6.0,0.0,0.0,6450.0,-15.0,57.0,-222.0,6630.0,11.63,-0.03,0.1,-0.4,11.95
04009,0.0,0.0,0.0,1.0,0.0,29.0,0.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,1513.0,-31.0,81.0,-178.0,1641.0,2.13,-0.04,0.11,-0.25,2.32
04010,8.0,50.0,12.0,56.0,74.0,426.0,0.0,0.0,369.0,0.0,1.0,3.0,0.17,0.005222086160568,2357.0,-8.0,190.0,-218.0,2393.0,4.6,-0.02,0.37,-0.43,4.67
04011,232.0,34.0,50.0,280.0,329.0,359.0,0.0,44.0,400.0,6.0,2.0,4.0,5.83,0.0995475101438557,4623.0,-33.0,293.0,-274.0,4637.0,10.94,-0.08,0.69,-0.65,10.98
04012,83.0,519.0,0.0,48.0,29.0,23.0,0.0,18.0,17.0,1.0,1.0,7.0,1.35,0.0545370308589318,2574.0,-173.0,694.0,-387.0,2440.0,5.36,-0.36,1.44,-0.81,5.08
04013,0.0,,0.0,,0.0,,0.0,,5.0,,0.0,,0.14,0.0053487620178615,766.0,-46.0,97.0,-133.0,848.0,1.35,-0.08,0.17,-0.23,1.5
04014,0.0,,0.0,,0.0,,36.0,,16.0,,0.0,,0.0,0.0,1828.0,-212.0,399.0,-901.0,2542.0,3.5,-0.41,0.76,-1.72,4.86
04015,256.0,9.0,35.0,72.0,58.0,287.0,63.0,90.0,341.0,0.0,4.0,2.0,6.82,0.1982746339161185,2897.0,-54.0,99.0,-404.0,3256.0,4.85,-0.09,0.17,-0.68,5.45
04016,0.0,896.0,0.0,0.0,0.0,73.0,0.0,0.0,93.0,0.0,0.0,2.0,0.0,0.0,2152.0,-105.0,126.0,-846.0,2977.0,3.3,-0.16,0.19,-1.3,4.56
04017,0.0,118.0,0.0,243.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2286.0,-28.0,206.0,-409.0,2517.0,3.16,-0.04,0.28,-0.57,3.48
04018,244.0,505.0,111.0,8.0,616.0,1135.0,38.0,37.0,69.0,259.0,4.0,8.0,0.0,0.0,3153.0,-49.0,48.0,-525.0,3679.0,6.17,-0.1,0.09,-1.03,7.2
04101,102.0,348.0,0.0,58.0,145.0,49.0,9.0,72.0,204.0,0.0,1.0,1.0,0.0,0.0,9781.0,-48.0,841.0,-759.0,9747.0,12.14,-0.06,1.04,-0.94,12.1
04102,0.0,38.0,0.0,40.0,0.0,50.0,2.0,2.0,8.0,0.0,0.0,2.0,4.69,0.1970582280587831,3048.0,-46.0,230.0,-356.0,3220.0,5.16,-0.08,0.39,-0.6,5.45
04103,0.0,0.0,66.0,0.0,105.0,2.0,60.0,51.0,40.0,0.0,1.0,1.0,1.23,0.1451383123992047,8594.0,-49.0,681.0,-1262.0,9224.0,8.97,-0.05,0.71,-1.32,9.63
04104,0.0,,0.0,,30.0,,0.0,,0.0,,0.0,,3.68,0.3435635357779675,1334.0,-31.0,290.0,-517.0,1592.0,2.91,-0.07,0.63,-1.13,3.48
04105,,0.0,,0.0,,24.0,,1.0,,0.0,,0.0,0.0,0.0,1606.0,-24.0,385.0,-234.0,1479.0,2.53,-0.04,0.61,-0.37,2.33
04106,75.0,6.0,0.0,2123.0,351.0,81.0,21.0,2.0,23.0,0.0,1.0,1.0,0.0,0.0,3652.0,-30.0,750.0,-294.0,3226.0,6.35,-0.05,1.3,-0.51,5.61
04107,67.0,0.0,0.0,302.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,3005.0,-56.0,338.0,-349.0,3072.0,6.45,-0.12,0.73,-0.75,6.59
04108,25.0,287.0,52.0,122.0,51.0,21.0,130.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1564.0,-25.0,73.0,-144.0,1660.0,2.86,-0.05,0.13,-0.26,3.04
04109,66.0,0.0,284.0,393.0,335.0,585.0,292.0,0.0,1037.0,0.0,3.0,0.0,1.47,0.0883276593269973,18187.0,-36.0,592.0,-412.0,18043.0,32.96,-0.07,1.07,-0.75,32.7
04110,40.0,0.0,0.0,14.0,26.0,15.0,0.0,42.0,68.0,0.0,0.0,1.0,1.91,0.1406084147464152,2232.0,-48.0,423.0,-216.0,2073.0,3.36,-0.07,0.64,-0.33,3.12
04111,0.0,0.0,0.0,0.0,25.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2014.0,-21.0,134.0,-156.0,2057.0,4.18,-0.04,0.28,-0.32,4.27
04112,264.0,346.0,310.0,5368.0,872.0,669.0,499.0,12.0,611.0,0.0,12.0,3.0,1.34,0.124591036045606,7085.0,-22.0,487.0,-359.0,6979.0,9.42,-0.03,0.65,-0.48,9.28
04113,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1106.0,-21.0,300.0,-208.0,1035.0,2.66,-0.05,0.72,-0.5,2.48
04114,434.0,148.0,444.0,1062.0,681.0,1652.0,50.0,8.0,18.0,400.0,8.0,5.0,0.0,0.0,5443.0,-148.0,50.0,-832.0,6373.0,12.03,-0.33,0.11,-1.84,14.08
