borough,pop_w_access,total_pop_2020,pct_pop_w_access
BK,2210209,2736049,80.78
BX,1286524,1472654,87.36
MN,1656837,1694251,97.79
QN,1666913,2405481,69.3
SI,306001,495747,61.73
