borough,classa_net_count,classa_net_alt_decrease_count,classa_net_alt_increase_count,classa_net_demo_count,classa_net_new_count,classa_net_pct,classa_net_alt_decrease_pct,classa_net_alt_increase_pct,classa_net_demo_pct,classa_net_new_pct,total_units_2010_count
BK,82309.0,-2196.0,10730.0,-4990.0,78765.0,8.23,-0.22,1.07,-0.5,7.87,1000293.0
BX,33274.0,-277.0,967.0,-1373.0,33957.0,6.5,-0.05,0.19,-0.27,6.63,511896.0
MN,52635.0,-5248.0,10112.0,-4180.0,51951.0,6.21,-0.62,1.19,-0.49,6.13,847090.0
QN,42473.0,-459.0,5316.0,-4225.0,41841.0,5.09,-0.05,0.64,-0.51,5.01,835127.0
SI,5915.0,-89.0,246.0,-1877.0,7635.0,3.35,-0.05,0.14,-1.06,4.32,176656.0
