boro,classa_net_all,classa_net_alteration_decrease,classa_net_alteration_increase,classa_net_demolition,classa_net_new_building,net_change_pct_2010_census_housing_stock_all,net_change_pct_2010_census_housing_stock_alteration_decrease,net_change_pct_2010_census_housing_stock_alteration_increase,net_change_pct_2010_census_housing_stock_demolition,net_change_pct_2010_census_housing_stock_new_building
MN,52635.0,-5248.0,10112.0,-4180.0,51951.0,6.21,-0.62,1.19,-0.49,6.13
BX,33274.0,-277.0,967.0,-1373.0,33957.0,6.5,-0.05,0.19,-0.27,6.63
BK,82309.0,-2196.0,10730.0,-4990.0,78765.0,8.23,-0.22,1.07,-0.5,7.87
QN,42473.0,-459.0,5316.0,-4225.0,41841.0,5.09,-0.05,0.64,-0.51,5.01
SI,5915.0,-89.0,246.0,-1877.0,7635.0,3.35,-0.05,0.14,-1.06,4.32
