borough,units_eli_newconstruction_count,units_eli_preservation_count,units_vli_newconstruction_count,units_vli_preservation_count,units_li_newconstruction_count,units_li_preservation_count,units_mi_newconstruction_count,units_mi_preservation_count,units_midi_newconstruction_count,units_midi_preservation_count,units_oi_newconstruction_count,units_oi_preservation_count
BK,4024,3688,2318,8834,9390,13501,957,1743,4388,870,81,133
BX,7299,4200,2534,20081,9364,18668,1356,930,869,534,133,236
MN,1012,7159,1464,12280,4712,9614,677,3982,1243,7257,32,170
QN,1322,1228,1510,9500,3559,3783,1345,890,2316,702,34,17
SI,192,761,79,199,324,890,11,39,9,29,4,5
