puma,ela_proficiency_3rdto8thgrade_all_pct,ela_proficiency_3rdto8thgrade_anh_pct,ela_proficiency_3rdto8thgrade_bnh_pct,ela_proficiency_3rdto8thgrade_hsp_pct,ela_proficiency_3rdto8thgrade_onh_pct,ela_proficiency_3rdto8thgrade_wnh_pct,math_proficiency_3rdto8thgrade_all_pct,math_proficiency_3rdto8thgrade_anh_pct,math_proficiency_3rdto8thgrade_bnh_pct,math_proficiency_3rdto8thgrade_hsp_pct,math_proficiency_3rdto8thgrade_onh_pct,math_proficiency_3rdto8thgrade_wnh_pct,graduation_rate_2017_all_pct,graduation_rate_2017_anh_pct,graduation_rate_2017_bnh_pct,graduation_rate_2017_hsp_pct,graduation_rate_2017_onh_pct,graduation_rate_2017_wnh_pct
3701,0.44574,0.69323,0.41407,0.40085,0.57447,0.66459,0.38848,0.67917,0.31735,0.34007,0.53846,0.65968,0.76638,0.94118,0.725,0.75799,0.81818,0.80723
3702,0.37487,0.54271,0.38981,0.31095,0.38813,0.51724,0.30134,0.47761,0.30862,0.24261,0.35071,0.49727,0.6798,0.25,0.71198,0.6179,0.64706,0.44444
3703,0.45827,0.65625,0.4366,0.43576,0.4902,0.52437,0.39091,0.68627,0.34388,0.36348,0.44,0.49418,0.76225,0.9375,0.78986,0.7635,0.75,0.68675
3704,0.42321,0.62423,0.37271,0.39156,0.48276,0.46398,0.3763,0.61977,0.29994,0.33871,0.47706,0.44265,0.73339,0.85,0.72581,0.70353,0.28,0.46774
3705,0.31924,0.392,0.34735,0.301,0.32468,0.30081,0.26913,0.38136,0.30187,0.24817,0.21854,0.26923,0.61823,,0.62937,0.62563,0.6,0.32432
3706,0.33995,0.54072,0.36337,0.3101,0.42373,0.45541,0.27314,0.51715,0.26139,0.24481,0.29915,0.37908,0.68201,0.848,0.67347,0.66949,0.0,0.0
3707,0.3121,0.52817,0.33712,0.29741,0.36559,0.38,0.26647,0.58108,0.28678,0.25235,0.2766,0.35714,0.63892,0.72414,0.67506,0.62473,0.0,0.0
3708,0.3702,0.50581,0.41101,0.34976,0.45192,0.31707,0.33382,0.55367,0.35663,0.31829,0.375,0.25397,0.67278,0.85714,0.70637,0.65806,,0.66667
3709,0.37475,0.59512,0.36865,0.33513,0.41414,0.33239,0.33176,0.60062,0.31248,0.28482,0.43919,0.32578,0.66268,0.86166,0.66246,0.6248,0.0,0.0
3710,0.34329,0.45455,0.36848,0.33052,0.32394,0.34742,0.31319,0.44118,0.32939,0.30318,0.35862,0.3211,0.6014,0.0,0.59745,0.60504,0.0,0.40909
3801,0.4251,0.63934,0.4123,0.38802,0.72072,0.77504,0.40032,0.65487,0.36993,0.36644,0.66972,0.75041,0.67191,0.0,0.51899,0.6572,0.0,0.92754
3802,0.43796,0.71538,0.40237,0.38712,0.58772,0.7552,0.4092,0.68908,0.37533,0.3684,0.5,0.70361,0.65578,,0.59898,0.62658,,0.82716
3803,0.45431,0.65455,0.44545,0.39804,0.57965,0.71498,0.41224,0.64557,0.4087,0.34801,0.53153,0.66838,0.6283,0.65517,0.62086,0.59829,0.42105,0.73684
3804,0.40953,0.68392,0.39431,0.37759,0.45098,0.64017,0.37668,0.68272,0.36189,0.34222,0.42105,0.58874,0.64304,0.83158,0.59155,0.63963,1.0,0.6
3805,0.82953,0.88368,0.5045,0.66805,0.8972,0.87225,0.81594,0.90267,0.4434,0.58969,0.75122,0.86727,0.87624,0.96,0.7,0.77941,0.88889,0.90086
3806,0.72167,0.89474,0.41608,0.48867,0.83846,0.88287,0.68397,0.90296,0.33457,0.44825,0.83264,0.86085,0.78211,0.89362,0.54545,0.66667,0.7619,0.9291
3807,0.59232,0.79112,0.29336,0.46132,0.78358,0.80366,0.54895,0.83422,0.23043,0.38258,0.75194,0.78655,0.75245,0.87273,0.52381,0.67763,0.88889,0.89474
3808,0.8,0.84615,0.45455,0.63487,0.90055,0.85178,0.78361,0.88693,0.28448,0.53898,0.86127,0.8371,0.85973,0.88,,0.575,,0.92035
3809,0.52902,0.68706,0.30817,0.37356,0.62617,0.7254,0.5302,0.79279,0.2,0.29612,0.45714,0.70449,0.75988,0.90931,0.57241,0.64343,0.29167,0.70968
3810,0.82389,0.8287,0.62366,0.715,0.87919,0.84506,0.82762,0.88684,0.48276,0.67192,0.86429,0.84487,0.91468,0.85333,0.875,0.81579,1.77778,0.93617
3901,0.65569,0.78402,0.50427,0.55184,0.66667,0.66384,0.61187,0.83631,0.34783,0.48457,0.4661,0.6167,0.87771,0.64384,0.0,0.75543,,0.89312
3902,0.57446,0.71592,0.31153,0.44107,0.6,0.60613,0.50909,0.74528,0.25786,0.33991,0.536,0.52949,0.86431,0.96482,0.91667,0.76538,,0.88529
