puma,access_subwaysbs_pct,access_ADA_pct
03701,23.73,13.65
03702,32.81,12.79
03703,12.83,2.94
03704,41.72,11.88
03705,39.49,1.24
03706,75.65,27.33
03707,58.68,2.24
03708,57.74,3.36
03709,41.63,0.1
03710,66.9,13.44
03801,84.32,29.83
03802,82.45,5.91
03803,77.45,13.8
03804,74.95,7.22
03805,81.02,35.57
03806,80.0,32.04
03807,77.67,41.12
03808,95.31,18.19
03809,92.33,6.41
03810,80.33,43.86
03901,20.52,2.5
03902,18.94,1.52
03903,4.89,0.74
04001,49.33,14.85
04002,59.83,11.6
04003,61.37,0.34
04004,56.89,15.05
04005,39.75,2.62
04006,68.33,30.85
04007,51.54,0.0
04008,45.03,3.31
04009,34.44,1.97
04010,36.03,5.94
04011,70.46,13.19
04012,41.39,4.29
04013,26.53,5.45
04014,37.82,5.32
04015,52.32,8.66
04016,47.58,4.34
04017,63.43,5.8
04018,38.6,3.88
04101,43.69,8.52
04102,33.11,10.23
04103,19.07,2.81
04104,0.0,0.0
04105,0.0,0.0
04106,27.41,3.08
04107,40.17,5.25
04108,40.32,9.88
04109,53.61,17.03
04110,18.25,2.73
04111,37.03,3.21
04112,11.83,4.31
04113,26.07,7.06
04114,42.0,6.4
