puma,health_0004_prematuremortality_wnh,health_0004_prematuremortality_bnh,health_0004_prematuremortality_anh,health_0004_prematuremortality_hsp,health_0004_prematuremortality,health_1014_prematuremortality_wnh,health_1014_prematuremortality_bnh,health_1014_prematuremortality_anh,health_1014_prematuremortality_hsp,health_1014_prematuremortality,health_1519_prematuremortality_wnh,health_1519_prematuremortality_bnh,health_1519_prematuremortality_anh,health_1519_prematuremortality_hsp,health_1519_prematuremortality
03701,274.7,385.5,67.2,120.0,212.1,227.3,400.1,94.8,125.8,191.0,231.4,386.3,92.4,141.1,199.4
03702,434.3,233.0,120.0,169.4,237.6,383.3,214.7,89.4,185.2,218.4,412.8,227.3,101.7,210.2,234.1
03703,312.8,323.8,,151.3,255.9,328.5,318.3,114.1,134.4,233.7,311.1,275.5,89.2,163.0,224.8
03704,338.8,303.4,111.8,181.4,253.0,309.9,323.8,60.5,159.1,222.4,321.0,315.1,86.9,175.0,232.6
03705,685.3,480.7,,238.5,348.6,472.6,391.5,,205.3,278.9,531.5,438.4,,203.8,295.1
03706,640.9,335.5,108.4,157.3,234.5,443.4,365.7,119.0,156.9,214.5,400.4,367.5,123.4,174.9,224.4
03707,1405.9,399.4,136.8,185.3,276.2,691.5,378.4,,175.1,241.5,938.9,401.8,,172.6,247.7
03708,1746.1,414.6,188.9,227.5,323.0,834.3,388.1,153.4,166.3,250.6,813.7,352.8,109.4,177.6,245.5
03709,1107.1,356.1,89.5,219.0,289.8,600.0,304.3,99.0,183.4,230.2,577.7,312.9,108.8,182.0,229.9
03710,2270.0,487.4,,265.5,351.8,720.6,378.4,,204.2,259.4,846.5,437.7,,223.8,285.3
03801,255.0,500.6,98.4,132.0,178.1,148.4,377.1,97.6,134.2,154.6,155.8,394.9,68.2,127.9,151.9
03802,119.5,496.5,,166.2,246.4,88.5,369.0,,125.2,170.2,97.3,330.3,47.5,146.4,171.7
03803,313.4,491.7,,193.8,421.9,198.9,373.3,,178.0,297.2,188.9,383.9,97.9,177.4,301.4
03804,471.8,540.7,84.9,302.6,399.0,287.6,454.3,106.8,225.5,305.5,272.2,451.7,131.7,215.6,295.7
03805,126.2,389.7,59.9,183.9,135.6,97.9,457.7,68.4,147.6,113.7,84.7,311.0,47.4,101.4,91.2
03806,141.6,550.2,54.6,224.1,186.4,104.0,450.0,52.5,194.6,138.6,89.2,438.7,52.7,159.0,122.7
03807,203.6,570.4,53.7,266.8,223.5,112.5,327.6,41.2,140.3,119.8,97.7,365.4,55.6,119.7,110.9
03808,149.1,441.2,67.9,196.6,157.5,109.7,316.8,40.2,121.9,108.6,94.9,311.0,44.1,130.8,98.8
03809,248.8,630.1,135.0,303.6,256.2,167.1,507.2,124.0,258.7,202.7,143.6,505.3,100.0,230.4,178.5
03810,136.1,330.9,77.8,121.4,133.3,86.2,230.3,55.8,89.3,86.7,67.7,162.2,43.1,64.4,65.1
