puma,health_0004_prematuremortality_wnh,health_0004_prematuremortality_bnh,health_0004_prematuremortality_anh,health_0004_prematuremortality_hsp,health_0004_prematuremortality,health_1014_prematuremortality_wnh,health_1014_prematuremortality_bnh,health_1014_prematuremortality_anh,health_1014_prematuremortality_hsp,health_1014_prematuremortality,health_1519_prematuremortality_wnh,health_1519_prematuremortality_bnh,health_1519_prematuremortality_anh,health_1519_prematuremortality_hsp,health_1519_prematuremortality
03901,196.7,290.7,89.6,78.4,186.6,202.2,266.1,76.3,93.8,186.1,199.4,346.4,95.1,106.7,186.4
03902,258.0,364.1,77.3,104.2,226.2,247.5,312.0,95.9,126.2,210.1,226.0,395.5,89.3,131.9,196.9
03903,331.5,317.5,96.8,127.7,266.7,328.9,317.7,102.6,147.2,247.8,335.0,325.4,124.7,143.0,257.3
04001,165.0,566.7,106.2,237.9,213.2,100.2,397.6,55.9,201.4,138.8,83.0,457.8,62.1,174.9,122.4
04002,519.4,435.2,130.0,203.4,270.6,220.9,324.6,79.9,161.3,197.3,198.9,315.0,58.3,145.2,179.6
04003,265.9,442.1,141.2,263.2,399.0,137.4,363.1,101.8,182.0,290.7,134.4,301.5,73.4,229.9,257.6
04004,155.0,448.7,59.9,259.1,281.8,80.0,315.6,64.8,160.6,151.2,67.4,294.4,46.0,140.2,130.6
04005,158.1,492.6,83.5,265.2,221.0,88.8,485.3,67.7,210.0,145.2,80.6,424.0,61.0,193.7,126.0
04006,114.6,398.3,,268.9,350.6,84.8,302.1,89.4,225.1,242.4,108.5,290.0,88.0,226.7,233.9
04007,1459.1,420.2,,270.2,398.2,1318.9,372.3,,247.6,354.6,1182.1,394.4,,317.2,385.4
04008,669.8,351.8,137.1,224.9,309.4,766.5,321.7,127.2,196.6,276.2,701.6,357.5,151.7,186.7,292.2
04009,262.9,195.5,83.9,159.4,211.0,240.3,189.0,94.1,154.6,194.3,215.4,219.5,123.4,198.6,210.9
04010,675.0,234.0,,281.4,243.9,468.3,224.4,136.7,219.0,228.2,696.1,243.1,,239.1,247.2
04011,154.2,281.1,,256.8,264.5,112.9,250.0,,218.6,219.4,125.9,255.1,,265.8,225.8
04012,281.2,267.8,96.1,177.9,188.5,184.9,141.1,114.8,124.5,135.4,145.9,184.6,106.5,121.7,123.8
04013,243.5,194.5,84.0,107.5,196.5,217.8,234.5,91.9,94.0,166.0,172.3,213.9,88.2,97.3,141.0
04014,142.5,360.9,89.6,141.0,142.7,110.8,351.5,108.6,106.9,114.8,90.3,295.0,87.9,115.9,97.5
04015,198.8,251.9,101.5,158.1,209.1,166.7,250.4,111.8,138.1,189.0,156.0,231.8,90.9,142.9,173.3
04016,224.6,252.7,99.2,124.4,202.0,201.0,310.9,91.3,140.7,179.6,163.6,295.7,107.4,170.6,157.9
04017,253.2,,85.5,104.0,189.7,231.3,309.6,92.0,109.0,158.7,203.2,359.4,92.7,124.4,149.8
04018,320.1,448.6,98.6,200.8,297.7,300.4,425.2,102.1,238.1,276.0,263.5,477.0,105.3,211.0,257.2
04101,200.5,272.0,65.4,99.1,159.9,158.2,236.7,97.1,97.1,138.6,157.6,220.1,83.0,98.9,135.0
04102,325.9,300.4,85.7,90.1,139.2,272.3,305.2,103.6,97.3,128.2,215.1,215.5,110.8,98.0,118.2
04103,245.5,378.5,90.8,117.2,158.5,246.4,451.1,113.4,102.0,152.1,219.2,331.1,114.8,115.6,144.1
04104,157.9,213.1,59.5,91.5,119.1,165.0,213.9,69.6,76.3,112.4,151.0,293.4,73.1,71.4,107.8
04105,261.1,167.9,88.6,106.3,164.7,244.5,143.5,115.9,84.6,141.4,237.3,146.9,94.2,89.7,139.9
04106,205.4,284.9,83.7,118.4,166.7,189.0,264.1,91.9,85.6,144.9,147.7,235.3,80.6,120.0,128.7
04107,304.9,289.8,102.3,98.6,132.7,305.3,250.2,98.0,83.3,111.1,322.7,213.9,104.4,94.7,117.9
04108,183.5,225.4,68.5,134.2,148.3,170.8,233.7,84.6,77.4,133.7,165.0,188.5,73.0,92.9,124.5
04109,269.4,255.9,83.9,113.7,151.6,166.1,171.9,68.5,72.4,99.0,149.6,159.6,72.6,69.8,92.7
04110,266.0,225.5,103.9,100.1,198.8,243.9,242.9,68.8,95.5,171.7,224.6,306.1,118.3,104.1,169.8
04111,301.1,207.0,118.9,106.8,171.6,299.2,243.1,122.1,101.4,157.0,266.9,229.3,148.9,105.0,158.2
04112,636.5,292.1,156.4,129.9,265.4,598.1,242.8,158.3,109.1,213.8,568.2,238.0,167.1,143.7,219.5
04113,298.2,255.4,121.7,119.0,206.1,286.6,200.2,154.5,111.5,183.2,267.8,192.1,189.4,117.2,188.0
04114,378.5,366.4,154.2,169.2,330.9,328.4,337.0,188.4,172.9,295.6,320.7,369.5,142.6,171.5,308.3
