puma,access_employment_count
03701,45439
03702,33763
03703,20265
03704,53255
03705,81569
03706,71684
03707,76039
03708,92113
03709,47186
03710,101032
03801,99507
03802,231736
03803,215183
03804,363690
03805,1004561
03806,832756
03807,1710043
03808,1432776
03809,909412
03810,1709243
03901,6089
03902,13091
03903,17222
04001,251164
04002,102446
04003,137290
04004,421746
04005,187442
04006,148523
04007,57546
04008,34339
04009,39750
04010,61629
04011,114340
04012,110689
04013,45536
04014,108346
04015,104105
04016,90217
04017,88412
04018,66128
04101,185708
04102,111808
04103,67517
04104,39996
04105,23712
04106,71797
04107,121371
04108,99141
04109,278931
04110,47154
04111,54841
04112,42501
04113,25532
04114,15482
