,total_injuries,ped_injuries,cycle_injuries,motorist_injuries,total_fatalities
04001,753.2758620689655,171.55172413793102,166.0344827586207,415.68965517241384,6.724137931034482
04002,1165.4545454545455,260.6060606060606,150.0,754.8484848484848,5.151515151515151
04003,1279.6610169491526,310.5084745762712,169.15254237288136,800.0,2.0338983050847452
04004,1094.4736842105262,280.52631578947364,169.47368421052633,644.4736842105264,4.7368421052631575
04005,626.5263157894736,138.5263157894737,105.6842105263158,382.3157894736843,3.5789473684210527
04006,1857.28813559322,449.8305084745763,169.4915254237288,1237.966101694915,6.4406779661016955
04007,1447.5949367088606,310.126582278481,94.17721518987341,1043.2911392405063,3.5443037974683542
04008,1124.0,180.5925925925926,52.29629629629629,891.1111111111111,4.444444444444445
04009,652.0975609756098,116.39024390243904,33.5609756097561,502.1463414634146,3.8048780487804876
04010,1757.9310344827586,291.95402298850576,95.63218390804597,1370.344827586207,7.586206896551722
04011,1702.4390243902437,421.13821138211387,144.71544715447155,1136.5853658536587,6.504065040650406
04012,826.098901098901,220.32967032967034,89.28571428571429,516.4835164835165,3.2967032967032965
04013,523.8461538461539,144.80769230769232,36.730769230769226,342.30769230769226,3.0769230769230775
04014,856.9411764705883,265.1764705882353,106.58823529411765,485.1764705882353,5.176470588235294
04015,1264.5569620253164,337.72151898734177,100.0,826.8354430379746,5.063291139240507
04016,618.4126984126985,177.46031746031747,47.3015873015873,393.6507936507936,5.396825396825396
04017,671.8446601941748,196.3106796116505,62.13592233009708,413.3980582524272,4.466019417475728
04018,618.1081081081081,187.83783783783784,50.54054054054053,379.72972972972974,4.0540540540540535
03701,444.8101265822785,135.69620253164558,19.493670886075954,289.62025316455697,2.5316455696202533
03702,581.3953488372092,123.72093023255816,18.294573643410853,439.37984496124034,3.4108527131782944
03703,293.98148148148147,56.01851851851852,9.567901234567902,228.39506172839506,0.9259259259259258
03704,746.6666666666666,158.62745098039218,33.13725490196079,554.9019607843138,3.9215686274509807
03705,1150.75,275.25,63.25,812.25,5.25
03706,1196.8888888888891,409.7777777777777,52.0,735.1111111111111,6.222222222222222
03707,1394.2708333333335,360.9375,54.6875,978.6458333333333,6.770833333333332
03708,1124.1803278688524,326.6393442622951,56.14754098360656,741.3934426229508,5.327868852459017
03709,734.9122807017544,178.07017543859652,43.684210526315795,513.1578947368421,4.2105263157894735
03710,871.9354838709678,216.12903225806448,43.064516129032256,612.741935483871,3.7096774193548376
04101,684.0625,187.8125,75.9375,420.3125,3.125
04102,890.8910891089108,209.30693069306935,110.2970297029703,571.2871287128712,4.356435643564356
04103,332.98611111111114,103.75000000000003,18.194444444444446,211.04166666666666,1.597222222222222
04104,194.31818181818184,40.49586776859505,6.921487603305785,146.90082644628097,1.5495867768595042
04105,416.77419354838713,41.29032258064517,9.280397022332505,366.2034739454094,1.7866004962779154
04106,457.24867724867727,92.8042328042328,16.190476190476193,348.2539682539682,2.328042328042328
04107,657.2916666666666,182.08333333333334,78.54166666666667,396.6666666666667,3.5416666666666665
04108,447.9545454545454,147.50000000000003,32.04545454545455,268.4090909090909,2.9545454545454546
04109,660.2614379084968,133.72549019607843,71.63398692810458,454.90196078431364,4.052287581699346
04110,477.3652694610778,112.33532934131736,34.0119760479042,331.01796407185634,2.994011976047904
04111,661.71875,138.4375,46.5625,476.71875,4.375
04112,661.7624521072797,125.51724137931035,26.206896551724135,510.03831417624514,2.3754789272030647
04113,572.5465838509316,83.35403726708074,19.751552795031056,469.4409937888198,3.354037267080745
04114,273.52071005917156,54.88165680473372,16.86390532544379,201.7751479289941,1.183431952662722
03901,175.50505050505052,19.393939393939394,1.9191919191919191,154.1919191919192,0.9090909090909092
03902,278.66261398176295,33.252279635258354,3.525835866261398,241.88449848024317,1.398176291793313
03903,334.89795918367344,65.4421768707483,11.360544217687075,258.0952380952381,2.0408163265306123
03801,985.6481481481482,310.18518518518516,82.4074074074074,593.0555555555555,4.629629629629629
03802,1049.4444444444446,305.0,119.44444444444443,625.0,7.222222222222221
03803,1321.860465116279,386.51162790697674,142.7906976744186,792.5581395348837,6.976744186046512
03804,1068.0,331.33333333333337,86.33333333333334,650.3333333333333,7.666666666666667
03805,1039.6721311475408,400.9836065573771,147.21311475409837,491.4754098360656,7.868852459016392
03806,829.2063492063492,312.3809523809524,133.33333333333331,383.4920634920635,7.619047619047618
03807,1863.7209302325584,767.9069767441861,298.1395348837209,797.6744186046511,8.83720930232558
03808,1750.566037735849,677.3584905660377,266.41509433962267,806.7924528301886,7.169811320754716
03809,1273.4482758620693,474.82758620689657,275.5172413793104,523.1034482758621,6.896551724137931
03810,1044.4680851063831,398.51063829787233,184.25531914893617,461.70212765957456,3.404255319148936
