puma,lep_count,lep_count_moe,lep_count_cv,lep_pct,lep_pct_moe,lep_anh_count,lep_anh_count_moe,lep_anh_count_cv,lep_anh_pct,lep_anh_pct_moe,lep_bnh_count,lep_bnh_count_moe,lep_bnh_count_cv,lep_bnh_pct,lep_bnh_pct_moe,lep_hsp_count,lep_hsp_count_moe,lep_hsp_count_cv,lep_hsp_pct,lep_hsp_pct_moe,lep_wnh_count,lep_wnh_count_moe,lep_wnh_count_cv,lep_wnh_pct,lep_wnh_pct_moe,fb_count,fb_count_moe,fb_count_cv,fb_pct,fb_pct_moe,fb_anh_count,fb_anh_count_moe,fb_anh_count_cv,fb_anh_pct,fb_anh_pct_moe,fb_bnh_count,fb_bnh_count_moe,fb_bnh_count_cv,fb_bnh_pct,fb_bnh_pct_moe,fb_hsp_count,fb_hsp_count_moe,fb_hsp_count_cv,fb_hsp_pct,fb_hsp_pct_moe,fb_wnh_count,fb_wnh_count_moe,fb_wnh_count_cv,fb_wnh_pct,fb_wnh_pct_moe,age_popu16_count,age_popu16_count_moe,age_popu16_count_cv,age_popu16_pct,age_popu16_pct_moe,age_p16t64_count,age_p16t64_count_moe,age_p16t64_count_cv,age_p16t64_pct,age_p16t64_pct_moe,age_p65pl_count,age_p65pl_count_moe,age_p65pl_count_cv,age_p65pl_pct,age_p65pl_pct_moe,age_popu16_anh_count,age_popu16_anh_count_moe,age_popu16_anh_count_cv,age_popu16_anh_pct,age_popu16_anh_pct_moe,age_popu16_bnh_count,age_popu16_bnh_count_moe,age_popu16_bnh_count_cv,age_popu16_bnh_pct,age_popu16_bnh_pct_moe,age_popu16_hsp_count,age_popu16_hsp_count_moe,age_popu16_hsp_count_cv,age_popu16_hsp_pct,age_popu16_hsp_pct_moe,age_popu16_wnh_count,age_popu16_wnh_count_moe,age_popu16_wnh_count_cv,age_popu16_wnh_pct,age_popu16_wnh_pct_moe,age_p16t64_anh_count,age_p16t64_anh_count_moe,age_p16t64_anh_count_cv,age_p16t64_anh_pct,age_p16t64_anh_pct_moe,age_p16t64_bnh_count,age_p16t64_bnh_count_moe,age_p16t64_bnh_count_cv,age_p16t64_bnh_pct,age_p16t64_bnh_pct_moe,age_p16t64_hsp_count,age_p16t64_hsp_count_moe,age_p16t64_hsp_count_cv,age_p16t64_hsp_pct,age_p16t64_hsp_pct_moe,age_p16t64_wnh_count,age_p16t64_wnh_count_moe,age_p16t64_wnh_count_cv,age_p16t64_wnh_pct,age_p16t64_wnh_pct_moe,age_p65pl_anh_count,age_p65pl_anh_count_moe,age_p65pl_anh_count_cv,age_p65pl_anh_pct,age_p65pl_anh_pct_moe,age_p65pl_bnh_count,age_p65pl_bnh_count_moe,age_p65pl_bnh_count_cv,age_p65pl_bnh_pct,age_p65pl_bnh_pct_moe,age_p65pl_hsp_count,age_p65pl_hsp_count_moe,age_p65pl_hsp_count_cv,age_p65pl_hsp_pct,age_p65pl_hsp_pct_moe,age_p65pl_wnh_count,age_p65pl_wnh_count_moe,age_p65pl_wnh_count_cv,age_p65pl_wnh_pct,age_p65pl_wnh_pct_moe,age_median_median,age_median_median_moe,age_median_median_cv,age_median_anh_median,age_median_anh_median_moe,age_median_anh_median_cv,age_median_bnh_median,age_median_bnh_median_moe,age_median_bnh_median_cv,age_median_hsp_median,age_median_hsp_median_moe,age_median_hsp_median_cv,age_median_wnh_median,age_median_wnh_median_moe,age_median_wnh_median_cv
03801,74470,3484,2.8,36.2,1.6,1560,619,24.1,25.2,9.4,713,369.0,31.5,4.5,2.3,69560,3353,2.9,49.8,2.0,2280,593,15.8,5.7,1.5,100086,4025,2.4,46.2,1.6,4375,708,9.8,69.3,6.1,3164,834,16.0,19.5,4.8,84209,3744,2.7,56.9,1.9,7364,903,7.5,17.6,2.0,33343,1738,3.2,15.4,0.7,151546,3311,1.3,70.0,0.7,31716,1131,2.2,14.6,0.4,296,171,35.1,4.7,2.6,1904,490,15.7,11.7,2.8,26037,1702,4.0,17.6,1.0,4005,640,9.7,9.5,1.5,5381,753,8.5,85.2,2.9,11090,1209,6.6,68.3,4.3,99806,3054,1.9,67.4,0.6,32678,1535,2.9,77.9,1.0,637,208,19.9,10.1,3.0,3244,435,8.2,20.0,2.0,22141,988,2.7,15.0,0.5,5275,482,5.6,12.6,1.0,36.3,0.6,1.0,33.2,1.9,3.4,41.7,2.4,3.5,36.5,0.7,1.2,35.4,1.1,1.9
03802,23784,1906,4.9,19.0,1.4,2878,693,14.6,26.2,5.8,1216,493.0,24.6,4.8,1.9,18435,1738,5.7,38.3,2.9,854,312,22.2,2.3,0.8,44430,2326,3.2,33.9,1.5,7707,971,7.7,68.0,5.0,5015,1050,12.7,19.0,3.7,24173,1768,4.4,47.0,1.9,6105,958,9.5,16.2,2.4,17795,1424,4.9,13.6,1.0,96089,2794,1.8,73.2,0.9,17310,1144,4.0,13.2,0.8,586,224,23.2,5.2,1.9,3452,693,12.2,13.1,2.5,9473,1224,7.9,18.4,2.1,3361,546,9.9,8.9,1.4,9929,1009,6.2,87.6,12.7,18512,1546,5.1,70.1,3.0,34670,2288,4.0,67.4,1.7,30136,1537,3.1,79.9,1.7,820,339,25.1,7.2,2.9,4440,510,7.0,16.8,1.5,7286,690,5.8,14.2,1.0,4217,523,7.5,11.2,1.3,33.1,0.6,1.1,28.3,0.9,1.8,37.6,1.6,2.6,35.8,1.1,1.9,31.1,0.9,1.8
03803,13909,1481,6.5,11.0,1.1,1454,447,18.7,29.8,8.5,3472,747.0,13.1,5.0,1.1,8067,1245,9.4,27.0,3.8,916,465,30.9,4.9,2.5,31040,1839,3.6,22.8,1.3,3525,515,8.9,69.3,5.5,12893,1393,6.6,17.3,1.8,10257,1364,8.1,31.5,3.7,4009,660,10.0,20.2,3.1,25070,1588,3.8,18.4,1.1,96035,2401,1.5,70.6,0.8,14951,776,3.2,11.0,0.5,529,193,22.2,10.4,3.6,13463,1149,5.2,18.0,1.4,7768,891,7.0,23.8,2.3,2325,461,12.1,11.7,2.2,3747,472,7.7,73.7,2.2,50846,1923,2.3,68.0,1.3,22076,1544,4.3,67.7,2.2,16703,934,3.4,84.3,6.9,811,250,18.7,15.9,4.5,10421,678,4.0,13.9,0.8,2754,413,9.1,8.4,1.2,779,202,15.8,3.9,1.0,35.3,0.7,1.2,38.2,2.5,3.9,38.6,1.2,1.9,31.2,1.3,2.5,34.4,0.9,1.5
03804,19924,1635,5.0,17.4,1.4,3484,525,9.2,40.8,4.3,626,271.0,26.4,1.7,0.7,14989,1471,6.0,29.2,2.6,804,298,22.5,4.9,1.8,27937,2106,4.6,23.0,1.7,6372,833,7.9,70.7,5.0,3814,730,11.6,9.9,1.8,13866,1745,7.7,25.3,3.0,3404,553,9.9,20.1,2.9,21982,1716,4.7,18.1,1.4,83675,2104,1.5,68.8,0.9,15914,768,2.9,13.1,0.6,1246,368,18.0,13.8,3.8,7862,1045,8.1,20.4,2.4,11202,1370,7.4,20.4,2.3,1312,346,16.0,7.8,2.0,6792,774,6.9,75.4,2.1,25537,1683,4.0,66.2,2.2,35745,1684,2.9,65.2,0.9,13839,1099,4.8,81.8,1.6,972,311,19.5,10.8,3.2,5198,624,7.3,13.5,1.4,7878,623,4.8,14.4,0.9,1776,288,9.9,10.5,1.5,35.7,0.7,1.2,39.3,2.8,4.4,35.8,1.4,2.4,35.6,1.0,1.8,35.3,1.4,2.4
03805,9260,1356,8.9,4.6,0.7,2950,691,14.2,13.5,3.0,158,123.0,47.5,3.1,2.3,2910,858,17.9,14.9,4.0,3110,781,15.3,2.0,0.5,49846,3346,4.1,23.2,1.5,14779,1734,7.1,63.9,5.1,1599,588,22.3,30.6,9.2,7325,1285,10.7,34.5,4.4,24789,2607,6.4,15.5,1.6,29166,1857,3.9,13.6,0.8,140176,2958,1.3,65.2,0.7,45728,1596,2.1,21.3,0.6,2818,652,14.1,12.2,2.6,412,327,48.2,7.9,6.0,4083,1130,16.8,19.2,4.8,19388,1320,4.1,12.1,0.8,18588,1633,5.3,80.3,1.6,3775,815,13.1,72.3,3.3,14677,1657,6.9,69.1,11.4,100088,2680,1.6,62.6,1.1,1730,392,13.8,7.5,1.6,1033,472,27.8,19.8,8.0,2470,683,16.8,11.6,2.9,40379,1499,2.3,25.3,0.8,41.2,0.6,1.0,34.8,0.9,1.6,49.9,3.9,4.8,35.4,1.3,2.2,44.6,0.8,1.1
03806,14074,1702,7.4,7.7,0.9,3487,752,13.1,19.5,3.8,850,565.0,40.4,8.1,5.2,6840,1184,10.5,26.2,4.2,2673,856,19.5,2.2,0.7,44007,2756,3.8,22.7,1.4,11413,1240,6.6,61.3,3.9,2414,754,19.0,22.7,6.2,10021,1529,9.3,35.7,4.9,19308,1767,5.6,14.8,1.3,27230,1544,3.4,14.0,0.8,125545,2640,1.3,64.7,0.7,41347,1477,2.2,21.3,0.7,2109,566,16.3,11.3,2.9,735,381,31.5,6.9,3.4,4889,898,11.2,17.4,3.0,17217,1366,4.8,13.2,1.0,15211,1284,5.1,81.7,10.0,6722,1187,10.7,63.3,5.4,17919,1394,4.7,63.8,2.6,82894,2112,1.5,63.3,0.6,1300,522,24.4,7.0,2.7,3157,610,11.8,29.7,3.4,5283,862,9.9,18.8,2.8,30780,1274,2.5,23.5,0.8,43.1,0.6,0.9,37.4,1.4,2.2,51.8,2.2,2.6,39.0,1.6,2.6,45.2,0.8,1.1
03807,13165,1498,6.9,8.6,1.0,6267,921,8.9,24.1,3.2,547,399.0,44.3,7.3,5.2,4388,845,11.7,18.2,3.2,1927,532,16.8,2.1,0.6,46525,2164,2.8,29.4,1.3,18144,1526,5.1,68.2,4.1,1587,617,23.7,20.2,7.3,8941,1305,8.9,35.8,4.3,17192,1396,4.9,18.3,1.4,11847,873,4.5,7.5,0.5,125168,2703,1.3,79.2,0.9,21058,1100,3.2,13.3,0.7,1431,340,14.4,5.4,1.2,734,283,23.5,9.3,3.4,2736,590,13.1,11.0,2.2,5967,610,6.2,6.4,0.6,23355,1439,3.7,87.7,1.6,6049,950,9.5,76.9,5.3,18047,1666,5.6,72.3,3.1,74395,2199,1.8,79.3,1.2,1837,412,13.6,6.9,1.5,1085,316,17.7,13.8,3.5,4171,729,10.6,16.7,2.6,13483,974,4.4,14.4,1.0,37.9,0.6,0.9,34.2,0.7,1.2,41.5,2.4,3.4,40.4,2.0,3.0,39.2,0.7,1.2
03808,9597,1626,10.3,6.7,1.1,5010,1167,14.2,20.3,4.5,238,261.0,66.8,4.0,4.2,1389,586,25.6,12.1,4.9,2795,784,17.1,2.8,0.8,35202,2615,4.5,23.6,1.7,15328,1393,5.5,60.0,3.2,1358,889,39.8,22.2,13.0,3820,1141,18.2,32.4,8.9,13808,1536,6.8,13.6,1.4,12758,1109,5.3,8.6,0.7,109954,2925,1.6,73.8,0.8,26237,1386,3.2,17.6,0.8,2432,592,14.8,9.5,2.2,465,420,54.9,7.6,6.5,1135,424,22.7,9.6,3.4,7542,1196,9.6,7.4,1.1,21182,1522,4.4,82.9,8.5,4934,1530,18.9,80.5,7.9,8569,1236,8.8,72.6,6.1,72948,2326,1.9,71.7,3.3,1943,434,13.6,7.6,1.6,731,363,30.2,11.9,4.8,2098,479,13.9,17.8,3.5,21248,1173,3.4,20.9,0.9,36.9,0.6,1.0,33.8,1.1,1.9,41.3,2.7,4.0,35.2,2.3,3.9,38.2,0.8,1.2
03809,41906,2619,3.8,28.0,1.7,30740,2037,4.0,65.6,3.2,175,218.0,75.9,1.4,1.7,9731,1117,7.0,27.2,2.9,1057,331,19.0,2.1,0.6,52572,2524,2.9,34.0,1.5,36054,1933,3.3,75.2,2.3,1354,490,22.0,10.3,3.5,6499,1027,9.6,17.4,2.6,8032,1011,7.7,15.5,1.9,14844,1240,5.1,9.6,0.8,110260,2196,1.2,71.4,0.5,29376,1286,2.7,19.0,0.8,3753,553,8.9,7.8,1.1,2007,550,16.7,15.2,3.7,5655,873,9.4,15.2,2.2,2345,419,10.9,4.5,0.8,30230,1688,3.4,63.1,2.2,9228,1136,7.5,69.9,1.5,24721,1199,2.9,66.2,1.4,43289,1547,2.2,83.5,1.5,13944,944,4.1,29.1,1.5,1961,477,14.8,14.9,3.1,6950,662,5.8,18.6,1.6,6179,573,5.6,11.9,1.0,38.9,0.7,1.1,49.8,1.4,1.7,37.6,3.3,5.3,39.3,1.3,2.1,33.2,0.6,1.2
03810,7803,1238,9.6,5.3,0.8,5685,1007,10.8,25.2,4.2,50,70.0,84.8,1.4,1.9,631,318,30.6,6.1,3.0,1402,450,19.5,1.3,0.4,35674,2253,3.8,22.9,1.4,14029,1324,5.7,59.6,4.0,644,258,24.3,17.3,6.0,2646,576,13.2,23.7,4.4,17588,1714,5.9,15.7,1.5,18549,1130,3.7,11.9,0.7,116629,2743,1.4,74.9,0.6,20475,1081,3.2,13.2,0.6,2198,463,12.8,9.3,1.9,279,173,37.7,7.5,4.4,1906,544,17.4,17.1,4.5,12264,1091,5.4,11.0,0.9,18293,1264,4.2,77.8,1.7,3040,669,13.4,81.9,6.7,8456,871,6.3,75.9,11.5,83591,2382,1.7,74.7,0.4,3030,462,9.3,12.9,1.8,394,197,30.4,10.6,4.8,781,250,19.5,7.0,2.1,16059,1026,3.9,14.3,0.8,36.1,0.5,0.9,36.8,1.0,1.7,32.3,5.2,9.9,30.9,1.6,3.2,37.0,0.6,1.0
