borough,age_p25pl,age_p25pl_moe,age_p25pl_cv,age_p25pl_pct,age_p25pl_pct_moe,edu_lths,edu_lths_moe,edu_lths_cv,edu_lths_pct,edu_lths_pct_moe,edu_hsgrd,edu_hsgrd_moe,edu_hsgrd_cv,edu_hsgrd_pct,edu_hsgrd_pct_moe,edu_sclga,edu_sclga_moe,edu_sclga_cv,edu_sclga_pct,edu_sclga_pct_moe,edu_bchd,edu_bchd_moe,edu_bchd_cv,edu_bchd_pct,edu_bchd_pct_moe,age_p25pl_wnh,age_p25pl_wnh_moe,age_p25pl_wnh_cv,age_p25pl_wnh_pct,age_p25pl_wnh_pct_moe,edu_lths_wnh,edu_lths_wnh_moe,edu_lths_wnh_cv,edu_lths_wnh_pct,edu_lths_wnh_pct_moe,edu_hsgrd_wnh,edu_hsgrd_wnh_moe,edu_hsgrd_wnh_cv,edu_hsgrd_wnh_pct,edu_hsgrd_wnh_pct_moe,edu_sclga_wnh,edu_sclga_wnh_moe,edu_sclga_wnh_cv,edu_sclga_wnh_pct,edu_sclga_wnh_pct_moe,edu_bchd_wnh,edu_bchd_wnh_moe,edu_bchd_wnh_cv,edu_bchd_wnh_pct,edu_bchd_wnh_pct_moe,age_p25pl_bnh,age_p25pl_bnh_moe,age_p25pl_bnh_cv,age_p25pl_bnh_pct,age_p25pl_bnh_pct_moe,edu_lths_bnh,edu_lths_bnh_moe,edu_lths_bnh_cv,edu_lths_bnh_pct,edu_lths_bnh_pct_moe,edu_hsgrd_bnh,edu_hsgrd_bnh_moe,edu_hsgrd_bnh_cv,edu_hsgrd_bnh_pct,edu_hsgrd_bnh_pct_moe,edu_sclga_bnh,edu_sclga_bnh_moe,edu_sclga_bnh_cv,edu_sclga_bnh_pct,edu_sclga_bnh_pct_moe,edu_bchd_bnh,edu_bchd_bnh_moe,edu_bchd_bnh_cv,edu_bchd_bnh_pct,edu_bchd_bnh_pct_moe,age_p25pl_anh,age_p25pl_anh_moe,age_p25pl_anh_cv,age_p25pl_anh_pct,age_p25pl_anh_pct_moe,edu_lths_anh,edu_lths_anh_moe,edu_lths_anh_cv,edu_lths_anh_pct,edu_lths_anh_pct_moe,edu_hsgrd_anh,edu_hsgrd_anh_moe,edu_hsgrd_anh_cv,edu_hsgrd_anh_pct,edu_hsgrd_anh_pct_moe,edu_sclga_anh,edu_sclga_anh_moe,edu_sclga_anh_cv,edu_sclga_anh_pct,edu_sclga_anh_pct_moe,edu_bchd_anh,edu_bchd_anh_moe,edu_bchd_anh_cv,edu_bchd_anh_pct,edu_bchd_anh_pct_moe,age_p25pl_hsp,age_p25pl_hsp_moe,age_p25pl_hsp_cv,age_p25pl_hsp_pct,age_p25pl_hsp_pct_moe,edu_lths_hsp,edu_lths_hsp_moe,edu_lths_hsp_cv,edu_lths_hsp_pct,edu_lths_hsp_pct_moe,edu_hsgrd_hsp,edu_hsgrd_hsp_moe,edu_hsgrd_hsp_cv,edu_hsgrd_hsp_pct,edu_hsgrd_hsp_pct_moe,edu_sclga_hsp,edu_sclga_hsp_moe,edu_sclga_hsp_cv,edu_sclga_hsp_pct,edu_sclga_hsp_pct_moe,edu_bchd_hsp,edu_bchd_hsp_moe,edu_bchd_hsp_cv,edu_bchd_hsp_pct,edu_bchd_hsp_pct_moe
BX,798568,5282,0.4,100,,300989,4501,0.9,37.7,0.5,203255,3869,1.2,25.5,0.5,175416,3639,1.3,22.0,0.4,118908,3068,1.6,14.9,0.4,150402,3405,1.4,100,,35956,1744,2.9,23.9,1.0,46214,1969,2.6,30.7,1.1,28019,1544,3.3,18.6,0.9,40213,1841,2.8,26.7,1.1,249088,4196,1.0,100,,74233,2468,2.0,29.8,0.9,68509,2376,2.1,27.5,0.8,68656,2379,2.1,27.6,0.8,37690,1784,2.9,15.1,0.7,24931,1458,3.6,100,,7961,829,6.3,31.9,2.8,4789,644,8.2,19.2,2.3,3415,544,9.7,13.7,2.0,8766,870,6.0,35.2,2.8,351334,4743,0.8,100,,174632,3632,1.3,49.7,0.8,77388,2517,2.0,22.0,0.7,70645,2411,2.1,20.1,0.6,28669,1561,3.3,8.2,0.4
BK,1548374,7042,0.3,100,,478638,5785,0.7,30.9,0.3,411596,5455,0.8,26.6,0.3,315484,4887,0.9,20.4,0.3,342656,5061,0.9,22.1,0.3,605721,6295,0.6,100,,123500,3192,1.6,20.4,0.5,161684,3623,1.4,26.7,0.5,115817,3096,1.6,19.1,0.5,204720,4038,1.2,33.8,0.6,501414,5887,0.7,100,,150789,3507,1.4,30.1,0.6,148430,3481,1.4,29.6,0.6,127248,3238,1.5,25.4,0.6,74947,2513,2.0,14.9,0.5,119932,3148,1.6,100,,51861,2100,2.5,43.2,1.3,23731,1429,3.7,19.8,1.1,15687,1164,4.5,13.1,0.9,28653,1569,3.3,23.9,1.1,266376,4542,1.0,100,,135795,3339,1.5,51.0,0.9,61938,2290,2.2,23.3,0.8,45890,1978,2.6,17.2,0.7,22753,1400,3.7,8.5,0.5
MN,1134822,5139,0.3,100,,244566,4231,1.1,21.6,0.4,155512,3487,1.4,13.7,0.3,176648,3688,1.3,15.6,0.3,558096,5571,0.6,49.2,0.4,580698,5617,0.6,100,,23402,1415,3.7,4.0,0.2,47224,1995,2.6,8.1,0.3,79424,2559,2.0,13.7,0.4,430648,5198,0.7,74.2,0.5,158696,3518,1.3,100,,48502,2021,2.5,30.6,1.1,40526,1852,2.8,25.5,1.0,37552,1784,2.9,23.7,1.0,32116,1653,3.1,20.2,0.9,104984,2916,1.7,100,,35184,1729,3.0,33.5,1.4,11908,1013,5.2,11.3,0.9,9902,925,5.7,9.4,0.8,47990,2010,2.5,45.7,1.4,263257,4358,1.0,100,,131971,3239,1.5,50.1,0.9,51114,2072,2.5,19.4,0.7,43784,1923,2.7,16.6,0.7,36388,1757,2.9,13.8,0.6
QN,1502718,6488,0.3,100,,383982,5252,0.8,25.6,0.3,416569,5422,0.8,27.7,0.3,337947,4989,0.9,22.5,0.3,364220,5143,0.9,24.2,0.3,565742,6051,0.7,100,,109470,3007,1.7,19.3,0.5,171180,3705,1.3,30.3,0.6,121410,3158,1.6,21.5,0.5,163682,3629,1.3,28.9,0.6,263191,4489,1.0,100,,61309,2276,2.3,23.3,0.8,75360,2515,2.0,28.6,0.8,79246,2577,2.0,30.1,0.8,47276,2005,2.6,18.0,0.7,264941,4502,1.0,100,,65496,2350,2.2,24.7,0.8,54116,2142,2.4,20.4,0.7,47222,2004,2.6,17.8,0.7,98107,2854,1.8,37.0,0.9,328958,4934,0.9,100,,125396,3206,1.6,38.1,0.8,90556,2747,1.8,27.5,0.7,73182,2480,2.1,22.2,0.7,39824,1843,2.8,12.1,0.5
SI,297302,2955,0.6,100,,52677,2010,2.3,17.7,0.7,99001,2590,1.6,33.3,0.8,75308,2334,1.9,25.3,0.7,70316,2270,2.0,23.7,0.7,224113,3124,0.8,100,,35177,1678,2.9,15.7,0.7,80438,2395,1.8,35.9,0.9,56103,2065,2.2,25.0,0.9,52395,2005,2.3,23.4,0.8,22626,1366,3.7,100,,5168,666,7.8,22.8,2.6,5869,709,7.3,25.9,2.7,6948,771,6.7,30.7,2.9,4641,632,8.3,20.5,2.5,16509,1175,4.3,100,,2579,472,11.1,15.6,2.6,2537,468,11.2,15.4,2.6,2813,493,10.7,17.0,2.7,8580,855,6.1,52.0,3.6,28492,1523,3.2,100,,8569,855,6.1,30.1,2.5,8485,850,6.1,29.8,2.5,7818,817,6.4,27.4,2.5,3620,559,9.4,12.7,1.8
