puma,classa_net_count,classa_net_alt_decrease_count,classa_net_alt_increase_count,classa_net_demo_count,classa_net_new_count,classa_net_pct,classa_net_alt_decrease_pct,classa_net_alt_increase_pct,classa_net_demo_pct,classa_net_new_pct,total_units_2010_count
04103,4501.0,-47.0,638.0,-843.0,4753.0,4.7,-0.05,0.67,-0.88,4.96,95807.0
04104,691.0,-28.0,274.0,-335.0,780.0,1.51,-0.06,0.6,-0.73,1.7,45800.0
04105,666.0,-23.0,336.0,-124.0,477.0,1.05,-0.04,0.53,-0.2,0.75,63359.0
04106,1895.0,-27.0,731.0,-180.0,1371.0,3.29,-0.05,1.27,-0.31,2.38,57517.0
04107,1766.0,-56.0,324.0,-256.0,1754.0,3.79,-0.12,0.7,-0.55,3.76,46608.0
04108,1111.0,-19.0,67.0,-92.0,1155.0,2.03,-0.03,0.12,-0.17,2.11,54681.0
04109,14507.0,-32.0,573.0,-307.0,14273.0,26.29,-0.06,1.04,-0.56,25.87,55172.0
04110,1257.0,-43.0,405.0,-144.0,1039.0,1.89,-0.06,0.61,-0.22,1.57,66339.0
04111,858.0,-18.0,117.0,-98.0,857.0,1.78,-0.04,0.24,-0.2,1.78,48151.0
04112,3914.0,-19.0,474.0,-209.0,3668.0,5.21,-0.03,0.63,-0.28,4.88,75185.0
04113,493.0,-18.0,286.0,-140.0,365.0,1.18,-0.04,0.69,-0.34,0.88,41651.0
04114,2105.0,-39.0,49.0,-670.0,2765.0,4.65,-0.09,0.11,-1.48,6.11,45250.0
