PUMA,classa_net_all,classa_net_alteration_decrease,classa_net_alteration_increase,classa_net_demolition,classa_net_new_building,net_change_pct_2010_census_housing_stock_all,net_change_pct_2010_census_housing_stock_alteration_decrease,net_change_pct_2010_census_housing_stock_alteration_increase,net_change_pct_2010_census_housing_stock_demolition,net_change_pct_2010_census_housing_stock_new_building
3701,1982.0,-13.0,40.0,-201.0,2156.0,4.31,-0.03,0.09,-0.44,4.69
3702,3919.0,-13.0,116.0,-294.0,4110.0,7.48,-0.02,0.22,-0.56,7.85
3703,1866.0,-6.0,83.0,-242.0,2031.0,3.72,-0.01,0.17,-0.48,4.05
3704,1499.0,-17.0,62.0,-225.0,1679.0,3.15,-0.04,0.13,-0.47,3.53
3705,15122.0,-47.0,141.0,-359.0,15387.0,26.47,-0.08,0.25,-0.63,26.93
3706,3408.0,-14.0,136.0,-212.0,3498.0,7.46,-0.03,0.3,-0.46,7.66
3707,4175.0,-44.0,92.0,-184.0,4311.0,9.14,-0.1,0.2,-0.4,9.44
3708,5420.0,-10.0,121.0,-112.0,5421.0,11.03,-0.02,0.25,-0.23,11.04
3709,3885.0,-25.0,98.0,-209.0,4021.0,5.7,-0.04,0.14,-0.31,5.9
3710,10262.0,-107.0,180.0,-190.0,10379.0,20.53,-0.21,0.36,-0.38,20.76
3801,947.0,-43.0,106.0,-77.0,961.0,1.24,-0.06,0.14,-0.1,1.26
3802,2253.0,-150.0,276.0,-256.0,2383.0,4.4,-0.29,0.54,-0.5,4.65
3803,6301.0,-756.0,1000.0,-410.0,6467.0,11.05,-1.33,1.75,-0.72,11.34
3804,7497.0,-119.0,750.0,-561.0,7427.0,15.39,-0.24,1.54,-1.15,15.24
3805,4456.0,-1037.0,280.0,-1242.0,6455.0,3.26,-0.76,0.2,-0.91,4.72
3806,8627.0,-1393.0,1509.0,-162.0,8673.0,7.57,-1.22,1.32,-0.14,7.61
3807,37721.0,-1047.0,2218.0,-1128.0,37678.0,37.93,-1.05,2.23,-1.13,37.89
3808,6696.0,-615.0,1124.0,-605.0,6792.0,6.88,-0.63,1.15,-0.62,6.98
3809,7207.0,-173.0,663.0,-594.0,7311.0,9.47,-0.23,0.87,-0.78,9.61
3810,16382.0,-958.0,5309.0,-589.0,12620.0,18.15,-1.06,5.88,-0.65,13.98
3901,4898.0,-36.0,98.0,-830.0,5666.0,8.11,-0.06,0.16,-1.37,9.38
3902,2759.0,-27.0,68.0,-1018.0,3736.0,5.43,-0.05,0.13,-2.0,7.35
3903,4374.0,-34.0,92.0,-917.0,5233.0,6.69,-0.05,0.14,-1.4,8.0
4001,24034.0,-164.0,2458.0,-767.0,22507.0,37.65,-0.26,3.85,-1.2,35.26
4002,9932.0,-45.0,1424.0,-527.0,9080.0,21.49,-0.1,3.08,-1.14,19.65
4003,9221.0,-155.0,1206.0,-622.0,8792.0,16.6,-0.28,2.17,-1.12,15.82
4004,22611.0,-758.0,2516.0,-449.0,21302.0,38.51,-1.29,4.28,-0.76,36.28
4005,5265.0,-483.0,380.0,-547.0,5915.0,10.26,-0.94,0.74,-1.07,11.52
4006,7349.0,-140.0,968.0,-417.0,6938.0,13.5,-0.26,1.78,-0.77,12.75
4007,6031.0,-23.0,147.0,-161.0,6068.0,13.36,-0.05,0.33,-0.36,13.44
4008,6450.0,-15.0,57.0,-222.0,6630.0,11.63,-0.03,0.1,-0.4,11.95
4009,1513.0,-31.0,81.0,-178.0,1641.0,2.13,-0.04,0.11,-0.25,2.32
4010,2357.0,-8.0,190.0,-218.0,2393.0,4.6,-0.02,0.37,-0.43,4.67
4011,4623.0,-33.0,293.0,-274.0,4637.0,10.94,-0.08,0.69,-0.65,10.98
4012,2574.0,-173.0,694.0,-387.0,2440.0,5.36,-0.36,1.44,-0.81,5.08
4013,766.0,-46.0,97.0,-133.0,848.0,1.35,-0.08,0.17,-0.23,1.5
4014,1828.0,-212.0,399.0,-901.0,2542.0,3.5,-0.41,0.76,-1.72,4.86
4015,2897.0,-54.0,99.0,-404.0,3256.0,4.85,-0.09,0.17,-0.68,5.45
4016,2152.0,-105.0,126.0,-846.0,2977.0,3.3,-0.16,0.19,-1.3,4.56
4017,2286.0,-28.0,206.0,-409.0,2517.0,3.16,-0.04,0.28,-0.57,3.48
4018,3153.0,-49.0,48.0,-525.0,3679.0,6.17,-0.1,0.09,-1.03,7.2
4101,9781.0,-48.0,841.0,-759.0,9747.0,12.14,-0.06,1.04,-0.94,12.1
4102,3048.0,-46.0,230.0,-356.0,3220.0,5.16,-0.08,0.39,-0.6,5.45
4103,8594.0,-49.0,681.0,-1262.0,9224.0,8.97,-0.05,0.71,-1.32,9.63
4104,1334.0,-31.0,290.0,-517.0,1592.0,2.91,-0.07,0.63,-1.13,3.48
4105,1606.0,-24.0,385.0,-234.0,1479.0,2.53,-0.04,0.61,-0.37,2.33
4106,3652.0,-30.0,750.0,-294.0,3226.0,6.35,-0.05,1.3,-0.51,5.61
4107,3005.0,-56.0,338.0,-349.0,3072.0,6.45,-0.12,0.73,-0.75,6.59
4108,1564.0,-25.0,73.0,-144.0,1660.0,2.86,-0.05,0.13,-0.26,3.04
4109,18187.0,-36.0,592.0,-412.0,18043.0,32.96,-0.07,1.07,-0.75,32.7
4110,2232.0,-48.0,423.0,-216.0,2073.0,3.36,-0.07,0.64,-0.33,3.12
4111,2014.0,-21.0,134.0,-156.0,2057.0,4.18,-0.04,0.28,-0.32,4.27
4112,7085.0,-22.0,487.0,-359.0,6979.0,9.42,-0.03,0.65,-0.48,9.28
4113,1106.0,-21.0,300.0,-208.0,1035.0,2.66,-0.05,0.72,-0.5,2.48
4114,5443.0,-148.0,50.0,-832.0,6373.0,12.03,-0.33,0.11,-1.84,14.08
