puma,area_historic_pct,area_historic_sqmiles,total_sqmiles
03701,5.62,0.2,3.51
03702,0.0,0.0,6.78
03703,0.0,0.0,9.6
03704,0.0,0.0,3.81
03705,0.26,0.01,4.39
03706,0.06,0.0,1.57
03707,0.23,0.0,1.52
03708,7.37,0.15,2.0
03709,0.0,0.0,4.45
03710,0.91,0.04,4.94
03801,1.13,0.03,2.91
03802,8.87,0.15,1.68
03803,8.78,0.13,1.43
03804,0.23,0.01,2.32
03805,20.6,0.41,1.98
03806,20.95,0.66,3.17
03807,7.33,0.23,3.07
03808,3.73,0.06,1.61
03809,2.98,0.05,1.75
03810,37.89,1.1,2.91
03901,0.0,0.0,20.48
03902,2.26,0.55,24.23
03903,0.48,0.07,13.5
04001,1.25,0.05,4.12
04002,0.0,0.0,2.54
04003,7.91,0.18,2.3
04004,21.9,0.68,3.11
04005,10.94,0.45,4.11
04006,19.3,0.43,2.22
04007,0.0,0.0,2.59
04008,0.0,0.0,5.89
04009,0.0,0.0,12.33
04010,0.17,0.01,3.08
04011,5.83,0.1,1.71
04012,1.35,0.05,4.02
04013,0.14,0.01,3.84
04014,0.0,0.0,3.15
04015,6.82,0.2,2.91
04016,0.0,0.0,4.33
04017,0.0,0.0,3.7
04018,0.0,0.0,3.44
04101,0.0,0.0,5.16
04102,4.69,0.2,4.2
04103,1.23,0.15,11.83
04104,3.68,0.34,9.33
04105,0.0,0.0,19.73
04106,0.0,0.0,7.44
04107,0.0,0.0,3.86
04108,0.0,0.0,2.79
04109,1.47,0.09,5.99
04110,1.91,0.14,7.36
04111,0.0,0.0,4.75
04112,1.34,0.12,9.33
04113,0.0,0.0,6.17
04114,0.0,0.0,11.14
