puma,units_eli_newconstruction_count,units_eli_preservation_count,units_vli_newconstruction_count,units_vli_preservation_count,units_li_newconstruction_count,units_li_preservation_count,units_mi_newconstruction_count,units_mi_preservation_count,units_midi_newconstruction_count,units_midi_preservation_count,units_oi_newconstruction_count,units_oi_preservation_count,units_allami_preservation_count,units_allami_newconstruction_count
03701,121.0,0.0,14.0,283.0,226.0,117.0,29.0,41.0,33.0,352.0,3.0,5.0,798.0,426.0
03702,226.0,8.0,44.0,332.0,263.0,395.0,10.0,24.0,53.0,0.0,5.0,2.0,761.0,601.0
03703,0.0,75.0,0.0,10671.0,0.0,4867.0,0.0,5.0,17.0,0.0,0.0,1.0,15619.0,17.0
03704,0.0,0.0,0.0,171.0,4.0,58.0,33.0,5.0,33.0,0.0,1.0,0.0,234.0,71.0
03705,2409.0,900.0,637.0,1602.0,2725.0,2640.0,152.0,449.0,121.0,17.0,40.0,48.0,5656.0,6084.0
03706,597.0,57.0,335.0,228.0,675.0,731.0,187.0,21.0,54.0,11.0,14.0,17.0,1065.0,1862.0
03707,559.0,202.0,216.0,1273.0,978.0,2289.0,145.0,72.0,112.0,17.0,14.0,45.0,3898.0,2024.0
03708,751.0,1074.0,311.0,1302.0,1049.0,1635.0,250.0,136.0,80.0,0.0,13.0,48.0,4195.0,2454.0
03709,525.0,573.0,90.0,2336.0,583.0,901.0,131.0,31.0,8.0,13.0,5.0,15.0,3869.0,1342.0
03710,1173.0,1276.0,640.0,1314.0,1950.0,2443.0,239.0,76.0,202.0,112.0,24.0,48.0,5269.0,4228.0
03801,207.0,453.0,35.0,648.0,194.0,522.0,0.0,220.0,22.0,243.0,3.0,19.0,2105.0,461.0
03802,129.0,680.0,24.0,412.0,244.0,978.0,14.0,279.0,18.0,133.0,3.0,23.0,2505.0,432.0
03803,268.0,1076.0,190.0,2978.0,323.0,2277.0,22.0,615.0,275.0,124.0,9.0,60.0,7130.0,1087.0
03804,346.0,1728.0,381.0,4095.0,713.0,1638.0,248.0,1522.0,273.0,746.0,7.0,39.0,9768.0,1968.0
03805,0.0,487.0,69.0,163.0,108.0,92.0,68.0,11.0,191.0,0.0,1.0,2.0,755.0,437.0
03806,0.0,446.0,0.0,534.0,393.0,260.0,0.0,35.0,0.0,87.0,0.0,6.0,1368.0,393.0
03807,0.0,1040.0,439.0,768.0,1473.0,965.0,183.0,597.0,185.0,665.0,3.0,6.0,4041.0,2283.0
03808,8.0,88.0,43.0,11.0,343.0,777.0,27.0,104.0,70.0,4725.0,2.0,1.0,5706.0,493.0
03809,54.0,1062.0,244.0,2496.0,406.0,2104.0,114.0,595.0,158.0,534.0,4.0,14.0,6805.0,980.0
03810,0.0,0.0,22.0,175.0,232.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,175.0,267.0
03902,160.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,1.0,1.0,178.0,161.0
03903,31.0,761.0,66.0,196.0,73.0,706.0,0.0,33.0,3.0,1.0,2.0,4.0,1701.0,175.0
04001,237.0,436.0,235.0,1257.0,1421.0,1810.0,149.0,25.0,638.0,1.0,6.0,19.0,3548.0,2686.0
04002,57.0,201.0,14.0,298.0,489.0,91.0,6.0,5.0,635.0,0.0,0.0,9.0,604.0,1201.0
04003,111.0,198.0,58.0,490.0,259.0,1065.0,80.0,39.0,281.0,32.0,2.0,21.0,1845.0,791.0
04004,392.0,122.0,18.0,780.0,1081.0,1272.0,226.0,24.0,269.0,422.0,6.0,7.0,2627.0,1992.0
04005,0.0,33.0,14.0,108.0,278.0,115.0,14.0,4.0,213.0,13.0,0.0,1.0,274.0,519.0
04006,120.0,205.0,124.0,620.0,365.0,873.0,125.0,513.0,435.0,60.0,5.0,24.0,2295.0,1174.0
04007,1050.0,271.0,836.0,362.0,1622.0,2071.0,78.0,729.0,70.0,45.0,25.0,15.0,3493.0,3681.0
