puma,units_hpd_count
03701,1260
03702,1239
03703,15636
03704,305
03705,11024
03706,2984
03707,5971
03708,7399
03709,6442
03710,9878
03801,2566
03802,2937
03803,8251
03804,11736
03805,1227
03806,1810
03807,6324
03808,6199
03809,7989
03810,442
03902,339
03903,1993
04001,6754
04002,1826
04003,2835
04004,4975
04005,803
04006,3472
04007,7313
04008,11903
04009,44
04010,1014
04011,1768
04012,746
04013,5
04014,52
04015,1250
04016,1064
04017,471
04018,3034
04101,989
04102,148
04103,326
04104,30
04105,25
04106,2708
04107,382
04108,739
04109,3028
04110,206
04111,47
04112,9210
04113,12
04114,5473
