puma,DHS_shelter_2018
03701,385.0
03702,1785.0
03703,474.0
03704,770.0
03705,3665.0
03706,1515.0
03707,2199.0
03708,2273.0
03709,1907.0
03710,3012.0
03801,878.0
03802,744.0
03803,1546.0
03804,1457.0
03805,106.0
03806,418.0
03807,534.0
03808,136.0
03809,670.0
03810,452.0
03901,57.0
03902,85.0
03903,909.0
04001,522.0
04002,875.0
04003,2000.0
04004,508.0
04005,317.0
04006,947.0
04007,1693.0
04008,2626.0
04009,826.0
04010,1317.0
04011,609.0
04012,271.0
04013,102.0
04014,147.0
04015,587.0
04016,244.0
04017,172.0
04018,472.0
04101,655.0
04102,296.0
04103,172.0
04104,24.0
04105,570.0
04106,240.0
04107,261.0
04108,38.0
04109,269.0
04110,298.0
04111,272.0
04112,1636.0
04113,228.0
04114,999.0
