puma,units_occupied_count,units_occupied_count_moe,units_occupied_cv,units_occupied_pct,units_occupied_pct_moe,units_occupied_owner_count,units_occupied_owner_count_moe,units_occupied_owner_cv,units_occupied_owner_pct,units_occupied_owner_pct_moe,units_occupied_renter_count,units_occupied_renter_count_moe,units_occupied_renter_cv,units_occupied_renter_pct,units_occupied_renter_pct_moe,units_occupied_wnh_count,units_occupied_wnh_count_moe,units_occupied_wnh_cv,units_occupied_wnh_pct,units_occupied_wnh_pct_moe,units_occupied_owner_wnh_count,units_occupied_owner_wnh_count_moe,units_occupied_owner_wnh_cv,units_occupied_owner_wnh_pct,units_occupied_owner_wnh_pct_moe,units_occupied_renter_wnh_count,units_occupied_renter_wnh_count_moe,units_occupied_renter_wnh_cv,units_occupied_renter_wnh_pct,units_occupied_renter_wnh_pct_moe,units_occupied_bnh_count,units_occupied_bnh_count_moe,units_occupied_bnh_cv,units_occupied_bnh_pct,units_occupied_bnh_pct_moe,units_occupied_owner_bnh_count,units_occupied_owner_bnh_count_moe,units_occupied_owner_bnh_cv,units_occupied_owner_bnh_pct,units_occupied_owner_bnh_pct_moe,units_occupied_renter_bnh_count,units_occupied_renter_bnh_count_moe,units_occupied_renter_bnh_cv,units_occupied_renter_bnh_pct,units_occupied_renter_bnh_pct_moe,units_occupied_anh_count,units_occupied_anh_count_moe,units_occupied_anh_cv,units_occupied_anh_pct,units_occupied_anh_pct_moe,units_occupied_owner_anh_count,units_occupied_owner_anh_count_moe,units_occupied_owner_anh_cv,units_occupied_owner_anh_pct,units_occupied_owner_anh_pct_moe,units_occupied_renter_anh_count,units_occupied_renter_anh_count_moe,units_occupied_renter_anh_cv,units_occupied_renter_anh_pct,units_occupied_renter_anh_pct_moe,units_occupied_hsp_count,units_occupied_hsp_count_moe,units_occupied_hsp_cv,units_occupied_hsp_pct,units_occupied_hsp_pct_moe,units_occupied_owner_hsp_count,units_occupied_owner_hsp_count_moe,units_occupied_owner_hsp_cv,units_occupied_owner_hsp_pct,units_occupied_owner_hsp_pct_moe,units_occupied_renter_hsp_count,units_occupied_renter_hsp_count_moe,units_occupied_renter_hsp_cv,units_occupied_renter_hsp_pct,units_occupied_renter_hsp_pct_moe
03801,74941,1938,1.6,100,,4769,575,7.3,6.4,0.7,70172,575,0.5,93.6,2.5,14784,937,3.9,100,,2450,419,10.4,16.6,2.6,12334,873,4.3,83.4,2.6,8860,761,5.2,100,,851,250,17.8,9.6,2.7,8009,728,5.5,90.4,2.7,2037,383,11.4,100,,125,96.0,46.7,6.1,4.6,1912,371,11.8,93.9,4.6,47660,1039,1.3,100,,1270,304,14.6,2.7,0.6,46390,1144,1.5,97.3,1.1
03802,46735,1538,2.0,100,,5497,599,6.6,11.8,1.2,41238,599,0.9,88.2,3.2,10988,789,4.4,100,,2336,405,10.5,21.3,3.4,8652,722,5.1,78.7,3.4,16419,888,3.3,100,,1975,374,11.5,12.0,2.2,14444,860,3.6,88.0,2.2,2172,392,11.0,100,,417,175.0,25.5,19.2,7.3,1755,354,12.2,80.8,7.3,15426,802,3.2,100,,683,223,19.9,4.4,1.4,14743,864,3.6,95.6,2.6
03803,47216,1546,2.0,100,,2971,454,9.3,6.3,0.9,44245,454,0.6,93.7,3.2,1160,289,15.2,100,,109,90,50.0,9.4,7.4,1051,276,16.0,90.6,7.4,37961,742,1.2,100,,2496,418,10.2,6.6,1.1,35465,808,1.4,93.4,1.1,555,202,22.1,100,,76,75.0,60.0,13.7,12.6,479,187,23.8,86.3,12.6,5988,570,5.8,100,,229,130,34.5,3.8,2.1,5759,612,6.5,96.2,4.5
03804,42470,1467,2.1,100,,2667,430,9.8,6.3,1.0,39803,430,0.7,93.7,3.4,4136,526,7.7,100,,846,248,17.8,20.5,5.4,3290,474,8.8,79.5,5.4,15824,857,3.3,100,,1198,294,14.9,7.6,1.8,14626,843,3.5,92.4,1.8,786,239,18.5,100,,52,62.0,72.5,6.6,7.6,734,231,19.1,93.4,7.6,20396,812,2.4,100,,471,186,24.0,2.3,0.9,19925,885,2.7,97.7,1.9
03805,124461,2477,1.2,100,,38322,1401,2.2,30.8,0.9,86139,1401,1.0,69.2,1.8,106388,1069,0.6,100,,34947,1364,2.4,32.8,1.2,71441,1501,1.3,67.2,1.2,2481,424,10.4,100,,222,128,35.1,8.9,4.9,2259,405,10.9,91.1,4.9,7460,721,5.9,100,,1708,353.0,12.6,22.9,4.2,5752,637,6.7,77.1,4.2,6431,616,5.8,100,,1180,294,15.2,18.3,4.2,5251,610,7.1,81.7,5.4
03806,107755,2311,1.3,100,,31419,1284,2.5,29.2,1.0,76336,1284,1.0,70.8,1.9,78827,1252,1.0,100,,27647,1234,2.7,35.1,1.5,51180,1410,1.7,64.9,1.5,8941,779,5.3,100,,1047,277,16.1,11.7,2.9,7894,736,5.7,88.3,2.9,5631,629,6.8,100,,1332,312.0,14.2,23.7,4.9,4299,553,7.8,76.3,4.9,11946,813,4.1,100,,1080,281,15.8,9.0,2.3,10866,851,4.8,91.0,3.5
03807,71637,1896,1.6,100,,14773,932,3.8,20.6,1.2,56864,932,1.0,79.4,2.5,50746,1047,1.3,100,,12396,871,4.3,24.4,1.6,38350,1149,1.8,75.6,1.6,3903,523,8.1,100,,428,177,25.2,11.0,4.3,3475,495,8.7,89.0,4.3,6093,642,6.4,100,,797,242.0,18.4,13.1,3.7,5296,603,6.9,86.9,3.7,8676,689,4.8,100,,1012,272,16.3,11.7,3.0,7664,712,5.6,88.3,4.3
03808,88174,2098,1.4,100,,22888,1120,3.0,26.0,1.1,65286,1120,1.0,74.0,2.2,70506,1023,0.9,100,,19367,1058,3.3,27.5,1.4,51139,1261,1.5,72.5,1.4,2196,398,11.0,100,,229,130,34.5,10.4,5.6,1967,377,11.7,89.6,5.6,8580,757,5.4,100,,1949,376.0,11.7,22.7,3.9,6631,674,6.2,77.3,3.9,5236,554,6.4,100,,941,263,17.0,18.0,4.6,4295,550,7.8,82.0,5.9
03809,69502,1868,1.6,100,,8321,736,5.4,12.0,1.0,61181,736,0.7,88.0,2.6,28419,1115,2.4,100,,5475,611,6.8,19.3,2.0,22944,1067,2.8,80.7,2.0,4744,572,7.3,100,,436,179,25.0,9.2,3.6,4308,547,7.7,90.8,3.6,18171,997,3.3,100,,1370,315.0,14.0,7.5,1.7,16801,971,3.5,92.5,1.7,16307,881,3.3,100,,881,254,17.5,5.4,1.5,15426,943,3.7,94.6,2.7
03810,67846,1847,1.7,100,,17729,985,3.4,26.1,1.3,50117,985,1.2,73.9,2.5,53997,903,1.0,100,,15198,934,3.7,28.1,1.7,38799,1109,1.7,71.9,1.7,1680,348,12.6,100,,397,171,26.2,23.6,8.9,1283,305,14.5,76.4,8.9,7540,704,5.7,100,,1416,320.0,13.8,18.8,3.9,6124,642,6.4,81.2,3.9,3023,424,8.5,100,,458,184,24.4,15.2,5.7,2565,427,10.1,84.8,7.6
03901,53864,1649,1.9,100,,40746,857,1.3,75.6,2.8,13118,857,4.0,24.4,1.4,49085,568,0.7,100,,37618,917,1.5,76.6,1.6,11467,817,4.3,23.4,1.6,356,162,27.6,100,,186,117,38.3,52.2,22.8,170,112,40.1,47.8,22.8,1279,304,14.5,100,,1082,280.0,15.7,84.6,8.7,197,121,37.2,15.4,8.7,2658,396,9.1,100,,1688,348,12.5,63.5,9.0,970,266,16.6,36.5,8.4
03902,46707,1538,2.0,100,,29924,892,1.8,64.1,2.8,16783,892,3.2,35.9,1.5,37646,735,1.2,100,,25290,927,2.2,67.2,2.1,12356,820,4.0,32.8,2.1,996,269,16.4,100,,265,140,32.0,26.6,12.0,731,231,19.2,73.4,12.0,3558,493,8.4,100,,2574,424.0,10.0,72.3,6.5,984,267,16.5,27.7,6.5,3786,465,7.5,100,,1345,311,14.1,35.5,7.0,2441,414,10.3,64.5,7.5
03903,57236,1699,1.8,100,,29764,1028,2.1,52.0,0.9,27472,1028,2.3,48.0,1.1,33256,1016,1.9,100,,21404,996,2.8,64.4,2.3,11852,834,4.3,35.6,2.3,11706,830,4.3,100,,3710,507,8.3,31.7,3.7,7996,714,5.4,68.3,3.7,2395,412,10.5,100,,1299,307.0,14.3,54.2,8.8,1096,282,15.6,45.8,8.8,7905,651,5.0,100,,2746,440,9.7,34.7,4.8,5159,590,6.9,65.3,5.2
04001,50513,1598,1.9,100,,7584,691,5.5,15.0,1.3,42929,691,1.0,85.0,3.0,27463,963,2.1,100,,5294,592,6.8,19.3,2.0,22169,960,2.6,80.7,2.0,2421,413,10.4,100,,273,142,31.6,11.3,5.5,2148,390,11.0,88.7,5.5,2184,393,10.9,100,,349,160.0,27.9,16.0,6.7,1835,362,12.0,84.0,6.7,16035,825,3.1,100,,1251,301,14.6,7.8,1.8,14784,880,3.6,92.2,2.8
04002,35346,1340,2.3,100,,5048,566,6.8,14.3,1.5,30298,566,1.1,85.7,3.6,1339,309,14.0,100,,281,144,31.1,21.0,9.6,1058,276,15.8,79.0,9.6,9038,706,4.7,100,,1924,367,11.6,21.3,3.7,7114,649,5.5,78.7,3.7,1077,278,15.7,100,,408,173.0,25.7,37.9,12.7,669,220,20.0,62.1,12.7,22686,711,1.9,100,,2050,378,11.2,9.0,1.6,20636,797,2.3,91.0,2.1
04003,42855,1474,2.1,100,,8431,708,5.1,19.7,1.5,34424,708,1.3,80.3,3.2,854,249,17.7,100,,89,81,55.4,10.4,9.0,765,236,18.7,89.6,9.0,33601,733,1.3,100,,7642,682,5.4,22.7,2.0,25959,870,2.0,77.3,2.0,274,142,31.5,100,,71,72.0,62.0,25.9,22.8,203,122,36.6,74.1,22.8,7055,606,5.2,100,,459,183,24.3,6.5,2.5,6596,643,5.9,93.5,4.3
04004,48470,1566,2.0,100,,13003,839,3.9,26.8,1.5,35467,839,1.4,73.2,2.9,18256,918,3.1,100,,7067,669,5.8,38.7,3.1,11189,798,4.3,61.3,3.1,19349,928,2.9,100,,4463,548,7.5,23.1,2.6,14886,874,3.6,76.9,2.6,1645,343,12.7,100,,152,106.0,42.4,9.2,6.1,1493,327,13.3,90.8,6.1,7659,633,5.0,100,,1012,271,16.3,13.2,3.4,6647,652,6.0,86.8,4.6
04005,47760,1555,2.0,100,,13896,854,3.7,29.1,1.5,33864,854,1.5,70.9,2.9,30465,904,1.8,100,,10467,778,4.5,34.4,2.3,19998,928,2.8,65.6,2.3,4955,573,7.0,100,,827,245,18.0,16.7,4.6,4128,528,7.8,83.3,4.6,1722,351,12.4,100,,544,200.0,22.3,31.6,9.6,1178,292,15.1,68.4,9.6,8996,674,4.6,100,,1618,340,12.8,18.0,3.5,7378,680,5.6,82.0,4.4
04006,45914,1525,2.0,100,,7294,674,5.6,15.9,1.4,38620,674,1.1,84.1,3.2,3945,517,8.0,100,,1275,303,14.4,32.3,6.4,2670,431,9.8,67.7,6.4,35974,759,1.3,100,,5180,583,6.8,14.4,1.6,30794,866,1.7,85.6,1.6,857,250,17.7,100,,245,134.0,33.3,28.6,13.3,612,211,21.0,71.4,13.3,3765,464,7.5,100,,405,172,25.9,10.8,4.4,3360,480,8.7,89.2,6.5
04007,37921,1388,2.2,100,,6655,637,5.8,17.5,1.6,31266,637,1.2,82.5,3.5,194,120,37.5,100,,105,88,51.0,54.1,30.8,89,81,55.4,45.9,30.8,29874,685,1.4,100,,5246,579,6.7,17.6,1.9,24628,799,2.0,82.4,1.9,256,137,32.6,100,,44,57.0,78.8,17.2,20.3,212,125,35.8,82.8,20.3,6509,579,5.4,100,,927,259,17.0,14.2,3.8,5582,594,6.5,85.8,5.0
04008,45986,1526,2.0,100,,10645,778,4.4,23.1,1.5,35341,778,1.3,76.9,3.1,3894,514,8.0,100,,630,214,20.7,16.2,5.1,3264,474,8.8,83.8,5.1,22545,922,2.5,100,,5329,591,6.7,23.6,2.4,17216,893,3.2,76.4,2.4,1468,324,13.4,100,,537,198.0,22.4,36.6,10.8,931,260,17.0,63.4,10.8,15838,804,3.1,100,,3393,482,8.6,21.4,2.8,12445,820,4.0,78.6,3.3
04009,65081,1809,1.7,100,,36286,1090,1.8,55.8,0.6,28795,1090,2.3,44.2,1.1,26785,1080,2.5,100,,17580,975,3.4,65.6,2.5,9205,765,5.1,34.4,2.5,30202,1095,2.2,100,,14893,922,3.8,49.3,2.5,15309,931,3.7,50.7,2.5,1650,345,12.7,100,,1061,278.0,15.9,64.3,10.1,589,208,21.5,35.7,10.1,4621,517,6.8,100,,1849,365,12.0,40.0,6.5,2772,443,9.7,60.0,6.9
04010,48837,1572,2.0,100,,15563,886,3.5,31.9,1.5,33274,886,1.6,68.1,2.8,1022,272,16.2,100,,534,198,22.5,52.3,13.4,488,189,23.6,47.7,13.4,42946,619,0.9,100,,13905,858,3.8,32.4,1.9,29041,934,2.0,67.6,1.9,591,208,21.4,100,,189,118.0,38.0,32.0,16.5,402,172,26.0,68.0,16.5,2583,390,9.2,100,,477,187,23.8,18.5,6.7,2106,386,11.1,81.5,8.5
04011,41396,1449,2.1,100,,6537,638,5.9,15.8,1.4,34859,638,1.1,84.2,3.3,2492,416,10.2,100,,978,266,16.5,39.2,8.4,1514,329,13.2,60.8,8.4,33482,688,1.2,100,,5103,576,6.9,15.2,1.7,28379,813,1.7,84.8,1.7,287,145,30.8,100,,51,61.0,73.2,17.8,19.4,236,132,34.0,82.2,19.4,3479,445,7.8,100,,305,150,29.8,8.8,4.2,3174,466,8.9,91.2,6.6
04012,44057,1494,2.1,100,,10933,780,4.3,24.8,1.6,33124,780,1.4,75.2,3.1,14309,846,3.6,100,,5268,586,6.8,36.8,3.5,9041,729,4.9,63.2,3.5,1718,350,12.4,100,,282,144,31.0,16.4,7.7,1436,321,13.6,83.6,7.7,7934,694,5.3,100,,2450,414.0,10.3,30.9,4.5,5484,596,6.6,69.1,4.5,18344,816,2.7,100,,2460,415,10.2,13.4,2.2,15884,867,3.3,86.6,2.7
04013,51412,1612,1.9,100,,16977,918,3.3,33.0,1.5,34435,918,1.6,67.0,2.8,38892,837,1.3,100,,14207,872,3.7,36.5,2.1,24685,975,2.4,63.5,2.1,639,216,20.6,100,,58,65,68.6,9.1,9.8,581,206,21.6,90.9,9.8,4727,564,7.2,100,,1673,346.0,12.6,35.4,6.0,3054,461,9.2,64.6,6.0,4478,504,6.8,100,,643,217,20.5,14.4,4.6,3835,513,8.1,85.6,6.2
04014,49743,1586,1.9,100,,14523,873,3.7,29.2,1.5,35220,873,1.5,70.8,2.9,36747,843,1.4,100,,12048,822,4.1,32.8,2.1,24699,960,2.4,67.2,2.1,1585,337,12.9,100,,291,146,30.6,18.4,8.4,1294,305,14.4,81.6,8.4,4690,561,7.3,100,,1381,315.0,13.9,29.4,5.7,3309,478,8.8,70.6,5.7,4809,520,6.6,100,,565,203,21.9,11.7,4.0,4244,536,7.7,88.3,5.8
04015,56846,1693,1.8,100,,11568,826,4.3,20.3,1.3,45278,826,1.1,79.7,2.8,23756,1012,2.6,100,,7807,706,5.5,32.9,2.6,15949,922,3.5,67.1,2.6,21006,990,2.9,100,,2044,382,11.4,9.7,1.8,18962,967,3.1,90.3,1.8,3707,507,8.3,100,,759,235.0,18.9,20.5,5.7,2948,455,9.4,79.5,5.7,5927,575,5.9,100,,449,182,24.6,7.6,3.0,5478,605,6.7,92.4,4.9
04016,56627,1690,1.8,100,,23028,1006,2.7,40.7,1.3,33599,1006,1.8,59.3,0.1,46067,798,1.1,100,,19321,971,3.1,41.9,2.0,26746,1022,2.3,58.1,2.0,1702,350,12.5,100,,129,98,46.0,7.6,5.5,1573,336,13.0,92.4,5.5,5040,583,7.0,100,,2636,431.0,9.9,52.3,6.1,2404,413,10.4,47.7,6.1,2682,399,9.0,100,,590,208,21.4,22.0,7.0,2092,386,11.2,78.0,8.5
04017,63875,1793,1.7,100,,20344,1013,3.0,31.8,1.3,43531,1013,1.4,68.2,2.5,47282,954,1.2,100,,14948,921,3.7,31.6,1.8,32334,1087,2.0,68.4,1.8,208,124,36.2,100,,50,61,73.9,24.0,25.5,158,108,41.6,76.0,25.5,10092,793,4.8,100,,4532,558.0,7.5,44.9,4.3,5560,613,6.7,55.1,4.3,4293,499,7.1,100,,423,176,25.3,9.9,3.9,3870,519,8.1,90.1,6.0
04018,46285,1531,2.0,100,,11018,788,4.3,23.8,1.5,35267,788,1.4,76.2,3.0,31800,858,1.6,100,,8567,719,5.1,26.9,2.1,23233,926,2.4,73.1,2.1,5825,614,6.4,100,,577,205,21.6,9.9,3.4,5248,587,6.8,90.1,3.4,2511,419,10.2,100,,1104,282.0,15.6,44.0,8.5,1407,318,13.7,56.0,8.5,4849,520,6.5,100,,389,169,26.4,8.0,3.4,4460,546,7.4,92.0,5.5
04101,76081,1953,1.6,100,,15470,955,3.8,20.3,1.1,60611,955,1.0,79.7,2.4,41272,1182,1.7,100,,11642,854,4.5,28.2,1.9,29630,1157,2.4,71.8,1.9,4873,581,7.2,100,,154,107,42.1,3.2,2.2,4719,572,7.4,96.8,2.2,8234,737,5.4,100,,1115,285.0,15.5,13.5,3.2,7119,691,5.9,86.5,3.2,16447,896,3.3,100,,1684,349,12.6,10.2,2.0,14763,939,3.9,89.8,2.9
04102,55582,1675,1.8,100,,17731,946,3.2,31.9,1.4,37851,946,1.5,68.1,2.7,12662,851,4.1,100,,5242,593,6.9,41.4,3.8,7420,690,5.7,58.6,3.8,6580,655,6.1,100,,3375,484,8.7,51.3,5.3,3205,473,9.0,48.7,5.3,7008,673,5.8,100,,2751,440.0,9.7,39.3,5.0,4257,539,7.7,60.7,5.0,27564,930,2.1,100,,5734,617,6.5,20.8,2.1,21830,991,2.8,79.2,2.4
04103,89751,2116,1.4,100,,42115,1286,1.9,46.9,0.9,47636,1286,1.6,53.1,0.7,44416,1289,1.8,100,,28116,1196,2.6,63.3,2.0,16300,994,3.7,36.7,2.0,3215,479,9.1,100,,542,200,22.4,16.9,5.7,2673,438,10.0,83.1,5.7,27427,1187,2.6,100,,10200,818.0,4.9,37.2,2.5,17227,1015,3.6,62.8,2.5,11877,801,4.1,100,,2538,427,10.2,21.4,3.3,9339,787,5.1,78.6,4.0
04104,44250,1497,2.1,100,,30067,845,1.7,67.9,3.0,14183,845,3.6,32.1,1.6,30566,837,1.7,100,,21835,905,2.5,71.4,2.2,8731,720,5.0,28.6,2.2,818,244,18.1,100,,498,191,23.3,60.9,14.7,320,153,29.1,39.1,14.7,8668,718,5.0,100,,5515,598.0,6.6,63.6,4.4,3153,466,9.0,36.4,4.4,3124,425,8.3,100,,1604,338,12.8,51.3,8.3,1520,330,13.2,48.7,8.2
04105,61257,1757,1.7,100,,44917,942,1.3,73.3,2.6,16340,942,3.5,26.7,1.3,16561,946,3.5,100,,12617,861,4.1,76.2,2.8,3944,523,8.1,23.8,2.8,31519,1064,2.1,100,,23279,1034,2.7,73.9,2.1,8240,727,5.4,26.1,2.1,5097,588,7.0,100,,3736,510.0,8.3,73.3,5.3,1361,314,14.0,26.7,5.3,5196,544,6.4,100,,3253,478,8.9,62.6,6.4,1943,373,11.7,37.4,6.0
04106,54071,1652,1.9,100,,23456,992,2.6,43.4,1.3,30615,992,2.0,56.6,0.6,25026,998,2.4,100,,12285,838,4.1,49.1,2.7,12741,849,4.1,50.9,2.7,8366,724,5.3,100,,2162,392,11.0,25.8,4.1,6204,638,6.2,74.2,4.1,9797,771,4.8,100,,5385,599.0,6.8,55.0,4.3,4412,548,7.5,45.0,4.3,7858,646,5.0,100,,2297,404,10.7,29.2,4.5,5561,608,6.6,70.8,5.1
04107,44478,1501,2.1,100,,10169,762,4.6,22.9,1.5,34309,762,1.4,77.1,3.1,6937,658,5.8,100,,2372,408,10.4,34.2,4.9,4565,551,7.3,65.8,4.9,4605,553,7.3,100,,359,162,27.5,7.8,3.4,4246,533,7.6,92.2,3.4,12103,808,4.1,100,,4204,531.0,7.7,34.7,3.7,7899,694,5.3,65.3,3.7,19245,824,2.6,100,,2924,450,9.3,15.2,2.2,16321,875,3.3,84.8,2.7
04108,51888,1619,1.9,100,,20048,954,2.9,38.6,1.4,31840,954,1.8,61.4,2.7,35395,913,1.6,100,,13262,855,3.9,37.5,2.2,22133,969,2.7,62.5,2.2,1314,308,14.2,100,,427,177,25.2,32.5,11.1,887,254,17.4,67.5,11.1,8780,735,5.1,100,,4535,554.0,7.4,51.7,4.6,4245,537,7.7,48.3,4.6,4725,517,6.7,100,,1348,312,14.1,28.5,5.8,3377,483,8.7,71.5,6.6
04109,49281,1579,1.9,100,,12899,840,4.0,26.2,1.5,36382,840,1.4,73.8,2.9,19755,936,2.9,100,,6714,655,5.9,34.0,2.9,13041,843,3.9,66.0,2.9,892,255,17.4,100,,139,101,44.3,15.6,10.4,753,234,18.9,84.4,10.4,12357,828,4.1,100,,3730,505.0,8.2,30.2,3.6,8627,726,5.1,69.8,3.6,14070,791,3.4,100,,1834,362,12.0,13.0,2.5,12236,825,4.1,87.0,3.2
