puma,units_occupied_count,units_occupied_count_moe,units_occupied_cv,units_occupied_pct,units_occupied_pct_moe,units_occupied_owner_count,units_occupied_owner_count_moe,units_occupied_owner_cv,units_occupied_owner_pct,units_occupied_owner_pct_moe,units_occupied_renter_count,units_occupied_renter_count_moe,units_occupied_renter_cv,units_occupied_renter_pct,units_occupied_renter_pct_moe,units_occupied_wnh_count,units_occupied_wnh_count_moe,units_occupied_wnh_cv,units_occupied_wnh_pct,units_occupied_wnh_pct_moe,units_occupied_owner_wnh_count,units_occupied_owner_wnh_count_moe,units_occupied_owner_wnh_cv,units_occupied_owner_wnh_pct,units_occupied_owner_wnh_pct_moe,units_occupied_renter_wnh_count,units_occupied_renter_wnh_count_moe,units_occupied_renter_wnh_cv,units_occupied_renter_wnh_pct,units_occupied_renter_wnh_pct_moe,units_occupied_bnh_count,units_occupied_bnh_count_moe,units_occupied_bnh_cv,units_occupied_bnh_pct,units_occupied_bnh_pct_moe,units_occupied_owner_bnh_count,units_occupied_owner_bnh_count_moe,units_occupied_owner_bnh_cv,units_occupied_owner_bnh_pct,units_occupied_owner_bnh_pct_moe,units_occupied_renter_bnh_count,units_occupied_renter_bnh_count_moe,units_occupied_renter_bnh_cv,units_occupied_renter_bnh_pct,units_occupied_renter_bnh_pct_moe,units_occupied_anh_count,units_occupied_anh_count_moe,units_occupied_anh_cv,units_occupied_anh_pct,units_occupied_anh_pct_moe,units_occupied_owner_anh_count,units_occupied_owner_anh_count_moe,units_occupied_owner_anh_cv,units_occupied_owner_anh_pct,units_occupied_owner_anh_pct_moe,units_occupied_renter_anh_count,units_occupied_renter_anh_count_moe,units_occupied_renter_anh_cv,units_occupied_renter_anh_pct,units_occupied_renter_anh_pct_moe,units_occupied_hsp_count,units_occupied_hsp_count_moe,units_occupied_hsp_cv,units_occupied_hsp_pct,units_occupied_hsp_pct_moe,units_occupied_owner_hsp_count,units_occupied_owner_hsp_count_moe,units_occupied_owner_hsp_cv,units_occupied_owner_hsp_pct,units_occupied_owner_hsp_pct_moe,units_occupied_renter_hsp_count,units_occupied_renter_hsp_count_moe,units_occupied_renter_hsp_cv,units_occupied_renter_hsp_pct,units_occupied_renter_hsp_pct_moe
03701,42618,1470,2.1,100,,11396,786,4.2,26.7,1.6,31222,786,1.5,73.3,3.1,21276,888,2.5,100,,8096,697,5.2,38.1,2.9,13180,821,3.8,61.9,2.9,5596,600,6.5,100,,1011,270,16.3,18.1,4.4,4585,550,7.3,81.9,4.4,1571,335,13.0,100,,488,189.0,23.5,31.1,10.0,1083,280,15.7,68.9,10.0,13266,754,3.5,100,,1664,344,12.6,12.5,2.5,11602,791,4.1,87.5,3.3
03702,48411,1565,2.0,100,,17933,914,3.1,37.0,1.5,30478,914,1.8,63.0,2.8,6720,655,5.9,100,,2758,439,9.7,41.0,5.2,3962,519,8.0,59.0,5.2,31550,902,1.7,100,,12423,827,4.0,39.4,2.4,19127,926,2.9,60.6,2.4,598,209,21.3,100,,287,145.0,30.8,48.0,17.6,311,151,29.6,52.0,17.6,7571,630,5.1,100,,1616,340,12.8,21.3,4.1,5955,622,6.3,78.7,5.0
03703,46205,1529,2.0,100,,21297,922,2.6,46.1,1.3,24908,922,2.3,53.9,0.9,24108,924,2.3,100,,12737,826,3.9,52.8,2.8,11371,797,4.3,47.2,2.8,11431,798,4.2,100,,4738,561,7.2,41.4,4.0,6693,651,5.9,58.6,4.0,525,196,22.7,100,,285,145.0,30.9,54.3,18.7,240,133,33.7,45.7,18.7,9443,684,4.4,100,,3189,469,8.9,33.8,4.3,6254,633,6.2,66.2,4.7
03704,46320,1531,2.0,100,,12474,821,4.0,26.9,1.5,33846,821,1.5,73.1,3.0,19390,914,2.9,100,,7046,665,5.7,36.3,3.0,12344,819,4.0,63.7,3.0,8583,720,5.1,100,,2064,382,11.3,24.0,4.0,6519,644,6.0,76.0,4.0,2236,397,10.8,100,,366,164.0,27.2,16.4,6.7,1870,364,11.8,83.6,6.7,13991,779,3.4,100,,2414,412,10.4,17.3,2.8,11577,802,4.2,82.7,3.4
03705,46209,1530,2.0,100,,3621,497,8.3,7.8,1.0,42588,497,0.7,92.2,3.2,2340,406,10.5,100,,145,103,43.4,6.2,4.3,2195,393,10.9,93.8,4.3,17780,900,3.1,100,,1428,320,13.6,8.0,1.8,16352,884,3.3,92.0,1.8,302,149,30.0,100,,47,59.0,76.3,15.6,17.9,255,137,32.7,84.4,17.9,25016,845,2.1,100,,1889,366,11.8,7.6,1.4,23127,925,2.4,92.4,2.0
03706,43333,1482,2.1,100,,3024,456,9.2,7.0,1.0,40309,456,0.7,93.0,3.4,6599,644,5.9,100,,600,209,21.2,9.1,3.0,5999,619,6.3,90.9,3.0,9392,738,4.8,100,,1188,292,15.0,12.6,3.0,8204,702,5.2,87.4,3.0,2434,412,10.3,100,,240,133.0,33.7,9.9,5.2,2194,393,10.9,90.1,5.2,23386,818,2.1,100,,734,231,19.1,3.1,1.0,22652,895,2.4,96.9,1.8
03707,42695,1471,2.1,100,,1998,376,11.4,4.7,0.9,40697,376,0.6,95.3,3.4,619,213,20.9,100,,51,61,73.2,8.2,9.5,568,204,21.8,91.8,9.5,15829,859,3.3,100,,1086,280,15.7,6.9,1.7,14743,845,3.5,93.1,1.7,507,193,23.1,100,,75,74.0,60.3,14.8,13.6,432,178,25.0,85.2,13.6,24395,807,2.0,100,,734,231,19.1,3.0,0.9,23661,884,2.3,97.0,1.7
03708,42633,1470,2.1,100,,2591,424,10.0,6.1,1.0,40042,424,0.6,93.9,3.4,443,180,24.7,100,,14,32,139.8,3.2,7.2,429,177,25.1,96.8,7.2,18173,879,2.9,100,,1824,360,12.0,10.0,1.9,16349,864,3.2,90.0,1.9,463,184,24.2,100,,0,,,,,463,184,24.2,100.0,,22263,813,2.2,100,,679,222,19.9,3.0,1.0,21584,888,2.5,97.0,1.8
03709,62264,1771,1.7,100,,12705,865,4.1,20.4,1.3,49559,865,1.1,79.6,2.7,4225,540,7.8,100,,1527,332,13.2,36.1,6.4,2698,437,9.8,63.9,6.4,21955,1026,2.8,100,,3780,513,8.2,17.2,2.2,18175,976,3.3,82.8,2.2,1863,366,11.9,100,,645,217.0,20.5,34.6,9.5,1218,297,14.8,65.4,9.5,32119,984,1.9,100,,6249,645,6.3,19.5,1.9,25870,1058,2.5,80.5,2.2
03710,41755,1455,2.1,100,,3458,485,8.5,8.3,1.1,38297,485,0.8,91.7,3.4,716,228,19.4,100,,120,94,47.7,16.8,12.0,596,209,21.3,83.2,12.0,10699,768,4.4,100,,753,234,18.9,7.0,2.1,9946,749,4.6,93.0,2.1,204,123,36.5,100,,82,78.0,57.7,40.2,29.5,122,95,47.3,59.8,29.5,29572,733,1.5,100,,2485,416,10.2,8.4,1.4,27087,839,1.9,91.6,1.7
