puma,homevalue_median_0812,homevalue_median_0812_moe,homevalue_median_0812_cv,homevalue_median_wnh_0812,homevalue_median_wnh_0812_moe,homevalue_median_wnh_0812_cv,homevalue_median_bnh_0812,homevalue_median_bnh_0812_moe,homevalue_median_bnh_0812_cv,homevalue_median_hsp_0812,homevalue_median_hsp_0812_moe,homevalue_median_hsp_0812_cv,homevalue_median_anh_0812,homevalue_median_anh_0812_moe,homevalue_median_anh_0812_cv,homevalue_median_1519,homevalue_median_1519_moe,homevalue_median_1519_cv,homevalue_median_wnh_1519,homevalue_median_wnh_1519_moe,homevalue_median_wnh_1519_cv,homevalue_median_bnh_1519,homevalue_median_bnh_1519_moe,homevalue_median_bnh_1519_cv,homevalue_median_hsp_1519,homevalue_median_hsp_1519_moe,homevalue_median_hsp_1519_cv,homevalue_median_anh_1519,homevalue_median_anh_1519_moe,homevalue_median_anh_1519_cv
03701,369286,30209.0,5.0,393482,42319.0,6.5,333639,111453.0,20.3,313382,54992.0,10.7,449686,201617.0,27.3,324325,30632,5.7,362947,41535,7.0,302068,112667,22.7,257961,41802,9.9,317981,148230,28.3
03702,448131,14426.0,2.0,433452,64816.0,9.1,442782,15683.0,2.2,461136,42999.0,5.7,484283,61419.0,7.7,443830,14291,2.0,455421,54143,7.2,441524,15177,2.1,467072,60353,7.9,424999,108464,15.5
03703,398511,26051.0,4.0,501747,18518.0,2.2,98743,22766.0,14.0,368798,44749.0,7.4,534810,112886.0,12.8,370258,29145,4.8,473872,21297,2.7,32603,3249,6.1,382990,52919,8.4,481775,184704,23.3
03704,500858,17904.0,2.2,523040,25327.0,2.9,477343,38346.0,4.9,450405,47306.0,6.4,532115,44785.0,5.1,472806,15574,2.0,498424,34866,4.3,452593,32170,4.3,453263,27769,3.7,500895,61751,7.5
03705,415124,42771.0,6.3,375023,117766.0,19.1,367185,61335.0,10.2,446079,53805.0,7.3,615379,568684.0,56.2,400816,37272,5.7,276723,254234,55.8,429715,48110,6.8,380776,47386,7.6,461627,388335,51.1
03706,260305,109969.0,25.7,207368,133427.0,39.1,208155,123795.0,36.2,203914,61477.0,18.3,448652,81678.0,11.1,224882,74729,20.2,237499,184461,47.2,157652,57029,22.0,221720,127760,35.0,473255,173455,22.3
03707,480376,53748.0,6.8,202790,638509.0,191.4,427757,122212.0,17.4,514183,64338.0,7.6,502149,,,437700,103807,14.4,510713,563287,67.0,482926,116563,14.7,389408,143950,22.5,435713,543060,75.8
03708,256716,45457.0,10.8,240344,73208.0,18.5,275787,69481.0,15.3,232260,99556.0,26.1,291279,190666.0,39.8,250718,71570,17.4,387680,194668,30.5,208579,65015,18.9,322377,156322,29.5,333332,371684,67.8
03709,406474,22056.0,3.3,385370,132171.0,20.8,395262,42029.0,6.5,409809,27651.0,4.1,447309,80635.0,11.0,420500,17701,2.6,430207,182674,25.8,353808,49215,8.5,435458,19039,2.7,414285,82035,12.0
03710,394975,52237.0,8.0,420883,138795.0,20.0,422896,133080.0,19.1,378431,56876.0,9.1,672590,177881.0,16.1,388176,41435,6.5,318749,316445,60.4,356249,116955,20.0,393720,43168,6.7,424999,687260,98.3
03801,419411,35403.0,5.1,455483,64648.0,8.6,398465,189316.0,28.9,365739,80989.0,13.5,319586,86332.0,16.4,433003,44898,6.3,488729,64793,8.1,280555,311539,67.5,308823,99173,19.5,469707,94205,12.2
03802,711860,95765.0,8.2,765566,88189.0,7.0,830938,431890.0,31.6,416714,182650.0,26.6,539236,511826.0,57.7,690434,54928,4.8,818197,110406,8.2,485115,132410,16.6,548357,151398,16.8,666666,101495,9.3
03803,673151,97874.0,8.8,769682,154186.0,12.2,618576,188888.0,18.6,672169,287447.0,26.0,533200,147821.0,16.9,725914,70587,5.9,833471,189485,13.8,670693,120890,11.0,665974,142352,13.0,759258,179212,14.3
03804,613142,127049.0,12.6,758382,276441.0,22.2,444161,184811.0,25.3,629738,426467.0,41.2,652302,214835.0,20.0,623509,110429,10.8,1066513,411388,23.4,452920,53331,7.2,351999,427248,73.8,772958,272825,21.5
03805,1088101,52880.0,3.0,1115000,,,611939,298376.0,29.6,1115000,,,754242,98581.0,7.9,1348983,83514,3.8,1407323,97822,4.2,439188,141119,19.5,1078260,371084,20.9,1219779,146763,7.3
