puma,units_renteroccu,units_renteroccu_moe,units_renteroccu_cv,units_renteroccu_pct,units_renteroccu_pct_moe,units_affordable_eli,units_affordable_eli_moe,units_affordable_eli_cv,units_affordable_eli_pct,units_affordable_eli_pct_moe,units_affordable_vli,units_affordable_vli_moe,units_affordable_vli_cv,units_affordable_vli_pct,units_affordable_vli_pct_moe,units_affordable_li,units_affordable_li_moe,units_affordable_li_cv,units_affordable_li_pct,units_affordable_li_pct_moe,units_affordable_mi,units_affordable_mi_moe,units_affordable_mi_cv,units_affordable_mi_pct,units_affordable_mi_pct_moe,units_affordable_midi,units_affordable_midi_moe,units_affordable_midi_cv,units_affordable_midi_pct,units_affordable_midi_pct_moe,units_affordable_hi,units_affordable_hi_moe,units_affordable_hi_cv,units_affordable_hi_pct,units_affordable_hi_pct_moe
03701,29081,879,1.8,59.1,,2708,491,11.0,9.3,1.7,3520,478,8.3,12.1,1.6,13377,900,4.1,46.0,2.8,8309,800,5.9,28.6,2.6,1008,259,15.6,3.5,0.9,159,130.0,49.7,0.5,0.4
03702,30469,1106,2.2,46.1,,4125,565,8.3,13.5,1.8,4022,640,9.7,13.2,2.0,17031,976,3.5,55.9,2.5,5252,726,8.4,17.2,2.3,27,35,77.7,0.1,0.1,12,19.0,98.7,0.0,0.1
03703,24935,1291,3.1,47.2,,3578,780,13.2,14.3,3.0,6333,877,8.4,25.4,3.3,10871,1287,7.2,43.6,4.6,3970,610,9.3,15.9,2.3,150,117,47.6,0.6,0.5,33,61.0,111.5,0.1,0.2
03704,30768,959,1.9,54.7,,3388,447,8.0,11.0,1.4,3456,520,9.2,11.2,1.7,16820,961,3.5,54.7,2.6,6889,747,6.6,22.4,2.3,201,118,35.8,0.7,0.4,14,18.0,78.1,0.0,0.1
03705,53565,846,1.0,88.4,,14696,1130,4.7,27.4,2.1,11746,873,4.5,21.9,1.6,22591,1158,3.1,42.2,2.1,4448,505,6.9,8.3,0.9,84,61,44.0,0.2,0.1,0,,,,
03706,41009,775,1.1,72.4,,5465,791,8.8,13.3,1.9,5750,768,8.1,14.0,1.9,24027,1006,2.5,58.6,2.2,5532,626,6.9,13.5,1.5,182,158,52.8,0.4,0.4,53,60.0,68.9,0.1,0.1
03707,43381,613,0.9,81.5,,7806,709,5.5,18.0,1.6,7880,712,5.5,18.2,1.6,22024,1055,2.9,50.8,2.3,5429,607,6.8,12.5,1.4,201,122,37.0,0.5,0.3,41,69.0,102.7,0.1,0.2
03708,45121,738,1.0,80.6,,7850,813,6.3,17.4,1.8,8539,817,5.8,18.9,1.8,23428,1177,3.1,51.9,2.5,5073,685,8.2,11.2,1.5,231,163,43.0,0.5,0.4,0,,,,
03709,50640,937,1.1,67.6,,9423,902,5.8,18.6,1.7,8190,720,5.3,16.2,1.4,26168,1191,2.8,51.7,2.1,6754,724,6.5,13.3,1.4,105,73,42.1,0.2,0.1,0,,,,
03710,47324,755,1.0,88.9,,16706,1154,4.2,35.3,2.4,9902,1001,6.1,20.9,2.1,17047,1109,4.0,36.0,2.3,3439,550,9.7,7.3,1.2,200,175,53.3,0.4,0.4,30,51.0,102.7,0.1,0.1
