puma,pop_count,pop_pct,pop_anh_count,pop_anh_pct,pop_bnh_count,pop_bnh_pct,pop_hsp_count,pop_hsp_pct,pop_onh_count,pop_onh_pct,pop_wnh_count,pop_wnh_pct,nycha_tenants_count,nycha_tenants_pct,nycha_tenants_anh_count,nycha_tenants_anh_pct,nycha_tenants_bnh_count,nycha_tenants_bnh_pct,nycha_tenants_hsp_count,nycha_tenants_hsp_pct,nycha_tenants_onh_count,nycha_tenants_onh_pct,nycha_tenants_wnh_count,nycha_tenants_wnh_pct
03701,113700,100,5874,5.2,13297,11.7,56187,49.4,4057,3.6,34285,30.2,1834.0,1.61,2.0,0.03,598.0,4.5,1166.0,2.08,15.0,0.37,53.0,0.15
03702,148709,100,3170,2.1,90173,60.6,39442,26.5,6994,4.7,8930,6.0,6772.0,4.55,34.0,1.07,2812.0,3.12,3558.0,9.02,161.0,2.3,207.0,2.32
03703,123837,100,4856,3.9,35268,28.5,48297,39.0,4014,3.2,31402,25.4,4896.0,3.95,30.0,0.62,1694.0,4.8,2935.0,6.08,52.0,1.3,185.0,0.59
03704,130351,100,13141,10.1,26926,20.7,58209,44.7,5225,4.0,26850,20.6,6339.0,4.86,14.0,0.11,2477.0,9.2,3513.0,6.04,45.0,0.86,290.0,1.08
03705,178035,100,1643,0.9,58336,32.8,106163,59.6,4830,2.7,7063,4.0,18498.0,10.39,36.0,2.19,7281.0,12.48,10444.0,9.84,254.0,5.26,483.0,6.84
03706,134660,100,9470,7.0,21338,15.8,92425,68.6,3857,2.9,7570,5.6,440.0,0.33,1.0,0.01,132.0,0.62,280.0,0.3,5.0,0.13,22.0,0.29
03707,140292,100,1971,1.4,36983,26.4,95602,68.1,3555,2.5,2181,1.6,3300.0,2.35,4.0,0.2,1059.0,2.86,2036.0,2.13,107.0,3.01,94.0,4.31
03708,144701,100,2422,1.7,42415,29.3,93298,64.5,3406,2.4,3160,2.2,4796.0,3.31,29.0,1.2,1651.0,3.89,2939.0,3.15,79.0,2.32,98.0,3.1
03709,198808,100,23856,12.0,51559,25.9,109182,54.9,8612,4.3,5599,2.8,18414.0,9.26,98.0,0.41,6357.0,12.33,11219.0,10.28,262.0,3.04,478.0,8.54
03710,159561,100,1363,0.9,43098,27.0,107658,67.5,3686,2.3,3756,2.4,28718.0,18.0,121.0,8.88,9700.0,22.51,17533.0,16.29,572.0,15.52,792.0,21.09
03801,188800,100,5881,3.1,14819,7.8,123252,65.3,6079,3.2,38769,20.5,5470.0,2.9,57.0,0.97,1449.0,9.78,3767.0,3.06,65.0,1.07,132.0,0.34
03802,127022,100,12927,10.2,25070,19.7,47388,37.3,6421,5.1,35216,27.7,7603.0,5.99,150.0,1.16,3208.0,12.8,3942.0,8.32,94.0,1.46,209.0,0.59
03803,134068,100,5163,3.9,69411,51.8,31774,23.7,7329,5.5,20391,15.2,18010.0,13.43,449.0,8.7,9557.0,13.77,7245.0,22.8,188.0,2.57,571.0,2.8
03804,122143,100,9710,7.9,33510,27.4,55873,45.7,4798,3.9,18252,14.9,31722.0,25.97,2349.0,24.19,11881.0,35.46,16039.0,28.71,329.0,6.86,1124.0,6.16
03805,231983,100,26536,11.4,6257,2.7,18517,8.0,10267,4.4,170406,73.5,2287.0,0.99,199.0,0.75,786.0,12.56,1034.0,5.58,19.0,0.19,249.0,0.15
03806,207780,100,21118,10.2,13328,6.4,28256,13.6,10786,5.2,134292,64.6,9843.0,4.74,555.0,2.63,3555.0,26.67,5010.0,17.73,201.0,1.86,522.0,0.39
03807,184576,100,33055,17.9,13355,7.2,30141,16.3,9069,4.9,98956,53.6,4947.0,2.68,693.0,2.1,1339.0,10.03,2373.0,7.87,88.0,0.97,454.0,0.46
03808,163839,100,28856,17.6,5820,3.6,14538,8.9,7961,4.9,106664,65.1,874.0,0.53,93.0,0.32,229.0,3.93,432.0,2.97,58.0,0.73,62.0,0.06
03809,164237,100,50307,30.6,13191,8.0,38986,23.7,6477,3.9,55276,33.7,28999.0,17.66,7466.0,14.84,6083.0,46.11,13979.0,35.86,227.0,3.5,1244.0,2.25
03810,169803,100,26071,15.4,4831,2.8,13915,8.2,9914,5.8,115072,67.8,,,,,,,,,,,,
03901,164398,100,12187,7.4,1789,1.1,17585,10.7,3870,2.4,128967,78.4,,,,,,,,,,,,
