puma,rent_median_0812,rent_median_0812_moe,rent_median_0812_cv,rent_median_wnh_0812,rent_median_wnh_0812_moe,rent_median_wnh_0812_cv,rent_median_bnh_0812,rent_median_bnh_0812_moe,rent_median_bnh_0812_cv,rent_median_hsp_0812,rent_median_hsp_0812_moe,rent_median_hsp_0812_cv,rent_median_anh_0812,rent_median_anh_0812_moe,rent_median_anh_0812_cv,rent_median_1519,rent_median_1519_moe,rent_median_1519_cv,rent_median_wnh_1519,rent_median_wnh_1519_moe,rent_median_wnh_1519_cv,rent_median_bnh_1519,rent_median_bnh_1519_moe,rent_median_bnh_1519_cv,rent_median_hsp_1519,rent_median_hsp_1519_moe,rent_median_hsp_1519_cv,rent_median_anh_1519,rent_median_anh_1519_moe,rent_median_anh_1519_cv
03701,1295,36.0,1.7,1389,92.0,4.0,1211,86.0,4.3,1268,51,2.4,1329,130.0,5.9,1415,41,1.8,1543,122,4.8,1215,88,4.4,1405,47,2.0,1528,225,8.9
03702,1248,40.0,1.9,1228,151.0,7.5,1276,43.0,2.1,1145,116,6.1,1225,322.0,16.0,1376,38,1.7,1329,136,6.2,1417,50,2.2,1314,74,3.4,1349,142,6.4
03703,1193,56.0,2.8,1266,60.0,2.9,1025,58.0,3.4,1278,130,6.2,909,477.0,31.9,1210,55,2.8,1300,97,4.5,1003,75,4.6,1366,89,4.0,1151,365,19.3
03704,1228,33.0,1.6,1178,72.0,3.7,1208,74.0,3.7,1263,51,2.4,1224,79.0,3.9,1366,33,1.5,1317,65,3.0,1425,74,3.2,1371,48,2.1,1308,163,7.6
03705,967,38.0,2.4,1064,314.0,18.0,944,52.0,3.4,976,53,3.3,915,640.0,42.5,1071,30,1.7,1279,274,13.0,1086,44,2.5,1049,42,2.4,1252,473,22.9
03706,1208,26.0,1.3,1055,69.0,4.0,1219,53.0,2.6,1226,32,1.6,1184,110.0,5.6,1302,27,1.2,1218,120,6.0,1273,74,3.5,1320,31,1.4,1242,121,5.9
03707,1120,30.0,1.6,990,506.0,31.0,1085,50.0,2.8,1142,36,1.9,1077,161.0,9.1,1193,30,1.5,901,319,21.5,1126,46,2.5,1238,40,1.9,1202,287,14.5
03708,1101,25.0,1.4,1172,209.0,10.8,1092,36.0,2.0,1102,34,1.9,1235,271.0,13.3,1184,29,1.5,1252,305,14.8,1156,41,2.2,1207,39,2.0,1084,380,21.3
03709,1136,28.0,1.5,1043,133.0,7.8,1128,47.0,2.5,1127,41,2.2,1279,72.0,3.4,1246,33,1.6,1368,204,9.1,1206,58,2.9,1245,46,2.2,1422,117,5.0
03710,818,30.0,2.2,925,339.0,22.3,885,70.0,4.8,794,39,3.0,941,377.0,24.4,953,45,2.9,1365,169,7.5,1027,65,3.8,900,62,4.2,1202,782,39.5
03801,1203,27.0,1.4,1549,70.0,2.8,1020,97.0,5.8,1118,30,1.6,1473,197.0,8.1,1362,36,1.6,1777,64,2.2,1180,105,5.4,1224,33,1.6,1824,160,5.3
03802,1228,50.0,2.5,1918,123.0,3.9,976,77.0,4.8,989,68,4.2,1661,253.0,9.2,1407,65,2.8,2097,113,3.3,1013,117,7.0,1104,84,4.6,1925,277,8.8
03803,939,37.0,2.4,1888,136.0,4.4,883,40.0,2.8,759,103,8.3,1301,579.0,27.1,1117,48,2.6,2229,139,3.8,1017,50,3.0,919,99,6.6,1376,349,15.4
03804,901,58.0,3.9,1736,188.0,6.6,794,78.0,5.9,711,44,3.7,1156,224.0,11.8,910,61,4.1,1949,163,5.1,837,76,5.5,693,71,6.2,1277,320,15.2
03805,2123,44.0,1.3,2176,50.0,1.4,1824,398.0,13.2,1849,183,6.0,1969,121.0,3.7,2352,47,1.2,2400,54,1.4,1164,316,16.5,1936,180,5.7,2430,110,2.8
03806,1904,83.0,2.6,2206,65.0,1.8,854,95.0,6.7,939,107,7.0,2125,197.0,5.6,2082,94,2.8,2430,98,2.5,853,127,9.1,968,144,9.1,2502,297,7.2
03807,2049,88.0,2.6,2200,,,917,209.0,13.9,1030,128,7.5,2200,,,2205,103,2.8,2396,104,2.6,1041,238,13.9,1175,112,5.8,2779,218,4.8
03808,2200,,,2200,,,1765,494.0,17.0,1672,367,13.3,2200,,,2630,77,1.8,2686,89,2.0,1943,619,19.4,2080,249,7.3,2769,162,3.6
03809,1024,52.0,3.1,1885,101.0,3.3,705,89.0,7.7,684,35,3.2,913,55.0,3.6,1142,51,2.7,2247,105,2.8,610,178,17.7,775,113,8.9,936,50,3.2
03810,2200,,,2200,,,2200,,,2133,380,10.8,2200,,,2724,81,1.8,2773,92,2.0,3047,348,6.9,2709,278,6.2,2320,275,7.2
03901,1400,77.0,3.4,1385,84.0,3.7,1111,298.0,16.3,1574,267,10.3,1459,498.0,20.8,1385,73,3.2,1391,79,3.4,2093,1889,54.9,1284,171,8.1,1823,611,20.4
03902,1234,76.0,3.7,1294,103.0,4.8,614,121.0,12.0,1263,127,6.1,1360,213.0,9.5,1412,91,3.9,1444,131,5.5,1344,280,12.6,1363,246,11.0,1455,188,7.9
03903,1254,54.0,2.6,1290,70.0,3.3,985,109.0,6.8,1432,75,3.2,1229,274.0,13.5,1282,55,2.6,1369,79,3.5,1105,128,7.0,1302,101,4.7,1255,236,11.4
04001,1338,56.0,2.5,1635,78.0,2.9,742,146.0,12.0,946,69,4.4,1289,276.0,13.0,1908,87,2.8,2242,94,2.6,913,188,12.5,1185,85,4.4,1639,445,16.5
04002,1276,43.0,2.0,1860,136.0,4.4,1207,116.0,5.8,1211,48,2.4,1273,196.0,9.4,1483,67,2.8,2287,114,3.0,1144,111,5.9,1251,63,3.1,1908,278,8.8
04003,1130,47.0,2.5,1677,138.0,5.0,1082,57.0,3.2,935,121,7.8,1496,291.0,11.8,1388,68,3.0,2156,99,2.8,1160,61,3.2,995,163,10.0,1897,462,14.8
04004,1540,98.0,3.9,2136,86.0,2.4,880,101.0,7.0,783,183,14.2,1669,255.0,9.3,2014,123,3.7,2656,99,2.3,945,81,5.2,952,182,11.6,2299,291,7.7
04005,1925,79.0,2.5,2170,79.0,2.2,1027,257.0,15.2,1182,107,5.5,2069,273.0,8.0,2256,92,2.5,2580,95,2.2,942,259,16.7,1263,207,10.0,2324,285,7.5
04006,1194,39.0,2.0,1869,122.0,4.0,1099,39.0,2.2,1070,107,6.1,1689,520.0,18.7,1407,57,2.5,2206,133,3.7,1170,49,2.6,1213,155,7.8,1946,328,10.2
04007,945,60.0,3.8,756,433.0,34.8,1006,61.0,3.7,709,162,13.9,1156,427.0,22.5,1017,63,3.7,1634,381,14.2,1057,68,3.9,712,117,10.0,1530,688,27.3
04008,1162,38.0,2.0,528,176.0,20.2,1161,46.0,2.4,1231,71,3.5,1241,426.0,20.9,1246,46,2.2,443,223,30.6,1231,55,2.7,1321,76,3.5,1315,309,14.3
04009,1341,48.0,2.2,1296,129.0,6.0,1367,56.0,2.5,1272,146,7.0,1137,319.0,17.1,1470,51,2.1,1576,153,5.9,1494,56,2.3,1147,136,7.2,1552,258,10.1
04010,1233,25.0,1.2,1114,294.0,16.0,1243,25.0,1.2,1109,126,6.9,1076,345.0,19.5,1375,34,1.5,1735,254,8.9,1365,35,1.5,1353,179,8.1,1605,617,23.4
04011,1199,28.0,1.4,1516,114.0,4.6,1179,31.0,1.6,1094,70,3.9,1178,239.0,12.3,1399,37,1.6,1836,91,3.0,1292,39,1.8,1389,110,4.8,1769,297,10.2
04012,1316,39.0,1.8,1478,104.0,4.3,1318,137.0,6.3,1298,53,2.5,1239,80.0,3.9,1501,52,2.1,1810,133,4.5,1512,307,12.4,1464,65,2.7,1340,85,3.8
04013,1373,34.0,1.5,1361,42.0,1.9,1481,151.0,6.2,1428,85,3.6,1310,91.0,4.2,1540,48,1.9,1533,63,2.5,1641,214,7.9,1611,96,3.6,1467,105,4.4
04014,1346,41.0,1.8,1379,56.0,2.5,1207,158.0,8.0,1339,93,4.2,1275,104.0,4.9,1532,55,2.2,1572,68,2.6,1523,468,18.7,1462,98,4.1,1480,103,4.2
04015,1256,25.0,1.2,1260,51.0,2.5,1232,35.0,1.7,1304,63,2.9,1296,102.0,4.8,1436,29,1.2,1495,69,2.8,1379,43,1.9,1437,60,2.5,1455,101,4.2
04016,1209,36.0,1.8,1241,41.0,2.0,610,99.0,9.8,1159,118,6.2,1230,104.0,5.1,1447,42,1.7,1442,49,2.1,1133,243,13.0,1531,137,5.4,1463,104,4.3
04017,1231,27.0,1.3,1223,34.0,1.7,1295,436.0,20.5,1269,86,4.1,1227,55.0,2.7,1428,30,1.3,1384,41,1.8,1424,298,12.7,1548,81,3.2,1398,67,2.9
04018,949,40.0,2.6,994,50.0,3.0,681,116.0,10.3,915,176,11.7,1110,189.0,10.4,1081,68,3.8,1140,88,4.7,781,278,21.7,936,217,14.1,1215,166,8.3
04101,1449,32.0,1.3,1552,43.0,1.7,682,62.0,5.5,1279,79,3.8,1570,62.0,2.4,1686,40,1.4,1843,50,1.6,724,191,16.0,1386,108,4.7,1723,91,3.2
04102,1438,38.0,1.6,1255,106.0,5.1,1215,215.0,10.8,1493,46,1.9,1401,97.0,4.2,1582,47,1.8,1558,155,6.0,1389,199,8.7,1595,55,2.1,1604,115,4.4
