puma,rent_median_0812,rent_median_0812_moe,rent_median_0812_cv,rent_median_wnh_0812,rent_median_wnh_0812_moe,rent_median_wnh_0812_cv,rent_median_bnh_0812,rent_median_bnh_0812_moe,rent_median_bnh_0812_cv,rent_median_hsp_0812,rent_median_hsp_0812_moe,rent_median_hsp_0812_cv,rent_median_anh_0812,rent_median_anh_0812_moe,rent_median_anh_0812_cv,rent_median_1519,rent_median_1519_moe,rent_median_1519_cv,rent_median_wnh_1519,rent_median_wnh_1519_moe,rent_median_wnh_1519_cv,rent_median_bnh_1519,rent_median_bnh_1519_moe,rent_median_bnh_1519_cv,rent_median_hsp_1519,rent_median_hsp_1519_moe,rent_median_hsp_1519_cv,rent_median_anh_1519,rent_median_anh_1519_moe,rent_median_anh_1519_cv
04103,1516,34.0,1.4,1432,93.0,3.9,1155,169.0,8.9,1571,75,2.9,1548,43.0,1.7,1566,39,1.5,1538,123,4.9,1140,129,6.9,1632,83,3.1,1586,46,1.8
04104,1692,82.0,3.0,1534,108.0,4.3,1345,833.0,37.6,1720,257,9.1,1897,113.0,3.6,1833,74,2.4,1707,137,4.9,1882,263,8.5,1893,213,6.8,1904,104,3.3
04105,1590,70.0,2.7,1369,132.0,5.9,1692,98.0,3.5,1559,204,7.9,1588,134.0,5.1,1656,64,2.4,1527,208,8.3,1688,82,3.0,1675,223,8.1,1741,172,6.0
04106,1406,46.0,2.0,1393,87.0,3.8,1302,113.0,5.3,1302,82,3.8,1610,90.0,3.4,1565,47,1.8,1527,108,4.3,1512,105,4.2,1471,84,3.5,1686,73,2.6
04107,1469,34.0,1.4,1264,209.0,10.0,1384,94.0,4.1,1532,47,1.9,1433,65.0,2.8,1547,49,1.9,1364,126,5.6,1233,175,8.6,1590,67,2.5,1607,82,3.1
04108,1540,46.0,1.8,1490,68.0,2.8,1475,229.0,9.4,1556,74,2.9,1705,140.0,5.0,1728,51,1.8,1659,74,2.7,1801,195,6.6,1745,112,3.9,1801,102,3.5
04109,1493,34.0,1.4,1519,66.0,2.7,1432,524.0,22.2,1415,65,2.8,1532,48.0,1.9,1738,47,1.7,1897,89,2.9,1883,663,21.4,1565,79,3.1,1739,80,2.8
04110,1401,32.0,1.4,1346,41.0,1.9,1235,194.0,9.5,1480,43,1.8,1332,150.0,6.9,1600,40,1.5,1570,61,2.4,1822,354,11.8,1610,58,2.2,1657,148,5.4
04111,1446,41.0,1.7,1310,74.0,3.4,1509,141.0,5.7,1519,56,2.2,1402,100.0,4.3,1609,45,1.7,1501,106,4.3,1633,148,5.5,1651,65,2.4,1620,93,3.5
04112,1285,37.0,1.8,1111,371.0,20.3,1257,54.0,2.6,1312,73,3.4,1372,90.0,4.0,1348,38,1.7,1308,229,10.6,1267,56,2.7,1401,67,2.9,1489,103,4.2
04113,1493,51.0,2.1,1573,132.0,5.1,1464,94.0,3.9,1504,99,4.0,1446,116.0,4.9,1634,65,2.4,1620,111,4.2,1684,178,6.4,1669,117,4.3,1594,162,6.2
04114,1089,54.0,3.0,1119,105.0,5.7,1115,80.0,4.4,1051,84,4.9,881,275.0,19.0,1224,60,3.0,1269,145,7.0,1277,81,3.8,1155,79,4.2,973,299,18.7
