puma,households_grapi_0812_count,households_grapi_0812_count_moe,households_grapi_0812_count_cv,households_grapi_0812_pct,households_grapi_0812_pct_moe,households_rb_0812_count,households_rb_0812_count_moe,households_rb_0812_count_cv,households_rb_0812_pct,households_rb_0812_pct_moe,households_erb_0812_count,households_erb_0812_count_moe,households_erb_0812_count_cv,households_erb_0812_pct,households_erb_0812_pct_moe,households_grapi_0812_wnh_count,households_grapi_0812_wnh_count_moe,households_grapi_0812_wnh_count_cv,households_grapi_0812_wnh_pct,households_grapi_0812_wnh_pct_moe,households_rb_0812_wnh_count,households_rb_0812_wnh_count_moe,households_rb_0812_wnh_count_cv,households_rb_0812_wnh_pct,households_rb_0812_wnh_pct_moe,households_erb_0812_wnh_count,households_erb_0812_wnh_count_moe,households_erb_0812_wnh_count_cv,households_erb_0812_wnh_pct,households_erb_0812_wnh_pct_moe,households_grapi_0812_bnh_count,households_grapi_0812_bnh_count_moe,households_grapi_0812_bnh_count_cv,households_grapi_0812_bnh_pct,households_grapi_0812_bnh_pct_moe,households_rb_0812_bnh_count,households_rb_0812_bnh_count_moe,households_rb_0812_bnh_count_cv,households_rb_0812_bnh_pct,households_rb_0812_bnh_pct_moe,households_erb_0812_bnh_count,households_erb_0812_bnh_count_moe,households_erb_0812_bnh_count_cv,households_erb_0812_bnh_pct,households_erb_0812_bnh_pct_moe,households_grapi_0812_hsp_count,households_grapi_0812_hsp_count_moe,households_grapi_0812_hsp_count_cv,households_grapi_0812_hsp_pct,households_grapi_0812_hsp_pct_moe,households_rb_0812_hsp_count,households_rb_0812_hsp_count_moe,households_rb_0812_hsp_count_cv,households_rb_0812_hsp_pct,households_rb_0812_hsp_pct_moe,households_erb_0812_hsp_count,households_erb_0812_hsp_count_moe,households_erb_0812_hsp_count_cv,households_erb_0812_hsp_pct,households_erb_0812_hsp_pct_moe,households_grapi_0812_anh_count,households_grapi_0812_anh_count_moe,households_grapi_0812_anh_count_cv,households_grapi_0812_anh_pct,households_grapi_0812_anh_pct_moe,households_rb_0812_anh_count,households_rb_0812_anh_count_moe,households_rb_0812_anh_count_cv,households_rb_0812_anh_pct,households_rb_0812_anh_pct_moe,households_erb_0812_anh_count,households_erb_0812_anh_count_moe,households_erb_0812_anh_count_cv,households_erb_0812_anh_pct,households_erb_0812_anh_pct_moe,households_grapi_1519_count,households_grapi_1519_count_moe,households_grapi_1519_count_cv,households_grapi_1519_pct,households_grapi_1519_pct_moe,households_rb_1519_count,households_rb_1519_count_moe,households_rb_1519_count_cv,households_rb_1519_pct,households_rb_1519_pct_moe,households_erb_1519_count,households_erb_1519_count_moe,households_erb_1519_count_cv,households_erb_1519_pct,households_erb_1519_pct_moe,households_grapi_1519_wnh_count,households_grapi_1519_wnh_count_moe,households_grapi_1519_wnh_count_cv,households_grapi_1519_wnh_pct,households_grapi_1519_wnh_pct_moe,households_rb_1519_wnh_count,households_rb_1519_wnh_count_moe,households_rb_1519_wnh_count_cv,households_rb_1519_wnh_pct,households_rb_1519_wnh_pct_moe,households_erb_1519_wnh_count,households_erb_1519_wnh_count_moe,households_erb_1519_wnh_count_cv,households_erb_1519_wnh_pct,households_erb_1519_wnh_pct_moe,households_grapi_1519_bnh_count,households_grapi_1519_bnh_count_moe,households_grapi_1519_bnh_count_cv,households_grapi_1519_bnh_pct,households_grapi_1519_bnh_pct_moe,households_rb_1519_bnh_count,households_rb_1519_bnh_count_moe,households_rb_1519_bnh_count_cv,households_rb_1519_bnh_pct,households_rb_1519_bnh_pct_moe,households_erb_1519_bnh_count,households_erb_1519_bnh_count_moe,households_erb_1519_bnh_count_cv,households_erb_1519_bnh_pct,households_erb_1519_bnh_pct_moe,households_grapi_1519_hsp_count,households_grapi_1519_hsp_count_moe,households_grapi_1519_hsp_count_cv,households_grapi_1519_hsp_pct,households_grapi_1519_hsp_pct_moe,households_rb_1519_hsp_count,households_rb_1519_hsp_count_moe,households_rb_1519_hsp_count_cv,households_rb_1519_hsp_pct,households_rb_1519_hsp_pct_moe,households_erb_1519_hsp_count,households_erb_1519_hsp_count_moe,households_erb_1519_hsp_count_cv,households_erb_1519_hsp_pct,households_erb_1519_hsp_pct_moe,households_grapi_1519_anh_count,households_grapi_1519_anh_count_moe,households_grapi_1519_anh_count_cv,households_grapi_1519_anh_pct,households_grapi_1519_anh_pct_moe,households_rb_1519_anh_count,households_rb_1519_anh_count_moe,households_rb_1519_anh_count_cv,households_rb_1519_anh_pct,households_rb_1519_anh_pct_moe,households_erb_1519_anh_count,households_erb_1519_anh_count_moe,households_erb_1519_anh_count_cv,households_erb_1519_anh_pct,households_erb_1519_anh_pct_moe
03701,27115,835,1.9,100,,13302,852,3.9,49.1,2.8,7365,769,6.4,27.2,2.7,9068,571,3.8,100,,3887,536,8.4,42.9,5.3,2267,423,11.3,25.0,4.4,4300,471,6.7,100,,1786,376,12.8,41.5,7.5,866,296.0,20.8,20.1,6.5,12123,684,3.4,100,,7025,616,5.3,57.9,3.9,4012,518,7.8,33.1,3.8,1203,274,13.9,100,,543,171,19.1,45.1,9.8,175,115,40.1,14.5,9.0,28668,873,1.9,100,,15455,906,3.6,53.9,2.7,8411,709,5.1,29.3,2.3,7592,637,5.1,100,,2859,395,8.4,37.7,4.1,1425,269,11.5,18.8,3.2,4220,592,8.5,100,,2424,535,13.4,57.4,9.8,803,288,21.8,19.0,6.3,15144,846,3.4,100,,9294,628,4.1,61.4,2.3,5637,580,6.3,37.2,3.2,926,220,14.4,100,,441,149,20.5,47.6,11.5,281,133,28.8,30.3,12.5
03702,28105,877,1.9,100,,16055,904,3.4,57.1,2.7,9528,804,5.1,33.9,2.7,2532,340,8.2,100,,1027,207,12.2,40.6,6.1,632,182,17.5,25.0,6.4,17919,979,3.3,100,,10458,847,4.9,58.4,3.5,6151,681.0,6.7,34.3,3.3,6718,610,5.5,100,,4023,495,7.5,59.9,5.0,2486,435,10.6,37.0,5.5,417,244,35.6,100,,204,159,47.5,48.9,25.2,91,101,67.4,21.8,20.6,29848,1135,2.3,100,,18118,1157,3.9,60.7,3.1,10310,935,5.5,34.5,2.8,2132,335,9.6,100,,1057,221,12.7,49.6,6.8,590,183,18.8,27.7,7.4,17329,1069,3.7,100,,10320,867,5.1,59.6,3.4,5432,642,7.2,31.3,3.2,9021,949,6.4,100,,5636,819,8.8,62.5,6.3,3519,670,11.6,39.0,6.2,606,203,20.4,100,,448,205,27.8,73.9,22.9,249,159,38.7,41.1,22.3
03703,23058,1044,2.8,100,,10850,953,5.3,47.1,3.5,5862,781,8.1,25.4,3.2,7755,646,5.1,100,,3772,481,7.8,48.6,4.7,2144,420,11.9,27.6,4.9,6739,799,7.2,100,,2883,600,12.7,42.8,7.3,1563,452.0,17.6,23.2,6.1,7897,836,6.4,100,,3821,635,10.1,48.4,6.2,1925,440,13.9,24.4,4.9,264,141,32.5,100,,119,96,49.2,45.1,27.4,65,77,71.9,24.6,26.0,24296,1285,3.2,100,,12066,1303,6.6,49.7,4.7,7143,963,8.2,29.4,3.6,5467,551,6.1,100,,2818,477,10.3,51.5,7.0,1442,361,15.2,26.4,6.0,7256,928,7.8,100,,3618,790,13.3,49.9,8.8,2604,712,16.6,35.9,8.7,10500,1197,6.9,100,,5032,922,11.1,47.9,6.9,2875,658,13.9,27.4,5.4,641,256,24.3,100,,407,211,31.6,63.5,21.1,154,114,44.9,24.0,15.0
03704,29381,869,1.8,100,,15747,905,3.5,53.6,2.6,8990,699,4.7,30.6,2.2,6469,626,5.9,100,,3510,506,8.8,54.3,5.8,1899,404,12.9,29.4,5.6,6628,528,4.8,100,,3373,478,8.6,50.9,6.0,1749,338.0,11.7,26.4,4.6,13750,871,3.9,100,,7713,778,6.1,56.1,4.4,4673,627,8.2,34.0,4.0,1965,307,9.5,100,,867,195,13.7,44.1,7.2,504,157,18.9,25.6,6.9,30116,1009,2.0,100,,17524,963,3.3,58.2,2.5,9116,701,4.7,30.3,2.1,5721,531,5.6,100,,3246,462,8.7,56.7,6.1,1544,325,12.8,27.0,5.1,6976,744,6.5,100,,4132,642,9.4,59.2,6.7,2249,503,13.6,32.2,6.3,15016,1007,4.1,100,,8989,762,5.2,59.9,3.1,4975,565,6.9,33.1,3.0,1867,311,10.1,100,,809,247,18.6,43.3,11.1,255,138,32.9,13.7,7.0
03705,46437,696,0.9,100,,29555,1022,2.1,63.6,2.0,17467,937,3.3,37.6,1.9,1449,251,10.5,100,,1055,236,13.6,72.8,10.3,551,207,22.9,38.0,12.7,15307,805,3.2,100,,8851,607,4.2,57.8,2.5,4835,498.0,6.3,31.6,2.8,28938,933,2.0,100,,19012,985,3.1,65.7,2.7,11618,780,4.1,40.1,2.4,224,99,26.7,100,,186,84,27.5,83.0,8.5,93,77,50.6,41.5,29.4,52233,854,1.0,100,,33361,1321,2.4,63.9,2.3,20222,1279,3.8,38.7,2.4,1683,339,12.2,100,,1203,290,14.7,71.5,9.5,762,237,18.9,45.3,10.7,17997,895,3.0,100,,11173,853,4.6,62.1,3.6,7127,816,7.0,39.6,4.1,31463,1029,2.0,100,,20245,1129,3.4,64.3,2.9,11935,1019,5.2,37.9,3.0,425,170,24.2,100,,228,133,35.5,53.6,22.8,163,123,45.7,38.4,24.5
03706,38099,757,1.2,100,,24600,1094,2.7,64.6,2.6,14818,989,4.1,38.9,2.5,4046,612,9.2,100,,2302,469,12.4,56.9,7.8,1289,347,16.3,31.9,7.1,7951,756,5.8,100,,4964,621,7.6,62.4,5.1,2765,461.0,10.1,34.8,4.8,23644,913,2.3,100,,16062,1051,4.0,67.9,3.6,9984,877,5.3,42.2,3.3,1803,417,14.1,100,,948,321,20.6,52.6,13.0,530,209,23.9,29.4,9.4,40105,847,1.3,100,,25941,1161,2.7,64.7,2.6,14694,1079,4.5,36.6,2.6,2681,500,11.3,100,,1441,394,16.6,53.7,10.7,819,248,18.4,30.5,7.3,6507,754,7.0,100,,4207,654,9.4,64.7,6.7,2120,493,14.1,32.6,6.6,28472,1116,2.4,100,,18601,1176,3.8,65.3,3.2,10665,929,5.3,37.5,2.9,1530,363,14.4,100,,991,283,17.4,64.8,10.3,631,240,23.1,41.2,12.3
03707,39423,616,0.9,100,,24908,1033,2.5,63.2,2.4,14657,1005,4.2,37.2,2.5,408,165,24.6,100,,231,148,39.0,56.6,28.1,87,70,49.2,21.3,14.9,12783,689,3.3,100,,7721,570,4.5,60.4,3.0,4461,526.0,7.2,34.9,3.7,25230,797,1.9,100,,16437,925,3.4,65.1,3.0,9858,957,5.9,39.1,3.6,526,190,22.0,100,,153,99,39.4,29.1,15.6,88,77,53.0,16.7,13.3,42309,657,0.9,100,,27535,916,2.0,65.1,1.9,16970,971,3.5,40.1,2.2,471,176,22.8,100,,283,113,24.4,60.1,8.7,162,95,35.7,34.4,15.5,12558,807,3.9,100,,7575,687,5.5,60.3,3.9,4853,607,7.6,38.6,4.1,28344,949,2.0,100,,18935,860,2.8,66.8,2.0,11514,876,4.6,40.6,2.8,389,133,20.9,100,,293,134,27.8,75.3,22.9,122,90,44.9,31.4,20.5
03708,42246,690,1.0,100,,26653,1020,2.3,63.1,2.2,15922,1008,3.8,37.7,2.3,518,263,30.8,100,,292,198,41.2,56.4,25.4,212,163,46.6,40.9,23.5,14896,1053,4.3,100,,8894,949,6.5,59.7,4.8,5139,723.0,8.6,34.5,4.2,25950,1100,2.6,100,,16879,1081,3.9,65.0,3.1,10245,908,5.4,39.5,3.1,376,127,20.5,100,,288,115,24.2,76.6,16.2,138,86,37.7,36.7,19.1,44248,782,1.1,100,,27706,1156,2.5,62.6,2.4,16956,987,3.5,38.3,2.1,948,257,16.5,100,,522,212,24.7,55.1,16.6,372,192,31.4,39.2,17.3,13868,814,3.6,100,,8381,866,6.3,60.4,5.1,5217,670,7.8,37.6,4.3,28024,1004,2.2,100,,18032,904,3.0,64.3,2.3,10920,852,4.7,39.0,2.7,596,212,21.6,100,,223,140,38.3,37.4,19.5,181,133,44.6,30.4,19.5
03709,47978,1186,1.5,100,,26195,1404,3.3,54.6,2.6,14112,1066,4.6,29.4,2.1,1190,264,13.5,100,,857,254,18.0,72.0,14.1,463,170,22.3,38.9,11.3,16555,1004,3.7,100,,7617,757,6.0,46.0,3.6,3730,530.0,8.6,22.5,2.9,27545,1332,2.9,100,,16028,1081,4.1,58.2,2.7,8805,825,5.7,32.0,2.6,1649,341,12.6,100,,1134,302,16.2,68.8,11.5,672,249,22.5,40.8,12.5,49057,966,1.2,100,,29298,1161,2.4,59.7,2.1,15851,1010,3.9,32.3,2.0,1327,289,13.2,100,,747,223,18.2,56.3,11.5,502,194,23.5,37.8,12.1,16787,1044,3.8,100,,9188,976,6.5,54.7,4.7,4460,678,9.2,26.6,3.7,28018,1351,2.9,100,,17422,1153,4.0,62.2,2.8,9566,890,5.7,34.1,2.7,1846,392,12.9,100,,1160,327,17.1,62.8,11.6,723,259,21.8,39.2,11.3
03710,42785,644,0.9,100,,25720,924,2.2,60.1,2.0,14037,851,3.7,32.8,1.9,560,159,17.2,100,,333,144,26.3,59.5,19.4,269,125,28.3,48.0,17.8,11035,658,3.6,100,,6541,679,6.3,59.3,5.0,4034,506.0,7.6,36.6,4.0,30728,787,1.6,100,,18635,853,2.8,60.6,2.3,9634,750,4.7,31.4,2.3,261,159,37.0,100,,84,71,51.3,32.2,18.8,63,66,64.1,24.1,20.8,45824,792,1.1,100,,28154,1245,2.7,61.4,2.5,15864,1156,4.4,34.6,2.4,876,273,18.9,100,,388,214,33.5,44.3,20.2,224,151,40.9,25.6,15.3,12760,788,3.8,100,,8070,918,6.9,63.2,6.0,4953,737,9.0,38.8,5.3,31509,972,1.9,100,,19367,957,3.0,61.5,2.4,10463,903,5.2,33.2,2.7,153,106,42.1,100,,42,42,60.3,27.5,19.5,5,10,121.8,3.3,6.1
