puma,units_nycha_count
04001,3621.0
04002,4383.0
04003,7346.0
04004,7069.0
04005,2894.0
04006,4098.0
04007,9437.0
04008,6910.0
04009,4393.0
04010,135.0
04011,268.0
04012,0.0
04013,0.0
04014,0.0
04015,0.0
04016,2204.0
04017,0.0
04018,5863.0
03701,958.0
03702,3213.0
03703,2442.0
03704,3257.0
03705,8118.0
03706,233.0
03707,1660.0
03708,2306.0
03709,8481.0
03710,12656.0
04101,7774.0
04102,0.0
04103,919.0
04104,0.0
04105,29.0
04106,2071.0
04107,0.0
04108,0.0
04109,0.0
04110,0.0
04111,0.0
04112,2046.0
04113,12.0
04114,4022.0
03901,0.0
03902,1430.0
03903,3080.0
03801,3233.0
03802,3477.0
03803,8566.0
03804,15355.0
03805,1323.0
03806,5139.0
03807,2450.0
03808,492.0
03809,14222.0
03810,0.0
