puma,age_p25pl_count,age_p25pl_count_moe,age_p25pl_count_cv,age_p25pl_pct,age_p25pl_pct_moe,edu_lths_count,edu_lths_count_moe,edu_lths_count_cv,edu_lths_pct,edu_lths_pct_moe,edu_hsgrd_count,edu_hsgrd_count_moe,edu_hsgrd_count_cv,edu_hsgrd_pct,edu_hsgrd_pct_moe,edu_sclga_count,edu_sclga_count_moe,edu_sclga_count_cv,edu_sclga_pct,edu_sclga_pct_moe,edu_bchd_count,edu_bchd_count_moe,edu_bchd_count_cv,edu_bchd_pct,edu_bchd_pct_moe,age_p25pl_wnh_count,age_p25pl_wnh_count_moe,age_p25pl_wnh_count_cv,age_p25pl_wnh_pct,age_p25pl_wnh_pct_moe,edu_lths_wnh_count,edu_lths_wnh_count_moe,edu_lths_wnh_count_cv,edu_lths_wnh_pct,edu_lths_wnh_pct_moe,edu_hsgrd_wnh_count,edu_hsgrd_wnh_count_moe,edu_hsgrd_wnh_count_cv,edu_hsgrd_wnh_pct,edu_hsgrd_wnh_pct_moe,edu_sclga_wnh_count,edu_sclga_wnh_count_moe,edu_sclga_wnh_count_cv,edu_sclga_wnh_pct,edu_sclga_wnh_pct_moe,edu_bchd_wnh_count,edu_bchd_wnh_count_moe,edu_bchd_wnh_count_cv,edu_bchd_wnh_pct,edu_bchd_wnh_pct_moe,age_p25pl_bnh_count,age_p25pl_bnh_count_moe,age_p25pl_bnh_count_cv,age_p25pl_bnh_pct,age_p25pl_bnh_pct_moe,edu_lths_bnh_count,edu_lths_bnh_count_moe,edu_lths_bnh_count_cv,edu_lths_bnh_pct,edu_lths_bnh_pct_moe,edu_hsgrd_bnh_count,edu_hsgrd_bnh_count_moe,edu_hsgrd_bnh_count_cv,edu_hsgrd_bnh_pct,edu_hsgrd_bnh_pct_moe,edu_sclga_bnh_count,edu_sclga_bnh_count_moe,edu_sclga_bnh_count_cv,edu_sclga_bnh_pct,edu_sclga_bnh_pct_moe,edu_bchd_bnh_count,edu_bchd_bnh_count_moe,edu_bchd_bnh_count_cv,edu_bchd_bnh_pct,edu_bchd_bnh_pct_moe,age_p25pl_anh_count,age_p25pl_anh_count_moe,age_p25pl_anh_count_cv,age_p25pl_anh_pct,age_p25pl_anh_pct_moe,edu_lths_anh_count,edu_lths_anh_count_moe,edu_lths_anh_count_cv,edu_lths_anh_pct,edu_lths_anh_pct_moe,edu_hsgrd_anh_count,edu_hsgrd_anh_count_moe,edu_hsgrd_anh_count_cv,edu_hsgrd_anh_pct,edu_hsgrd_anh_pct_moe,edu_sclga_anh_count,edu_sclga_anh_count_moe,edu_sclga_anh_count_cv,edu_sclga_anh_pct,edu_sclga_anh_pct_moe,edu_bchd_anh_count,edu_bchd_anh_count_moe,edu_bchd_anh_count_cv,edu_bchd_anh_pct,edu_bchd_anh_pct_moe,age_p25pl_hsp_count,age_p25pl_hsp_count_moe,age_p25pl_hsp_count_cv,age_p25pl_hsp_pct,age_p25pl_hsp_pct_moe,edu_lths_hsp_count,edu_lths_hsp_count_moe,edu_lths_hsp_count_cv,edu_lths_hsp_pct,edu_lths_hsp_pct_moe,edu_hsgrd_hsp_count,edu_hsgrd_hsp_count_moe,edu_hsgrd_hsp_count_cv,edu_hsgrd_hsp_pct,edu_hsgrd_hsp_pct_moe,edu_sclga_hsp_count,edu_sclga_hsp_count_moe,edu_sclga_hsp_count_cv,edu_sclga_hsp_pct,edu_sclga_hsp_pct_moe,edu_bchd_hsp_count,edu_bchd_hsp_count_moe,edu_bchd_hsp_count_cv,edu_bchd_hsp_pct,edu_bchd_hsp_pct_moe
03701,72164,1420,1.2,100,,17070,1116,4.0,23.7,1.5,15003,1058,4.3,20.8,1.4,15314,1067,4.2,21.2,1.4,24777,1285,3.2,34.3,1.6,34752,1426,2.5,100,,4207,593,8.6,12.1,1.6,7344,771,6.4,21.1,2.0,6572,732,6.8,18.9,2.0,16629,1104,4.0,47.9,2.5,9163,853,5.7,100,,1889,402,12.9,20.6,3.9,2027,416,12.5,22.1,4.0,2834,490,10.5,30.9,4.5,2413,453,11.4,26.3,4.3,3489,541,9.4,100,,842,269,19.5,24.1,6.8,670,241,21.8,19.2,6.2,247,146,36.0,7.1,4.0,1730,385,13.5,49.6,7.9,23201,1256,3.3,100,,9735,877,5.5,42.0,3.0,4585,617,8.2,19.8,2.4,5408,668,7.5,23.3,2.6,3473,540,9.5,15.0,2.2
03702,87266,1684,1.2,100,,25112,1338,3.2,28.8,1.4,24130,1317,3.3,27.7,1.4,23003,1292,3.4,26.4,1.4,15021,1079,4.4,17.2,1.2,12083,979,4.9,100,,2974,503,10.3,24.6,3.7,4372,607,8.4,36.2,4.1,2389,452,11.5,19.8,3.4,2348,448,11.6,19.4,3.4,56659,1710,1.8,100,,14635,1067,4.4,25.8,1.7,15628,1098,4.3,27.6,1.8,16068,1111,4.2,28.4,1.8,10328,912,5.4,18.2,1.5,1372,344,15.2,100,,510,210,25.0,37.2,12.2,204,133,39.6,14.9,9.0,335,170,30.9,24.4,10.8,323,167,31.5,23.5,10.7,13513,1030,4.6,100,,5802,695,7.3,42.9,4.0,2948,501,10.3,21.8,3.3,3470,542,9.5,25.7,3.5,1293,334,15.7,9.6,2.4
03703,78302,1427,1.1,100,,17206,1125,4.0,22.0,1.4,25121,1301,3.1,32.1,1.6,20705,1211,3.6,26.4,1.5,15270,1070,4.3,19.5,1.3,41362,1505,2.2,100,,9493,869,5.6,23.0,1.9,15592,1080,4.2,37.7,2.2,8507,826,5.9,20.6,1.9,7770,793,6.2,18.8,1.8,18472,1157,3.8,100,,3124,514,10.0,16.9,2.6,4481,611,8.3,24.3,2.9,6953,753,6.6,37.6,3.3,3914,573,8.9,21.2,2.8,1205,322,16.2,100,,189,128,41.2,15.7,9.8,374,180,29.3,31.0,12.4,176,124,42.7,14.6,9.5,466,201,26.2,38.7,13.1,16005,1092,4.1,100,,4126,588,8.7,25.8,3.2,4233,595,8.5,26.4,3.2,4798,632,8.0,30.0,3.4,2848,491,10.5,17.8,2.8
03704,82527,1519,1.1,100,,24008,1294,3.3,29.1,1.5,23222,1278,3.3,28.1,1.5,17917,1152,3.9,21.7,1.3,17380,1138,4.0,21.1,1.3,35517,1478,2.5,100,,10000,893,5.4,28.2,2.2,10968,931,5.2,30.9,2.3,5792,692,7.3,16.3,1.8,8757,840,5.8,24.7,2.1,14855,1065,4.4,100,,3884,572,8.9,26.1,3.4,3666,556,9.2,24.7,3.3,4516,615,8.3,30.4,3.5,2789,487,10.6,18.8,3.0,4767,631,8.0,100,,1071,304,17.2,22.5,5.6,645,236,22.3,13.5,4.6,716,249,21.1,15.0,4.8,2335,446,11.6,49.0,6.7,24272,1299,3.3,100,,7914,802,6.2,32.6,2.8,7015,758,6.6,28.9,2.7,6197,715,7.0,25.5,2.6,3146,516,10.0,13.0,2.0
03705,73422,1747,1.4,100,,35969,1525,2.6,49.0,1.7,17414,1151,4.0,23.7,1.5,14485,1063,4.5,19.7,1.4,5554,681,7.5,7.6,0.9,3652,556,9.3,100,,1704,382,13.6,46.7,7.7,996,293,17.9,27.3,6.9,392,184,28.6,10.7,4.8,560,220,23.9,15.3,5.6,25945,1356,3.2,100,,9618,882,5.6,37.1,2.8,7428,782,6.4,28.6,2.6,6350,726,6.9,24.5,2.5,2549,466,11.1,9.8,1.7,640,235,22.3,100,,116,100,52.6,18.1,14.2,244,145,36.2,38.1,17.9,177,124,42.6,27.7,16.5,103,95,55.8,16.1,13.5,42080,1601,2.3,100,,24002,1315,3.3,57.0,2.2,8451,831,6.0,20.1,1.8,7353,778,6.4,17.5,1.7,2274,441,11.8,5.4,1.0
03706,75121,1672,1.4,100,,29777,1415,2.9,39.6,1.7,18041,1163,3.9,24.0,1.5,15314,1084,4.3,20.4,1.4,11989,973,4.9,16.0,1.2,11447,953,5.1,100,,3488,543,9.5,30.5,4.0,3497,544,9.5,30.5,4.0,1985,412,12.6,17.3,3.3,2477,460,11.3,21.6,3.6,15005,1075,4.4,100,,4237,597,8.6,28.2,3.4,3579,550,9.3,23.9,3.2,4415,609,8.4,29.4,3.5,2774,486,10.6,18.5,3.0,6169,715,7.0,100,,2137,427,12.2,34.6,5.6,1188,320,16.4,19.3,4.7,611,230,22.9,9.9,3.5,2233,437,11.9,36.2,5.7,39749,1552,2.4,100,,18900,1186,3.8,47.5,2.3,8986,853,5.8,22.6,2.0,7908,804,6.2,19.9,1.9,3955,577,8.9,9.9,1.4
03707,72394,1715,1.4,100,,34303,1493,2.6,47.4,1.7,16646,1127,4.1,23.0,1.5,15370,1088,4.3,21.2,1.4,6075,710,7.1,8.4,1.0,1338,339,15.4,100,,453,198,26.6,33.9,12.1,272,154,34.3,20.3,10.3,436,194,27.1,32.6,11.9,177,124,42.6,13.2,8.6,24118,1313,3.3,100,,8650,839,5.9,35.9,2.9,6471,732,6.9,26.8,2.7,6326,724,7.0,26.2,2.6,2671,477,10.9,11.1,1.9,1239,327,16.0,100,,534,215,24.5,43.1,13.1,356,176,30.0,28.7,12.0,193,129,40.8,15.6,9.6,156,116,45.3,12.6,8.8,43263,1601,2.2,100,,23735,1305,3.3,54.9,2.2,8851,848,5.8,20.5,1.8,7801,799,6.2,18.0,1.7,2876,495,10.5,6.6,1.1
03708,73348,1671,1.4,100,,35248,1495,2.6,48.1,1.7,16937,1132,4.1,23.1,1.5,15478,1089,4.3,21.1,1.4,5685,687,7.4,7.8,0.9,1058,302,17.4,100,,401,186,28.3,37.9,13.9,204,133,39.6,19.3,11.3,343,172,30.6,32.4,13.4,110,98,54.0,10.4,8.7,28848,1397,2.9,100,,9591,879,5.6,33.2,2.6,8536,833,5.9,29.6,2.5,7883,802,6.2,27.3,2.4,2838,491,10.5,9.8,1.6,1129,312,16.8,100,,501,208,25.3,44.4,13.8,333,170,31.0,29.5,12.7,109,97,54.3,9.7,8.2,186,127,41.5,16.5,10.3,40246,1555,2.3,100,,23877,1302,3.3,59.3,2.3,7280,773,6.5,18.1,1.8,6800,748,6.7,16.9,1.7,2289,442,11.7,5.7,1.1
03709,105693,1909,1.1,100,,38966,1623,2.5,36.9,1.4,28784,1446,3.1,27.2,1.3,24565,1355,3.4,23.2,1.2,13378,1036,4.7,12.7,1.0,6618,744,6.8,100,,2119,426,12.2,32.0,5.3,2394,453,11.5,36.2,5.5,1016,296,17.7,15.4,4.1,1089,307,17.1,16.5,4.2,34562,1553,2.7,100,,8442,836,6.0,24.4,2.2,10136,911,5.5,29.3,2.3,9750,894,5.6,28.2,2.3,6234,723,7.0,18.0,1.9,4418,612,8.4,100,,1982,413,12.7,44.9,7.0,631,234,22.5,14.3,4.9,703,247,21.3,15.9,5.1,1102,308,17.0,24.9,6.1,56383,1823,2.0,100,,25102,1367,3.3,44.5,2.0,14477,1074,4.5,25.7,1.7,12361,999,4.9,21.9,1.6,4443,613,8.4,7.9,1.1
03710,78331,1748,1.4,100,,43330,1618,2.3,55.3,1.7,17957,1168,4.0,22.9,1.4,13265,1022,4.7,16.9,1.2,3779,565,9.1,4.8,0.7,2575,469,11.1,100,,1117,310,16.9,43.4,9.1,575,223,23.6,22.3,7.7,587,225,23.3,22.8,7.7,296,160,32.9,11.5,5.9,21461,1258,3.6,100,,10163,906,5.4,47.4,3.2,6557,737,6.8,30.6,2.9,3561,549,9.4,16.6,2.4,1180,319,16.4,5.5,1.5,503,209,25.2,100,,79,83,63.7,15.7,15.1,144,112,47.2,28.6,18.8,148,113,46.6,29.4,18.9,132,107,49.3,26.2,18.3,52622,1697,2.0,100,,31439,1459,2.8,59.7,2.0,10562,922,5.3,20.1,1.6,8549,836,5.9,16.2,1.5,2072,421,12.4,3.9,0.8
