borough,lep_0812_count,lep_0812_count_moe,lep_0812_count_cv,lep_0812_pct,lep_0812_pct_moe,age_p5pl,lep_0812_anh_count,lep_0812_anh_count_moe,lep_0812_anh_count_cv,lep_0812_anh_pct,lep_0812_anh_pct_moe,age_p5pl_0812_anh,lep_0812_bnh_count,lep_0812_bnh_count_moe,lep_0812_bnh_count_cv,lep_0812_bnh_pct,lep_0812_bnh_pct_moe,age_p5pl_0812_bnh,lep_0812_hsp_count,lep_0812_hsp_count_moe,lep_0812_hsp_count_cv,lep_0812_hsp_pct,lep_0812_hsp_pct_moe,age_p5pl_0812_hsp,lep_0812_wnh_count,lep_0812_wnh_count_moe,lep_0812_wnh_count_cv,lep_0812_wnh_pct,lep_0812_wnh_pct_moe,age_p5pl_0812_wnh,fb_0812_count,fb_0812_count_moe,fb_0812_count_cv,fb_0812_pct,fb_0812_pct_moe,fb_0812_anh_count,fb_0812_anh_count_moe,fb_0812_anh_count_cv,fb_0812_anh_pct,fb_0812_anh_pct_moe,fb_0812_bnh_count,fb_0812_bnh_count_moe,fb_0812_bnh_count_cv,fb_0812_bnh_pct,fb_0812_bnh_pct_moe,fb_0812_hsp_count,fb_0812_hsp_count_moe,fb_0812_hsp_count_cv,fb_0812_hsp_pct,fb_0812_hsp_pct_moe,fb_0812_wnh_count,fb_0812_wnh_count_moe,fb_0812_wnh_count_cv,fb_0812_wnh_pct,fb_0812_wnh_pct_moe,age_popu16_0812_count,age_popu16_0812_count_moe,age_popu16_0812_count_cv,age_popu16_0812_pct,age_popu16_0812_pct_moe,age_p16t64_0812_count,age_p16t64_0812_count_moe,age_p16t64_0812_count_cv,age_p16t64_0812_pct,age_p16t64_0812_pct_moe,age_p65pl_0812_count,age_p65pl_0812_count_moe,age_p65pl_0812_count_cv,age_p65pl_0812_pct,age_p65pl_0812_pct_moe,age_popu16_0812_anh_count,age_popu16_0812_anh_count_moe,age_popu16_0812_anh_count_cv,age_popu16_0812_anh_pct,age_popu16_0812_anh_pct_moe,age_popu16_0812_bnh_count,age_popu16_0812_bnh_count_moe,age_popu16_0812_bnh_count_cv,age_popu16_0812_bnh_pct,age_popu16_0812_bnh_pct_moe,age_popu16_0812_hsp_count,age_popu16_0812_hsp_count_moe,age_popu16_0812_hsp_count_cv,age_popu16_0812_hsp_pct,age_popu16_0812_hsp_pct_moe,age_popu16_0812_wnh_count,age_popu16_0812_wnh_count_moe,age_popu16_0812_wnh_count_cv,age_popu16_0812_wnh_pct,age_popu16_0812_wnh_pct_moe,age_p16t64_0812_anh_count,age_p16t64_0812_anh_count_moe,age_p16t64_0812_anh_count_cv,age_p16t64_0812_anh_pct,age_p16t64_0812_anh_pct_moe,age_p16t64_0812_bnh_count,age_p16t64_0812_bnh_count_moe,age_p16t64_0812_bnh_count_cv,age_p16t64_0812_bnh_pct,age_p16t64_0812_bnh_pct_moe,age_p16t64_0812_hsp_count,age_p16t64_0812_hsp_count_moe,age_p16t64_0812_hsp_count_cv,age_p16t64_0812_hsp_pct,age_p16t64_0812_hsp_pct_moe,age_p16t64_0812_wnh_count,age_p16t64_0812_wnh_count_moe,age_p16t64_0812_wnh_count_cv,age_p16t64_0812_wnh_pct,age_p16t64_0812_wnh_pct_moe,age_p65pl_0812_anh_count,age_p65pl_0812_anh_count_moe,age_p65pl_0812_anh_count_cv,age_p65pl_0812_anh_pct,age_p65pl_0812_anh_pct_moe,age_p65pl_0812_bnh_count,age_p65pl_0812_bnh_count_moe,age_p65pl_0812_bnh_count_cv,age_p65pl_0812_bnh_pct,age_p65pl_0812_bnh_pct_moe,age_p65pl_0812_hsp_count,age_p65pl_0812_hsp_count_moe,age_p65pl_0812_hsp_count_cv,age_p65pl_0812_hsp_pct,age_p65pl_0812_hsp_pct_moe,age_p65pl_0812_wnh_count,age_p65pl_0812_wnh_count_moe,age_p65pl_0812_wnh_count_cv,age_p65pl_0812_wnh_pct,age_p65pl_0812_wnh_pct_moe,age_median_0812_median,age_median_0812_median_moe,age_median_0812_median_cv,age_median_0812_anh_median,age_median_0812_anh_median_moe,age_median_0812_anh_median_cv,age_median_0812_bnh_median,age_median_0812_bnh_median_moe,age_median_0812_bnh_median_cv,age_median_0812_hsp_median,age_median_0812_hsp_median_moe,age_median_0812_hsp_median_cv,age_median_0812_wnh_median,age_median_0812_wnh_median_moe,age_median_0812_wnh_median_cv,lep_1519_count,lep_1519_count_moe,lep_1519_count_cv,lep_1519_pct,lep_1519_pct_moe,age_p5pl,lep_1519_anh_count,lep_1519_anh_count_moe,lep_1519_anh_count_cv,lep_1519_anh_pct,lep_1519_anh_pct_moe,age_p5pl_1519_anh,lep_1519_bnh_count,lep_1519_bnh_count_moe,lep_1519_bnh_count_cv,lep_1519_bnh_pct,lep_1519_bnh_pct_moe,age_p5pl_1519_bnh,lep_1519_hsp_count,lep_1519_hsp_count_moe,lep_1519_hsp_count_cv,lep_1519_hsp_pct,lep_1519_hsp_pct_moe,age_p5pl_1519_hsp,lep_1519_wnh_count,lep_1519_wnh_count_moe,lep_1519_wnh_count_cv,lep_1519_wnh_pct,lep_1519_wnh_pct_moe,age_p5pl_1519_wnh,fb_1519_count,fb_1519_count_moe,fb_1519_count_cv,fb_1519_pct,fb_1519_pct_moe,fb_1519_anh_count,fb_1519_anh_count_moe,fb_1519_anh_count_cv,fb_1519_anh_pct,fb_1519_anh_pct_moe,fb_1519_bnh_count,fb_1519_bnh_count_moe,fb_1519_bnh_count_cv,fb_1519_bnh_pct,fb_1519_bnh_pct_moe,fb_1519_hsp_count,fb_1519_hsp_count_moe,fb_1519_hsp_count_cv,fb_1519_hsp_pct,fb_1519_hsp_pct_moe,fb_1519_wnh_count,fb_1519_wnh_count_moe,fb_1519_wnh_count_cv,fb_1519_wnh_pct,fb_1519_wnh_pct_moe,age_popu16_1519_count,age_popu16_1519_count_moe,age_popu16_1519_count_cv,age_popu16_1519_pct,age_popu16_1519_pct_moe,age_p16t64_1519_count,age_p16t64_1519_count_moe,age_p16t64_1519_count_cv,age_p16t64_1519_pct,age_p16t64_1519_pct_moe,age_p65pl_1519_count,age_p65pl_1519_count_moe,age_p65pl_1519_count_cv,age_p65pl_1519_pct,age_p65pl_1519_pct_moe,age_popu16_1519_anh_count,age_popu16_1519_anh_count_moe,age_popu16_1519_anh_count_cv,age_popu16_1519_anh_pct,age_popu16_1519_anh_pct_moe,age_popu16_1519_bnh_count,age_popu16_1519_bnh_count_moe,age_popu16_1519_bnh_count_cv,age_popu16_1519_bnh_pct,age_popu16_1519_bnh_pct_moe,age_popu16_1519_hsp_count,age_popu16_1519_hsp_count_moe,age_popu16_1519_hsp_count_cv,age_popu16_1519_hsp_pct,age_popu16_1519_hsp_pct_moe,age_popu16_1519_wnh_count,age_popu16_1519_wnh_count_moe,age_popu16_1519_wnh_count_cv,age_popu16_1519_wnh_pct,age_popu16_1519_wnh_pct_moe,age_p16t64_1519_anh_count,age_p16t64_1519_anh_count_moe,age_p16t64_1519_anh_count_cv,age_p16t64_1519_anh_pct,age_p16t64_1519_anh_pct_moe,age_p16t64_1519_bnh_count,age_p16t64_1519_bnh_count_moe,age_p16t64_1519_bnh_count_cv,age_p16t64_1519_bnh_pct,age_p16t64_1519_bnh_pct_moe,age_p16t64_1519_hsp_count,age_p16t64_1519_hsp_count_moe,age_p16t64_1519_hsp_count_cv,age_p16t64_1519_hsp_pct,age_p16t64_1519_hsp_pct_moe,age_p16t64_1519_wnh_count,age_p16t64_1519_wnh_count_moe,age_p16t64_1519_wnh_count_cv,age_p16t64_1519_wnh_pct,age_p16t64_1519_wnh_pct_moe,age_p65pl_1519_anh_count,age_p65pl_1519_anh_count_moe,age_p65pl_1519_anh_count_cv,age_p65pl_1519_anh_pct,age_p65pl_1519_anh_pct_moe,age_p65pl_1519_bnh_count,age_p65pl_1519_bnh_count_moe,age_p65pl_1519_bnh_count_cv,age_p65pl_1519_bnh_pct,age_p65pl_1519_bnh_pct_moe,age_p65pl_1519_hsp_count,age_p65pl_1519_hsp_count_moe,age_p65pl_1519_hsp_count_cv,age_p65pl_1519_hsp_pct,age_p65pl_1519_hsp_pct_moe,age_p65pl_1519_wnh_count,age_p65pl_1519_wnh_count_moe,age_p65pl_1519_wnh_count_cv,age_p65pl_1519_wnh_pct,age_p65pl_1519_wnh_pct_moe,age_median_1519_median,age_median_1519_median_moe,age_median_1519_median_cv,age_median_1519_anh_median,age_median_1519_anh_median_moe,age_median_1519_anh_median_cv,age_median_1519_bnh_median,age_median_1519_bnh_median_moe,age_median_1519_bnh_median_cv,age_median_1519_hsp_median,age_median_1519_hsp_median_moe,age_median_1519_hsp_median_cv,age_median_1519_wnh_median,age_median_1519_wnh_median_moe,age_median_1519_wnh_median_cv
BX,326726,5948,1.1,25.4,0.5,,17621,1031,3.6,39.1,2.1,,21082,2026.0,5.8,5.4,0.5,,269159,5307,1.2,39.6,0.8,,16570,1371,5.0,11.5,0.9,,468927,7015,0.9,33.8,0.5,35237,1296,2.2,73.6,2.0,127974,3371,1.6,30.4,0.8,261504,5479,1.3,35.2,0.7,34104,1797,3.2,22.5,1.2,324019,1344,0.3,23.3,0.1,918265,3215,0.2,66.1,0.2,146998,1251,0.5,10.6,0.1,9235,489,3.2,19.3,0.9,94967,1069,0.7,22.5,0.2,193029,1015,0.3,26.0,0.1,20031,465,1.4,13.2,0.3,34194,994,1.8,71.4,1.0,283179,2413,0.5,67.2,0.4,491001,1487,0.2,66.1,0.2,93280,1232,0.8,61.4,0.6,4432,363,5.0,9.3,0.7,43218,885,1.2,10.3,0.2,58889,507,0.5,7.9,0.1,38550,677,1.1,25.4,0.4,33.0,0.2,0.4,35.8,1.0,1.7,34.6,0.4,0.8,29.8,0.3,0.6,47.1,0.8,1.0,350475,5775,1.0,26.4,0.4,,21682,1461,4.1,44.3,2.8,,23635,1903.0,4.9,6.0,0.5,,286344,5397,1.1,38.7,0.7,,15760,1401,5.4,12.6,1.1,,509508,7586,0.9,35.5,0.5,36133,1245,2.1,69.6,1.8,131424,4164,1.9,31.4,1.0,304148,5975,1.2,37.9,0.7,28838,1895,4.0,21.9,1.4,319676,1359,0.3,22.3,0.1,935184,2310,0.2,65.2,0.1,179860,1162,0.4,12.5,0.1,9577,620,3.9,18.4,1.1,88022,1162,0.8,21.0,0.2,196411,971,0.3,24.4,0.1,18314,419,1.4,13.9,0.3,36011,844,1.4,69.3,0.3,277731,1995,0.4,66.3,0.3,525809,1307,0.2,65.4,0.1,77429,1068,0.8,58.7,0.5,6345,305,2.9,12.2,0.5,53086,936,1.1,12.7,0.2,81225,592,0.4,10.1,0.1,36077,759,1.3,27.4,0.5,34.2,0.2,0.4,37.3,1.0,1.7,36.2,0.5,0.8,31.8,0.3,0.5,47.5,1.0,1.3
BK,573974,6936,0.7,24.6,0.3,,147603,3078,1.3,59.7,1.2,,48730,2887.0,3.6,6.4,0.4,,189507,4009,1.3,41.5,0.9,,182191,4222,1.4,21.9,0.5,,950471,8294,0.5,37.8,0.3,188859,2383,0.8,71.6,0.8,304235,5267,1.1,37.5,0.6,187192,4671,1.5,37.6,0.9,255387,4423,1.1,28.5,0.5,529445,1515,0.2,21.1,0.1,1693262,2783,0.1,67.3,0.1,291421,2199,0.5,11.6,0.1,51501,903,1.1,19.5,0.3,170931,1303,0.5,21.1,0.1,120791,720,0.4,24.3,0.1,173624,778,0.3,19.4,0.1,189493,1347,0.4,71.8,0.2,550067,2040,0.2,67.8,0.1,336631,954,0.2,67.6,0.1,588770,1422,0.1,65.7,0.1,22910,622,1.7,8.7,0.2,90742,1280,0.9,11.2,0.2,40386,634,1.0,8.1,0.1,134436,1381,0.6,15.0,0.2,34.2,0.2,0.3,34.9,0.5,0.8,35.4,0.3,0.6,30.8,0.3,0.7,35.4,0.3,0.5,527342,6538,0.8,22.0,0.3,,156271,2641,1.0,54.7,0.8,,38157,2623.0,4.2,5.2,0.4,,157700,3983,1.5,34.7,0.9,,165194,3540,1.3,19.1,0.4,,937605,8405,0.5,36.2,0.3,209204,2800,0.8,68.4,0.7,280152,5059,1.1,36.1,0.6,179175,4206,1.4,36.3,0.8,246040,4079,1.0,26.1,0.4,534806,1437,0.2,20.6,0.0,1703584,3012,0.1,65.8,0.1,351603,1235,0.2,13.6,0.0,55381,1459,1.6,18.1,0.4,144827,1459,0.6,18.6,0.2,114904,674,0.4,23.3,0.1,195590,966,0.3,20.8,0.1,214873,1626,0.5,70.3,0.8,518079,2631,0.3,66.7,0.2,327094,1490,0.3,66.3,0.2,600303,1361,0.1,63.7,0.1,35545,580,1.0,11.6,0.2,113876,828,0.4,14.7,0.1,51629,344,0.4,10.5,0.1,146006,835,0.3,15.5,0.1,35.3,0.2,0.3,36.8,0.5,0.8,38.0,0.3,0.5,32.8,0.3,0.6,35.1,0.2,0.4
MN,248991,5386,1.3,16.4,0.4,,63610,2374,2.3,37.1,1.3,,8415,1468.0,10.6,4.2,0.7,,155056,3815,1.5,40.5,1.0,,19618,1591,4.9,2.7,0.2,,455351,6985,0.9,28.6,0.4,120922,2444,1.2,68.5,1.1,31166,2272,4.4,15.0,1.1,178959,3796,1.3,43.8,0.9,116227,4210,2.2,15.3,0.5,211544,1299,0.4,13.3,0.1,1166859,5466,0.3,73.2,0.3,215404,1419,0.4,13.5,0.1,15217,959,3.8,8.6,0.5,33884,1029,1.8,16.3,0.4,78446,778,0.6,19.2,0.2,72527,472,0.4,9.5,0.0,140807,2010,0.9,79.8,0.6,144063,2162,0.9,69.2,0.5,280927,1533,0.3,68.8,0.3,575589,3315,0.4,75.6,0.3,20476,598,1.8,11.6,0.3,30293,811,1.6,14.5,0.3,49201,554,0.7,12.0,0.1,112910,845,0.5,14.8,0.1,36.5,0.2,0.3,34.9,0.4,0.7,39.0,0.7,1.1,34.4,0.4,0.7,38.1,0.3,0.4,227892,5426,1.4,14.7,0.3,,63515,2883,2.8,33.4,1.5,,8045,1445.0,10.9,4.2,0.7,,136940,3977,1.8,34.5,1.0,,17818,1903,6.5,2.4,0.3,,467319,7093,0.9,28.6,0.4,131726,2652,1.2,66.8,1.1,33842,2289,4.1,16.7,1.1,171757,4672,1.7,40.8,1.1,121599,3844,1.9,15.9,0.5,212584,1080,0.3,13.0,0.1,1155077,2998,0.2,70.8,0.1,264112,1364,0.3,16.2,0.1,17398,891,3.1,8.8,0.4,31313,1000,1.9,15.4,0.5,74884,684,0.6,17.8,0.2,75726,619,0.5,9.9,0.1,152708,1629,0.6,77.5,1.2,139733,2232,1.0,68.9,0.7,284686,1373,0.3,67.6,0.2,550561,1929,0.2,71.8,0.2,27024,667,1.5,13.7,0.3,31664,857,1.6,15.6,0.4,61812,618,0.6,14.7,0.1,140175,572,0.2,18.3,0.1,37.7,0.2,0.3,36.9,0.5,0.7,39.3,0.7,1.1,36.1,0.4,0.7,39.0,0.3,0.4
QN,593562,5988,0.6,28.3,0.3,,235114,4065,1.1,47.8,0.8,,16462,1666.0,6.2,4.4,0.4,,253216,4104,1.0,44.7,0.7,,81705,2511,1.9,13.9,0.4,,1065575,6632,0.4,47.7,0.3,393400,3387,0.5,75.5,0.5,138026,4252,1.9,34.9,1.1,317118,3642,0.7,51.7,0.6,169363,2970,1.1,27.5,0.5,407464,1460,0.2,18.2,0.1,1538011,1960,0.1,68.9,0.1,288008,1159,0.2,12.9,0.1,89884,1453,1.0,17.3,0.3,78876,1171,0.9,19.9,0.3,137750,893,0.4,22.4,0.1,79928,688,0.5,13.0,0.1,381451,2143,0.3,73.2,0.6,267675,1737,0.4,67.6,0.2,430169,1077,0.2,70.1,0.2,398256,1653,0.3,64.7,0.2,49459,636,0.8,9.5,0.1,49242,789,1.0,12.4,0.2,45896,381,0.5,7.5,0.1,137027,935,0.4,22.3,0.1,37.4,0.2,0.3,37.3,0.3,0.6,37.4,0.5,0.8,32.2,0.3,0.5,45.2,0.4,0.5,622117,7177,0.7,29.0,0.3,,277537,4682,1.0,50.6,0.8,,16619,1655.0,6.1,4.5,0.4,,251260,4581,1.1,42.5,0.8,,70000,2882,2.5,12.9,0.5,,1081926,6578,0.4,47.3,0.3,427586,3322,0.5,73.5,0.4,135457,3451,1.5,34.4,0.8,315977,4679,0.9,49.3,0.7,155343,3853,1.5,27.1,0.7,413006,1134,0.2,18.1,0.0,1523805,1925,0.1,66.6,0.1,350693,1155,0.2,15.3,0.0,95962,1487,0.9,16.5,0.2,69209,1166,1.0,17.6,0.3,143614,702,0.3,22.4,0.1,79774,654,0.5,13.9,0.1,405649,2198,0.3,69.8,0.5,264102,2117,0.5,67.0,0.3,432293,950,0.1,67.4,0.1,357463,1341,0.2,62.4,0.1,79891,564,0.4,13.7,0.1,60751,774,0.8,15.4,0.2,65528,360,0.3,10.2,0.1,135612,761,0.3,23.7,0.1,39.0,0.2,0.3,39.8,0.3,0.5,39.6,0.5,0.8,34.5,0.3,0.5,45.2,0.4,0.6
SI,50096,2287,2.8,11.4,0.5,,12635,1012,4.9,37.3,2.9,,923,330.0,21.7,2.2,0.8,,16035,1257,4.8,22.1,1.7,,19996,1566,4.8,7.0,0.5,,99410,3068,1.9,21.3,0.7,23772,929,2.4,66.4,2.3,10700,1180,6.7,24.0,2.6,19578,1562,4.9,24.4,1.9,43852,2482,3.4,14.6,0.8,94645,577,0.4,20.2,0.1,312737,1617,0.3,66.9,0.3,60311,790,0.8,12.9,0.2,7272,278,2.3,20.3,0.7,11239,423,2.3,25.2,0.8,22685,265,0.7,28.3,0.3,51411,466,0.6,17.1,0.1,24646,579,1.4,68.8,1.0,30042,776,1.6,67.5,1.0,53520,475,0.5,66.7,0.5,200294,1087,0.3,66.7,0.2,3907,242,3.8,10.9,0.6,3238,268,5.0,7.3,0.6,4091,256,3.8,5.1,0.3,48635,644,0.8,16.2,0.2,38.6,0.4,0.7,38.9,1.5,2.3,31.4,1.4,2.7,28.3,0.8,1.8,42.8,0.5,0.7,50172,2342,2.8,11.2,0.5,,17056,1336,4.8,41.2,3.1,,585,202.0,21.0,1.4,0.5,,13123,1200,5.6,16.4,1.5,,18922,1623,5.2,6.8,0.6,,111697,3482,1.9,23.5,0.7,30163,997,2.0,69.5,1.9,11683,1440,7.5,26.4,3.2,19312,1508,4.7,22.0,1.7,48882,2855,3.6,16.9,1.0,91856,647,0.4,19.3,0.1,307579,1096,0.2,64.8,0.2,75418,677,0.5,15.9,0.1,7315,497,4.1,16.9,1.1,9751,589,3.7,22.0,1.2,23677,271,0.7,27.0,0.3,47276,563,0.7,16.3,0.2,29721,472,1.0,68.5,1.7,30052,613,1.2,67.9,2.0,57778,377,0.4,65.8,0.3,184707,829,0.3,63.7,0.2,6362,157,1.5,14.7,0.2,4437,212,2.9,10.0,0.4,6315,153,1.5,7.2,0.2,57833,580,0.6,20.0,0.2,40.0,0.5,0.7,41.0,1.3,2.0,34.1,1.3,2.3,30.5,0.9,1.8,44.8,0.6,0.8
