,borough,total_pop_20,total_pop_20_pct,total_pop_20_hsp,total_pop_20_hsp_pct,total_pop_20_wnh,total_pop_20_wnh_pct,total_pop_20_bnh,total_pop_20_bnh_pct,total_pop_20_anh,total_pop_20_anh_pct,total_pop_20_onh,total_pop_20_onh_pct,total_pop_10,total_pop_10_pct,total_pop_10_hsp,total_pop_10_hsp_pct,total_pop_10_wnh,total_pop_10_wnh_pct,total_pop_10_bnh,total_pop_10_bnh_pct,total_pop_10_anh,total_pop_10_anh_pct,total_pop_10_onh,total_pop_10_onh_pct,total_pop_00,total_pop_00_pct,total_pop_00_hsp,total_pop_00_hsp_pct,total_pop_00_wnh,total_pop_00_wnh_pct,total_pop_00_bnh,total_pop_00_bnh_pct,total_pop_00_anh,total_pop_00_anh_pct,total_pop_00_onh,total_pop_00_onh_pct
0,BX,1472654,100,806463,54.8,130796,8.9,419393,28.5,67766,4.6,48236,3.3,1385108,100,741413,53.5,151209,10.9,416695,30.1,47335,3.4,28456,2.1,1332650,100,644705,48.4,193651,14.5,416338,31.2,38558,2.9,39398,3.0
1,BK,2736074,100,516426,18.9,968427,35.4,729696,26.7,370776,13.6,150749,5.5,2504700,100,496285,19.8,893306,35.7,799066,31.9,260129,10.4,55914,2.2,2465326,100,487878,19.8,854532,34.7,848583,34.4,184291,7.5,90042,3.7
2,MN,1694251,100,402640,23.8,793294,46.8,199592,11.8,219624,13.0,79101,4.7,1585873,100,403577,25.4,761493,48.0,205340,12.9,177624,11.2,37839,2.4,1537195,100,417816,27.2,703873,45.8,234698,15.3,143291,9.3,37517,2.4
3,QN,2405464,100,667861,27.8,549358,22.8,381375,15.9,656583,27.3,150287,6.2,2230722,100,613750,27.5,616727,27.6,395881,17.7,508334,22.8,96030,4.3,2229379,100,556605,25.0,732895,32.9,422831,19.0,389303,17.5,127745,5.7
4,SI,495747,100,96960,19.6,277981,56.1,46835,9.4,58753,11.9,15218,3.1,468730,100,81051,17.3,300169,64.0,44313,9.5,34697,7.4,8500,1.8,443728,100,53550,12.1,316316,71.3,39704,8.9,24786,5.6,9372,2.1
