borough,P16t64-anh-count,P16t64-anh-count-CV,P16t64-anh-count-MOE,P16t64-anh-fraction,P16t64-anh-fraction-CV,P16t64-anh-fraction-MOE,P16t64-anh-fraction-denom,P16t64-bnh-count,P16t64-bnh-count-CV,P16t64-bnh-count-MOE,P16t64-bnh-fraction,P16t64-bnh-fraction-CV,P16t64-bnh-fraction-MOE,P16t64-bnh-fraction-denom,P16t64-count,P16t64-count-CV,P16t64-count-MOE,P16t64-fraction,P16t64-fraction-CV,P16t64-fraction-MOE,P16t64-fraction-denom,P16t64-hsp-count,P16t64-hsp-count-CV,P16t64-hsp-count-MOE,P16t64-hsp-fraction,P16t64-hsp-fraction-CV,P16t64-hsp-fraction-MOE,P16t64-hsp-fraction-denom,P16t64-onh-count,P16t64-onh-count-CV,P16t64-onh-count-MOE,P16t64-onh-fraction,P16t64-onh-fraction-CV,P16t64-onh-fraction-MOE,P16t64-onh-fraction-denom,P16t64-wnh-count,P16t64-wnh-count-CV,P16t64-wnh-count-MOE,P16t64-wnh-fraction,P16t64-wnh-fraction-CV,P16t64-wnh-fraction-MOE,P16t64-wnh-fraction-denom,P65pl-anh-count,P65pl-anh-count-CV,P65pl-anh-count-MOE,P65pl-anh-fraction,P65pl-anh-fraction-CV,P65pl-anh-fraction-MOE,P65pl-anh-fraction-denom,P65pl-bnh-count,P65pl-bnh-count-CV,P65pl-bnh-count-MOE,P65pl-bnh-fraction,P65pl-bnh-fraction-CV,P65pl-bnh-fraction-MOE,P65pl-bnh-fraction-denom,P65pl-count,P65pl-count-CV,P65pl-count-MOE,P65pl-fraction,P65pl-fraction-CV,P65pl-fraction-MOE,P65pl-fraction-denom,P65pl-hsp-count,P65pl-hsp-count-CV,P65pl-hsp-count-MOE,P65pl-hsp-fraction,P65pl-hsp-fraction-CV,P65pl-hsp-fraction-MOE,P65pl-hsp-fraction-denom,P65pl-onh-count,P65pl-onh-count-CV,P65pl-onh-count-MOE,P65pl-onh-fraction,P65pl-onh-fraction-CV,P65pl-onh-fraction-MOE,P65pl-onh-fraction-denom,P65pl-wnh-count,P65pl-wnh-count-CV,P65pl-wnh-count-MOE,P65pl-wnh-fraction,P65pl-wnh-fraction-CV,P65pl-wnh-fraction-MOE,P65pl-wnh-fraction-denom,PopU16-anh-count,PopU16-anh-count-CV,PopU16-anh-count-MOE,PopU16-anh-fraction,PopU16-anh-fraction-CV,PopU16-anh-fraction-MOE,PopU16-anh-fraction-denom,PopU16-bnh-count,PopU16-bnh-count-CV,PopU16-bnh-count-MOE,PopU16-bnh-fraction,PopU16-bnh-fraction-CV,PopU16-bnh-fraction-MOE,PopU16-bnh-fraction-denom,PopU16-count,PopU16-count-CV,PopU16-count-MOE,PopU16-fraction,PopU16-fraction-CV,PopU16-fraction-MOE,PopU16-fraction-denom,PopU16-hsp-count,PopU16-hsp-count-CV,PopU16-hsp-count-MOE,PopU16-hsp-fraction,PopU16-hsp-fraction-CV,PopU16-hsp-fraction-MOE,PopU16-hsp-fraction-denom,PopU16-onh-count,PopU16-onh-count-CV,PopU16-onh-count-MOE,PopU16-onh-fraction,PopU16-onh-fraction-CV,PopU16-onh-fraction-MOE,PopU16-onh-fraction-denom,PopU16-wnh-count,PopU16-wnh-count-CV,PopU16-wnh-count-MOE,PopU16-wnh-fraction,PopU16-wnh-fraction-CV,PopU16-wnh-fraction-MOE,PopU16-wnh-fraction-denom,fb-anh-count,fb-anh-count-CV,fb-anh-count-MOE,fb-anh-fraction,fb-anh-fraction-CV,fb-anh-fraction-MOE,fb-anh-fraction-denom,fb-bnh-count,fb-bnh-count-CV,fb-bnh-count-MOE,fb-bnh-fraction,fb-bnh-fraction-CV,fb-bnh-fraction-MOE,fb-bnh-fraction-denom,fb-count,fb-count-CV,fb-count-MOE,fb-fraction,fb-fraction-CV,fb-fraction-MOE,fb-fraction-denom,fb-hsp-count,fb-hsp-count-CV,fb-hsp-count-MOE,fb-hsp-fraction,fb-hsp-fraction-CV,fb-hsp-fraction-MOE,fb-hsp-fraction-denom,fb-onh-count,fb-onh-count-CV,fb-onh-count-MOE,fb-onh-fraction,fb-onh-fraction-CV,fb-onh-fraction-MOE,fb-onh-fraction-denom,fb-wnh-count,fb-wnh-count-CV,fb-wnh-count-MOE,fb-wnh-fraction,fb-wnh-fraction-CV,fb-wnh-fraction-MOE,fb-wnh-fraction-denom,lep-anh-count,lep-anh-count-CV,lep-anh-count-MOE,lep-anh-fraction,lep-anh-fraction-CV,lep-anh-fraction-MOE,lep-anh-fraction-denom,lep-bnh-count,lep-bnh-count-CV,lep-bnh-count-MOE,lep-bnh-fraction,lep-bnh-fraction-CV,lep-bnh-fraction-MOE,lep-bnh-fraction-denom,lep-count,lep-count-CV,lep-count-MOE,lep-fraction,lep-fraction-CV,lep-fraction-MOE,lep-fraction-denom,lep-hsp-count,lep-hsp-count-CV,lep-hsp-count-MOE,lep-hsp-fraction,lep-hsp-fraction-CV,lep-hsp-fraction-MOE,lep-hsp-fraction-denom,lep-onh-count,lep-onh-count-CV,lep-onh-count-MOE,lep-onh-fraction,lep-onh-fraction-CV,lep-onh-fraction-MOE,lep-onh-fraction-denom,lep-wnh-count,lep-wnh-count-CV,lep-wnh-count-MOE,lep-wnh-fraction,lep-wnh-fraction-CV,lep-wnh-fraction-MOE,lep-wnh-fraction-denom,total_pop-anh-count,total_pop-anh-count-CV,total_pop-anh-count-MOE,total_pop-anh-fraction,total_pop-anh-fraction-CV,total_pop-anh-fraction-MOE,total_pop-anh-fraction-denom,total_pop-bnh-count,total_pop-bnh-count-CV,total_pop-bnh-count-MOE,total_pop-bnh-fraction,total_pop-bnh-fraction-CV,total_pop-bnh-fraction-MOE,total_pop-bnh-fraction-denom,total_pop-count,total_pop-count-CV,total_pop-count-MOE,total_pop-fraction,total_pop-fraction-CV,total_pop-fraction-MOE,total_pop-fraction-denom,total_pop-hsp-count,total_pop-hsp-count-CV,total_pop-hsp-count-MOE,total_pop-hsp-fraction,total_pop-hsp-fraction-CV,total_pop-hsp-fraction-MOE,total_pop-hsp-fraction-denom,total_pop-onh-count,total_pop-onh-count-CV,total_pop-onh-count-MOE,total_pop-onh-fraction,total_pop-onh-fraction-CV,total_pop-onh-fraction-MOE,total_pop-onh-fraction-denom,total_pop-wnh-count,total_pop-wnh-count-CV,total_pop-wnh-count-MOE,total_pop-wnh-fraction,total_pop-wnh-fraction-CV,total_pop-wnh-fraction-MOE,total_pop-wnh-fraction-denom
BX,36011.0,0.014206024862187689,655.6073857703027,0.6934126663200663,0.00851988307921284,0.007571143729568494,51933.0,277731.0,0.004361263972356632,1552.2898480078386,0.6630972760416294,0.003002404600550421,0.0025514234702210216,418839.0,935184.0,0.0015015668501017116,1799.6076276330143,0.6518233522917364,0.0010265450345377496,0.0008575195057707227,1434720.0,525809.0,0.0015110953796844623,1018.2536572384266,0.6544430545961454,0.00115555298517868,0.0009691652020235226,803445.0,18204.0,0.06010384694787676,1402.1845652703473,0.6346616462713105,0.028926626035015904,0.023527518330980192,28683.0,77429.0,0.00838288865312474,831.8278055933698,0.587384311940525,0.004878024078923455,0.0036719974277337635,131820.0,6345.0,0.029093215406390552,236.5698717387378,0.12217665068453584,0.029043625326555328,0.004547525325856647,51933.0,53086.0,0.010700826227031307,728.0033868171856,0.12674559914430128,0.009590653247753354,0.0015578195991784263,418839.0,179860.0,0.003922292927771589,904.0879886899394,0.1253624400579904,0.003431719828084269,0.0005513347242988072,1434720.0,81225.0,0.004423985834721398,460.51049611097955,0.10109590575583892,0.003988103521744067,0.0005166971620081196,803445.0,3127.0,0.16727216001099274,670.3284187161765,0.10901927971272182,0.14855043091546058,0.02075454944195024,28683.0,36077.0,0.01278106786933283,590.9267403522801,0.27368381125777574,0.009443085708120058,0.0033120670954276906,131820.0,9577.0,0.03934944919461599,482.95229089027765,0.18441068299539792,0.03128837556465395,0.007394438100498253,51933.0,88022.0,0.008027497389724927,905.5396908948699,0.21015712481406937,0.007184375999376718,0.0019349478164533134,418839.0,319676.0,0.0025833429009158755,1058.347221849288,0.2228142076502732,0.0026438993540046926,0.0007549598994633324,1434720.0,196411.0,0.0030002899065725507,755.2054462429579,0.24446103964801574,0.002988230784322871,0.0009361811133783398,803445.0,7352.0,0.09143411004064701,861.4891775244816,0.25631907401596765,0.06568835463253674,0.021577712123911408,28683.0,18314.0,0.013912933313327902,326.54121086350403,0.1389318768016993,0.014026629632149144,0.002497418461513658,131820.0,36133.0,0.020891230770545964,967.395656208801,0.6957618469951669,0.01696991969646479,0.015131308388917379,51933.0,131424.0,0.019237211421884035,3240.0587471377794,0.31378166789625606,0.01879991377994071,0.007559960217907674,418839.0,509508.0,0.009041767848045777,5903.919741949938,0.35512713282034125,0.00901725843496904,0.004103878148064534,1434720.0,304148.0,0.011922267386177559,4647.077423877716,0.37855484818500335,0.011744002500183207,0.005697456698030638,803445.0,8965.0,0.09547130581976829,1096.8803138908754,0.31255447477599974,0.06498946976684034,0.026031836036228537,28683.0,28838.0,0.03984741483396221,1472.6562133058467,0.21876801699286907,0.038301415030245665,0.01073828026720556,131820.0,21682.0,0.040412448228908736,1122.9245761535692,0.4433402854455486,0.03748863347964745,0.021299670841796087,48906.0,23635.0,0.04894529317489447,1482.5270505243818,0.060495998075185506,0.048675309293872066,0.0037737354494051397,390687.0,350475.0,0.009930123349339915,4460.132626973234,0.2635293038420125,0.00998744010754728,0.0033730221118953184,1329928.0,286344.0,0.011442211723526814,4198.886665223038,0.38728106360820697,0.011398536981956744,0.005657329322379657,739370.0,3054.0,0.14292927663412894,559.4049615624374,0.1191665366005931,0.11914314314572785,0.018195309867119584,25628.0,15760.0,0.05329321706527895,1076.3765708235633,0.12574100225791265,0.0524446481478606,0.008451118265061595,125337.0,51933.0,0.013948047182749104,928.3097340796635,1.0,0.0,0.0,51933.0,418839.0,0.0034875179221780417,1871.9732893379207,1.0,0.0,0.0,418839.0,1434720.0,0.0010790654110643672,1984.0426766342796,1.0,0.0,0.0,1434720.0,803445.0,0.0010043594887469897,1034.1449721855954,1.0,0.0,0.0,803445.0,28683.0,0.05879295746735764,2161.1552463541525,1.0,0.0,0.0,28683.0,131820.0,0.006868988093969114,1160.4065095702047,1.0,0.0,0.0,131820.0
BK,214873.0,0.004585340172314213,1262.668926988222,0.7026608981716749,0.003092194889486345,0.0027845096675505783,305799.0,518079.0,0.0030764217997338787,2042.5747288500097,0.6669554649824533,0.0016488560224686363,0.001409339602628077,776782.0,1703584.0,0.0010739559081963043,2344.6935545809415,0.6577562178739479,0.0006302780841690231,0.0005312919724168682,2589993.0,327094.0,0.002768882664405921,1160.6819094706966,0.6626339320985278,0.0014821858722339136,0.0012586715802585815,493627.0,43235.0,0.0321300281530789,1780.2568065164592,0.6014383885596639,0.015872901089767584,0.012234424360358624,71886.0,600303.0,0.001377485381593626,1059.7260198974982,0.6373326651796,0.0009679173308745968,0.0007905703631909328,941899.0,35545.0,0.009912653566059538,451.54863366944556,0.11623648213368912,0.009593138527775163,0.001429023132457265,305799.0,113876.0,0.004417962242407714,644.7484238661914,0.14659968948817043,0.004494775602330002,0.0008444562430397,776782.0,351603.0,0.0021317971187146266,960.5821859389334,0.13575442095789447,0.0019153366215942764,0.00033322316088252904,2589993.0,51629.0,0.004050099613431173,267.9757553440478,0.10459111839506348,0.0042026959491013715,0.0005633247904723325,493627.0,4547.0,0.07493699916581975,436.67400323588225,0.06325292824750299,0.0722444650701802,0.005856272824339796,71886.0,146006.0,0.003456616025444828,646.782004108798,0.15501237393818232,0.002867829547479755,0.0005697125517562797,941899.0,55381.0,0.016006228870750552,1136.0198014490777,0.181102619694636,0.012101388071879007,0.0028086395449645877,305799.0,144827.0,0.0061025911531802715,1132.6608648567378,0.18644484552937632,0.005650738100157211,0.0013501799234487827,776782.0,534806.0,0.0016336001375239241,1119.6392580330867,0.2064893611681576,0.0017174887006502855,0.00045449347718563924,2589993.0,114904.0,0.0035662248281034255,525.1458674299886,0.23277494950640867,0.003618283517718816,0.00107938137632136,493627.0,24104.0,0.04540461610294972,1402.5721535048503,0.3353086831928331,0.027814819070083947,0.011952455209396827,71886.0,195590.0,0.0029981110096606845,751.502520307178,0.20765496088221774,0.0026410362319541146,0.000702833988766325,941899.0,209204.0,0.008091599301772326,2169.404005923298,0.684122577248454,0.006459929209336925,0.0056636677400458335,305799.0,280152.0,0.010973696807529555,3939.8779610455317,0.3606571727975159,0.010605315765080763,0.004901785053573412,776782.0,937605.0,0.005424585947578332,6518.123648297783,0.3620106309167631,0.005465777887668015,0.0025357672537370504,2589993.0,179175.0,0.014263672380842465,3275.2530044872897,0.3629764984492339,0.014096112203016452,0.006557132209219133,493627.0,23034.0,0.05635442049379169,1663.5407208685933,0.3204240046740673,0.040828836694803,0.016765948798020076,71886.0,246040.0,0.01004227983069335,3166.4608498884054,0.26121696699964647,0.010053787772840592,0.0033656362869510475,941899.0,156271.0,0.010199558161078887,2042.6588291408525,0.5468093370237275,0.009554735300066982,0.006695617985838831,285787.0,38157.0,0.04178061794214945,2043.0790312252425,0.05219136148642179,0.041849262220566834,0.0027991264476647545,731098.0,527342.0,0.007384009291877443,4990.231370161201,0.21979140443565665,0.0074991098988384285,0.002112304419987212,2399284.0,157700.0,0.015252850268522468,3082.611439979298,0.3467847098069484,0.01562979093658389,0.0069462305712057,454749.0,10020.0,0.09065384849267505,1164.0993662134758,0.164426721803771,0.0792103199183218,0.016691303388242533,60939.0,165194.0,0.012858418869802412,2722.1868004544863,0.1905987116812871,0.01277323256341995,0.0031200163203637297,866711.0,305799.0,0.005348301510291143,2095.9843181376814,1.0,0.0,0.0,305799.0,776782.0,0.0023211062713090094,2310.629234402035,1.0,0.0,0.0,776782.0,2589993.0,0.0007471587622259779,2479.9765242749954,1.0,0.0,0.0,2589993.0,493627.0,0.00184532213848043,1167.3663863464674,1.0,0.0,0.0,493627.0,71886.0,0.03047829494798538,2807.831691858842,1.0,0.0,0.0,71886.0,941899.0,0.001268093475279732,1530.7056643035103,1.0,0.0,0.0,941899.0
QN,405649.0,0.003292426277432425,1711.6010900835347,0.6975883143996066,0.0014921272798693352,0.0013339549190824998,581502.0,264102.0,0.004871623370583242,1648.8512612599052,0.6702041810679538,0.0023692742898843645,0.0020349725721308916,394062.0,1523805.0,0.0007677045205050514,1499.200014195092,0.666143097454693,0.0005396433711919646,0.00046069178103965043,2287504.0,432293.0,0.0013340365316269044,739.0639371447048,0.6739466976388878,0.0010109379950208317,0.0008731445638105971,641435.0,64298.0,0.030575259042244427,2519.438113706854,0.6584132055378061,0.011280990189423547,0.00951879206287075,97656.0,357463.0,0.0022798177371080065,1044.4010734299577,0.6240091193316214,0.0013164768128369152,0.0010527863279130437,572849.0,79891.0,0.004285546340523412,438.7732455531485,0.13738731767044654,0.004951080614508349,0.0008717314762727829,581502.0,60751.0,0.0077414048546358485,602.7112488011293,0.15416609569052586,0.008073789227473096,0.0015951530808761055,394062.0,350693.0,0.001996423626130886,897.2549924831187,0.15330814722072617,0.0017133743290150367,0.00033663058846862147,2287504.0,65528.0,0.0033259378665550176,279.3039837307252,0.10215844161918199,0.0030313180774807374,0.00039686413612719955,641435.0,8911.0,0.05064252576150523,578.3328838277297,0.0912488735971164,0.0509941671226304,0.005963264879963248,97656.0,135612.0,0.0034107802988691325,592.7723698745239,0.2367325420835159,0.0028534624233880115,0.0008656975829598824,572849.0,95962.0,0.009412911647943207,1157.602240237411,0.16502436792994693,0.007299653112822336,0.0015437834684267305,581502.0,69209.0,0.010159058361753369,901.0566888534399,0.17562972324152037,0.008173904751914922,0.0018397706030491923,394062.0,413006.0,0.0016607799552632956,879.0317079000232,0.18054875532458084,0.0017090567308198717,0.00039544588745527823,2287504.0,143614.0,0.0029682937599852916,546.3107458703496,0.2238948607419302,0.0030022839207681042,0.0008614537597058463,641435.0,24447.0,0.044286788043354126,1387.5091049374632,0.2503379208650774,0.029944276910733574,0.009606751497314044,97656.0,79774.0,0.004967820167731959,507.8825840608685,0.13925833858486267,0.004722788038210143,0.0008428605935263118,572849.0,427586.0,0.004715292035201526,2583.8551163826096,0.7353130341770105,0.004006045862988209,0.003775063548480601,581502.0,135457.0,0.015485297206330288,2688.172188032068,0.3437454004699768,0.014856559538580467,0.006544722380241839,394062.0,1081926.0,0.0036856989890631372,5110.383668359028,0.4729722876987319,0.003709313893142929,0.0022483574983718805,2287504.0,315977.0,0.008960936010301197,3628.648767251716,0.4926095395480446,0.008904945403754444,0.0056217323426051066,641435.0,47563.0,0.03539993839520465,2157.783318679099,0.4870463668386991,0.020672242024406765,0.012903097366682034,97656.0,155343.0,0.015073253523609,3000.7842889262292,0.27117617382591225,0.014894998910088865,0.005176403116541134,572849.0,277537.0,0.010214233931534932,3632.978059805745,0.5062686861206017,0.009537406882388591,0.006187959497137642,548201.0,16619.0,0.06052923882795154,1289.158112442502,0.044619197074608756,0.060116102622371104,0.0034375470690068254,372463.0,622117.0,0.006933360502332213,5527.795100590574,0.29005530528873724,0.006930760769730845,0.002576308149926212,2144822.0,251260.0,0.010973566436418256,3533.5174325200855,0.4248943513706842,0.011051506317586121,0.006017810660260429,591347.0,6701.0,0.09290130994013482,797.8064464251852,0.07564998475936735,0.0891466577734741,0.008642711096509156,88579.0,70000.0,0.02501796486924905,2244.3268431448155,0.12862161725146629,0.0246302994224961,0.004059941192232816,544232.0,581502.0,0.003316071485173646,2471.2187042417445,1.0,0.0,0.0,581502.0,394062.0,0.004215196997056777,2128.719893922123,1.0,0.0,0.0,394062.0,2287504.0,0.0005747351606670187,1684.8673502299944,1.0,0.0,0.0,2287504.0,641435.0,0.0008103895385951052,666.1661562420236,1.0,0.0,0.0,641435.0,97656.0,0.028214810279997574,3531.117355421387,1.0,0.0,0.0,97656.0,572849.0,0.0018218448911592106,1337.48106979667,1.0,0.0,0.0,572849.0
SI,29721.0,0.00966243134336394,368.0322902314578,0.6848472279828564,0.006807442125346144,0.005974667560928979,43398.0,30052.0,0.012238624808149471,471.348453786624,0.6792947558770344,0.009432755953929704,0.008211697560784157,44240.0,307579.0,0.002165675898035464,853.6625499104583,0.6477351938389354,0.0014758341209984251,0.0012250988351795303,474853.0,57778.0,0.003948974430371672,292.40373229652243,0.6582887091261251,0.0029133842485110895,0.0024578210506686917,87770.0,5321.0,0.08446246091851349,575.9609977847315,0.5526015162529858,0.05064194987256494,0.0358639876853753,9629.0,184707.0,0.0027285432909988708,645.8776980582394,0.6373250614182792,0.0019655464958780425,0.0016053894465527549,289816.0,6362.0,0.014985794792156093,122.18264755811458,0.1465966173556385,0.01680242869630235,0.0031566911730964414,43398.0,4437.0,0.028905374278323865,164.36301962315414,0.10029385171790235,0.027526243240086536,0.0035379960131803195,44240.0,75418.0,0.005446637157751816,526.428679420632,0.1588238886560683,0.00463072564648489,0.0009425425434121629,474853.0,6315.0,0.014661564951918522,118.65601783279163,0.07194941323914777,0.013424930820454503,0.0012378710278161923,87770.0,471.0,0.2369338999128403,143.01585788139133,0.048914736732786374,0.22650445181180273,0.014198829629377274,9629.0,57833.0,0.006082737498773627,450.8280002576644,0.19955074944102466,0.00465620929467724,0.0011907537067231248,289816.0,7315.0,0.04127391614906368,386.9243783338754,0.16855615466150514,0.032218664876496036,0.006959663468718945,43398.0,9751.0,0.036590962212118015,457.25564105520846,0.2204113924050633,0.028233676336882424,0.007975126039569845,44240.0,91856.0,0.004276985958657251,503.4790910645489,0.19344091750499628,0.004777005888443768,0.001184241307237163,474853.0,23677.0,0.006925204164736009,210.13352272159423,0.26976187763472714,0.007162090824792017,0.0024760333241996297,87770.0,3837.0,0.1290352015585159,634.5065201461847,0.39848374701422784,0.07070858558610464,0.03610928158238139,9629.0,47276.0,0.0072409122718340374,438.7024858015724,0.16312418914069618,0.007404058259712458,0.0015478336313415385,289816.0,30163.0,0.020078937867073803,776.1601754046932,0.6950320291257661,0.016738343583472478,0.014909167103087534,43398.0,11683.0,0.07449342055858645,1115.3428272380831,0.2640822784810127,0.0711223131295371,0.02407028412783291,44240.0,111697.0,0.01890131520009136,2705.6375575233365,0.23522437470122332,0.019143136584440414,0.005770739980763126,474853.0,19312.0,0.04746676683417945,1174.7703837224576,0.22002962287797653,0.04769518353527703,0.01344905483225441,87770.0,1657.0,0.15114999017987038,320.9716813484848,0.17208432859071554,0.1261537660622022,0.027821313319012633,9629.0,48882.0,0.035501871456042035,2224.0077657530155,0.16866563612775,0.03545061301261198,0.007662781525623557,289816.0,17056.0,0.04723778874684301,1032.5303651422873,0.4122694641173769,0.04244332508720185,0.022424700646710705,41371.0,585.0,0.20968537824409245,157.20273548490908,0.014089934728678437,0.2094068359995806,0.003781254611838852,41519.0,50172.0,0.028356289938855594,1823.2528764242877,0.11205785590966044,0.02849730618195181,0.004092438885560432,447733.0,13123.0,0.05556562223596255,934.4915880209854,0.1635264797507788,0.05595260221483297,0.011725853462578626,80250.0,486.0,0.26138122061004126,162.79712706370387,0.058533060339636275,0.2338809000864482,0.017544139558856947,8303.0,18922.0,0.05209834848138402,1263.3598769489397,0.06848601107531942,0.05202304522332151,0.00456597708633187,276290.0,43398.0,0.011669115530211382,648.9985710432707,1.0,0.0,0.0,43398.0,44240.0,0.012994688345739748,736.7447876692449,1.0,0.0,0.0,44240.0,474853.0,0.0014346769216660282,873.0706400997213,1.0,0.0,0.0,474853.0,87770.0,0.002501302011191402,281.35090480719475,1.0,0.0,0.0,87770.0,9629.0,0.0864336222924643,1066.596087235117,1.0,0.0,0.0,9629.0,289816.0,0.002223845448509097,825.9676636978033,1.0,0.0,0.0,289816.0
MN,152708.0,0.006483182993099305,1268.7795053934976,0.7746563181656775,0.003820488669184923,0.0037928360383080156,197130.0,139733.0,0.009698133674983907,1736.6937233738931,0.6893246509792315,0.005203478311488805,0.0045967792033394,202710.0,1155077.0,0.0015778594188915684,2335.690683137753,0.7078662289423835,0.0009632251406206247,0.0008738061323210928,1631773.0,284686.0,0.0029265475993326944,1067.7210086057223,0.6756007613044696,0.0019657316469104446,0.001701964296688228,421382.0,27389.0,0.046010191026880226,1614.9768374014664,0.6212207126494137,0.02527588503845781,0.02012279877720776,44089.0,550561.0,0.00213006757568498,1502.9167029799664,0.7183148022993965,0.0010401586236828044,0.0009575257800327273,766462.0,27024.0,0.015005064114817706,519.6651263227054,0.13708720133921778,0.013922196160134273,0.002445911530388535,197130.0,31664.0,0.016435090367075498,666.9203335679923,0.15620344334270633,0.015553074824948424,0.0031134575594044763,202710.0,264112.0,0.0031389547177065797,1062.4518818409827,0.1618558463707881,0.0030254924938900134,0.000627567661599496,1631773.0,61812.0,0.006072917138357727,481.06774268164475,0.1466887527231823,0.005589381099129841,0.001050743285234107,421382.0,3437.0,0.1389833922905532,612.1791377208989,0.07795595273197396,0.12341761031605757,0.012329983692281101,44089.0,140175.0,0.0024786002646247835,445.2594463871419,0.18288577907319606,0.002417964819466083,0.0005667166860582283,766462.0,17398.0,0.030852496257128437,687.900650769746,0.08825648049510475,0.02694335554533722,0.003047434446079639,197130.0,31313.0,0.019396094181136393,778.3502114540702,0.15447190567806227,0.018707133688956,0.003703333636316817,202710.0,212584.0,0.0030894108501541657,841.6709298226051,0.1302779246868284,0.0031777084613056755,0.00053054346267728,1631773.0,74884.0,0.005548612780942667,532.487648027401,0.17771048597234812,0.005447079832149916,0.0012405460216685154,421382.0,13263.0,0.05950894356622328,1011.4865113706685,0.3008233346186123,0.047730909221409025,0.018401249498206138,44089.0,75726.0,0.004963557035329087,481.69719711122184,0.09879941862740749,0.00514760891762805,0.0006517724799269937,766462.0,131726.0,0.012232289865639456,2064.977641028402,0.6682189418150459,0.009987678892600063,0.008553019043144523,197130.0,33842.0,0.04112303746232916,1783.5171590528164,0.1669478565438311,0.040817513797368976,0.008733000423256644,202710.0,467319.0,0.009225102455732583,5524.852938703482,0.28638726097318684,0.009397298391143944,0.003448996856333266,1631773.0,171757.0,0.016535425093022478,3639.7025723849265,0.40760402675007473,0.01638995948812759,0.008561550671309289,421382.0,8395.0,0.08625443100750217,927.9791116742501,0.19041030642563905,0.08272829907568674,0.020187411352819182,44089.0,121599.0,0.019200418935648302,2992.104750317874,0.158649743888151,0.019245315173740764,0.003912915673624404,766462.0,63515.0,0.02744951900248205,2234.329021854164,0.3337624802942722,0.025620387226468092,0.010958706332456804,190300.0,8045.0,0.10913673212573496,1125.2086950593957,0.04181458130844036,0.10856083553246912,0.005817508348678677,192397.0,227892.0,0.014352962134173097,4191.859370663362,0.14672380447127356,0.014484370325708495,0.0027235558471089315,1553204.0,136940.0,0.01756599133108856,3082.7554422043786,0.34519614219237615,0.01738210150965121,0.0076896097688699296,396702.0,1574.0,0.16416924300220978,331.1559855040286,0.040764529161918577,0.169219348219802,0.008840331158034264,38612.0,17818.0,0.06491062473080664,1482.2137204769272,0.024235812908991246,0.06494313062538581,0.0020170975272698786,735193.0,197130.0,0.006745776393949055,1704.2007366392088,1.0,0.0,0.0,197130.0,202710.0,0.00738857573496294,1919.4287186260972,1.0,0.0,0.0,202710.0,1631773.0,0.0010709423470791075,2239.555967139792,1.0,0.0,0.0,1631773.0,421382.0,0.002049023176590806,1106.519154799029,1.0,0.0,0.0,421382.0,44089.0,0.040031683225578395,2261.8832549030344,1.0,0.0,0.0,44089.0,766462.0,0.0015337512029657302,1506.543340112507,1.0,0.0,0.0,766462.0
