borough,total_pop,total_pop_pct,pop_hsp,pop_hsp_pct,pop_wnh,pop_wnh_pct,pop_bnh,pop_bnh_pct,pop_anh,pop_anh_pct,pop_onh,pop_onh_pct
BX,1385108,100,741413,53.5,151209,10.9,416695,30.1,47335,3.4,28456,2.1
BK,2504700,100,496285,19.8,893306,35.7,799066,31.9,260129,10.4,55914,2.2
MN,1585873,100,403577,25.4,761493,48.0,205340,12.9,177624,11.2,37839,2.4
QN,2230722,100,613750,27.5,616727,27.6,395881,17.7,508334,22.8,96030,4.3
SI,468730,100,81051,17.3,300169,64.0,44313,9.5,34697,7.4,8500,1.8
