borough,total_pop,total_pop_pct,pop_hsp,pop_hsp_pct,pop_wnh,pop_wnh_pct,pop_bnh,pop_bnh_pct,pop_anh,pop_anh_pct,pop_onh,pop_onh_pct
BX,1472654,100,806463,54.8,130796,8.9,419393,28.5,67766,4.6,48236,3.3
BK,2736074,100,516426,18.9,968427,35.4,729696,26.7,370776,13.6,150749,5.5
MN,1694251,100,402640,23.8,793294,46.8,199592,11.8,219624,13.0,79101,4.7
QN,2405464,100,667861,27.8,549358,22.8,381375,15.9,656583,27.3,150287,6.2
SI,495747,100,96960,19.6,277981,56.1,46835,9.4,58753,11.9,15218,3.1
