puma,fraction_area_historic,total_area_historic
03701,0.05619868093458669,0.1974091022009598
03702,0.0,0.0
03703,0.0,0.0
03704,0.0,0.0
03705,0.0026361374991321915,0.011581873045628523
03706,0.0005783063984089733,0.0009103882276795194
03707,0.0022728108522889075,0.0034470025514145445
03708,0.07365812834950007,0.14764448708343572
03709,0.0,0.0
03710,0.009065684842305879,0.04479785251790284
03801,0.011299433884592489,0.032930548565734276
03802,0.0887153385612672,0.14925609370383516
03803,0.08780741881442286,0.12549476466784873
03804,0.0023419281255612832,0.005427752865106384
03805,0.20598572102694118,0.40802148413449957
03806,0.2094526335901279,0.6648914892357807
03807,0.07328184496847648,0.2250684885232129
03808,0.03730063448991691,0.06014474742639196
03809,0.029783412459628608,0.052022554671986715
03810,0.37888479215889104,1.1011752099448153
03901,0.0,0.0
03902,0.02256126059650072,0.5466499423931366
03903,0.004844222367270141,0.06541774799929746
04001,0.012537445553584032,0.05167573400847276
04002,0.0,0.0
04003,0.07913651455679258,0.18177675803413046
04004,0.2190216171100758,0.6810022376210757
04005,0.10944686234932223,0.4495683233230395
04006,0.1930238196994379,0.4283117526842336
04007,0.0,0.0
04008,0.0,0.0
04009,0.0,0.0
04010,0.0016944806041489062,0.005222086160568003
04011,0.05828110295305023,0.09954751014385574
04012,0.013549858185299584,0.054537030858931884
04013,0.0013921183122984511,0.005348762017861572
04014,0.0,0.0
04015,0.06820315687488396,0.1982746339161185
04016,0.0,0.0
04017,0.0,0.0
04018,0.0,0.0
04101,0.0,0.0
04102,0.046892023288927435,0.1970582280587831
04103,0.01226596719929113,0.14513831239920477
04104,0.03683168421485327,0.3435635357779675
04105,0.0,0.0
04106,0.0,0.0
04107,0.0,0.0
04108,0.0,0.0
04109,0.014740653379250696,0.08832765932699739
04110,0.019117208184055434,0.14060841474641525
04111,0.0,0.0
04112,0.013356700749365772,0.12459103604560602
04113,0.0,0.0
04114,0.0,0.0
