puma,per_pop_ada_subway_access
03701,0.1364731750219877
03702,0.12788062592042176
03703,0.02937732664712485
03704,0.11875628111790473
03705,0.012402055775549752
03706,0.27334769047972673
03707,0.022353142563692904
03708,0.0336420584436663
03709,0.0010110257132509759
03710,0.1344250788099849
03801,0.2982997881355932
03802,0.05913936168537734
03803,0.13801205358474805
03804,0.07219406760927766
03805,0.35570709922709853
03806,0.3203580710366734
03807,0.4112164211438475
03808,0.1819408077441879
03809,0.0640842197555971
03810,0.43862047025138595
03901,0.025026138546453667
03902,0.0152356331581624
03903,0.007365695997637916
04001,0.14853552923550142
04002,0.116023350795286
04003,0.003367354929650996
04004,0.15048992905381015
04005,0.026154779443625965
04006,0.3084618288468798
04007,0.0
04008,0.03306944583625614
04009,0.019749515943236685
04010,0.05939272839057653
04011,0.13194620425008147
04012,0.04290903002279723
04013,0.05452783848944368
04014,0.053171182091615074
04015,0.08661577169854266
04016,0.04339696093635325
04017,0.057997149002402694
04018,0.038833011390128555
04101,0.08520410629965673
04102,0.10232154137713202
04103,0.028106891078876463
04104,0.0
04105,5.012280086211217e-06
04106,0.03077417906190641
04107,0.05246931723917204
04108,0.09877533289893572
04109,0.17030212206989695
04110,0.02730801838382937
04111,0.032124891358740026
04112,0.04309905374836716
04113,0.07063308226848088
04114,0.06395297338647984
