job_type,boro,classa_net,2010 DCP Borough Code,total_housing_units_2010,net_change_pct_2010_census_housing_stock
Alteration_Decrease,1,-6291.0,1,847090.0,-0.74
Alteration_Decrease,2,-296.0,2,511896.0,-0.06
Alteration_Decrease,3,-2522.0,3,1000293.0,-0.25
Alteration_Decrease,4,-605.0,4,835127.0,-0.07
Alteration_Decrease,5,-97.0,5,176656.0,-0.05
Alteration_Increase,1,13235.0,1,847090.0,1.56
Alteration_Increase,2,1069.0,2,511896.0,0.21
Alteration_Increase,3,11389.0,3,1000293.0,1.14
Alteration_Increase,4,5574.0,4,835127.0,0.67
Alteration_Increase,5,258.0,5,176656.0,0.15
Demolition,1,-5624.0,1,847090.0,-0.66
Demolition,2,-2231.0,2,511896.0,-0.44
Demolition,3,-8000.0,3,1000293.0,-0.8
Demolition,4,-6098.0,4,835127.0,-0.73
Demolition,5,-2802.0,5,176656.0,-1.59
New Building,1,96860.0,1,847090.0,11.43
New Building,2,53037.0,2,511896.0,10.36
New Building,3,114197.0,3,1000293.0,11.42
New Building,4,69825.0,4,835127.0,8.36
New Building,5,14638.0,5,176656.0,8.29
All,1,98180.0,1,847090.0,11.59
All,2,51579.0,2,511896.0,10.08
All,3,115064.0,3,1000293.0,11.5
All,4,68696.0,4,835127.0,8.23
All,5,11997.0,5,176656.0,6.79
