job_type,classa_net,total_housing_units_2010,net_change_pct_2010_census_housing_stock
Alteration_Decrease,-9811.0,3371062.0,-0.29
Alteration_Increase,31525.0,3371062.0,0.94
Demolition,-24755.0,3371062.0,-0.73
New Building,348557.0,3371062.0,10.34
