,puma,total_pop_20,total_pop_20_pct,total_pop_20_hsp,total_pop_20_hsp_pct,total_pop_20_wnh,total_pop_20_wnh_pct,total_pop_20_bnh,total_pop_20_bnh_pct,total_pop_20_anh,total_pop_20_anh_pct,total_pop_20_onh,total_pop_20_onh_pct,total_pop_10,total_pop_10_pct,total_pop_10_hsp,total_pop_10_hsp_pct,total_pop_10_wnh,total_pop_10_wnh_pct,total_pop_10_bnh,total_pop_10_bnh_pct,total_pop_10_anh,total_pop_10_anh_pct,total_pop_10_onh,total_pop_10_onh_pct,total_pop_00,total_pop_00_pct,total_pop_00_hsp,total_pop_00_hsp_pct,total_pop_00_wnh,total_pop_00_wnh_pct,total_pop_00_bnh,total_pop_00_bnh_pct,total_pop_00_anh,total_pop_00_anh_pct,total_pop_00_onh,total_pop_00_onh_pct
10,03801,188800,100,123252,65.3,38769,20.5,14819,7.8,5881,3.1,6079,3.2,198483,100,140881,71.0,33910,17.1,15836,8.0,4888,2.5,2968,1.5,216234,100,159456,73.7,28729,13.3,19501,9.0,4389,2.0,4159,1.9
11,03802,127022,100,47388,37.3,35216,27.7,25070,19.7,12927,10.2,6421,5.1,127399,100,52892,41.5,32747,25.7,29183,22.9,9025,7.1,3552,2.8,129535,100,55251,42.7,26252,20.3,37707,29.1,6742,5.2,3583,2.8
12,03803,134068,100,31774,23.7,20391,15.2,69411,51.8,5163,3.9,7329,5.5,118665,100,26333,22.2,11322,9.5,74735,63.0,2839,2.4,3436,2.9,109091,100,18351,16.8,2255,2.1,84279,77.3,912,0.8,3294,3.0
13,03804,122143,100,55873,45.7,18252,14.9,33510,27.4,9710,7.9,4798,3.9,117569,100,58649,49.9,14170,12.1,35713,30.4,6602,5.6,2435,2.1,115433,100,60995,52.8,8481,7.3,40252,34.9,3155,2.7,2550,2.2
14,03805,231983,100,18517,8.0,170406,73.5,6257,2.7,26536,11.4,10267,4.4,219920,100,15563,7.1,173711,79.0,7098,3.2,18847,8.6,4701,2.1,217063,100,13026,6.0,179355,82.6,6907,3.2,13702,6.3,4073,1.9
15,03806,207780,100,28256,13.6,134292,64.6,13328,6.4,21118,10.2,10786,5.2,193892,100,25788,13.3,134737,69.5,13872,7.2,14804,7.6,4691,2.4,192211,100,27930,14.5,132645,69.0,16299,8.5,10704,5.6,4633,2.4
16,03807,184576,100,30141,16.3,98956,53.6,13355,7.2,33055,17.9,9069,4.9,144664,100,21444,14.8,89903,62.1,8196,5.7,21095,14.6,4026,2.8,122241,100,20572,16.8,77670,63.5,8057,6.6,12036,9.8,3906,3.2
17,03808,163839,100,14538,8.9,106664,65.1,5820,3.6,28856,17.6,7961,4.9,151010,100,11393,7.5,109516,72.5,5168,3.4,21290,14.1,3643,2.4,143441,100,9976,7.0,109366,76.2,5449,3.8,15411,10.7,3239,2.3
18,03809,164237,100,38986,23.7,55276,33.7,13191,8.0,50307,30.6,6477,3.9,164937,100,40753,24.7,53158,32.2,11959,7.3,55285,33.5,3782,2.3,166379,100,44911,27.0,46676,28.1,12411,7.5,57974,34.8,4407,2.6
19,03810,169803,100,13915,8.2,115072,67.8,4831,2.8,26071,15.4,9914,5.8,149334,100,9881,6.6,108319,72.5,3580,2.4,22949,15.4,4605,3.1,125567,100,7348,5.9,92444,73.6,3836,3.1,18266,14.5,3673,2.9
20,03901,164398,100,17585,10.7,128967,78.4,1789,1.1,12187,7.4,3870,2.4,159853,100,13331,8.3,136590,85.4,1666,1.0,6597,4.1,1669,1.0,152551,100,8927,5.9,135935,89.1,1317,0.9,4994,3.3,1378,0.9
21,03902,141686,100,20420,14.4,86454,61.0,4953,3.5,25934,18.3,3925,2.8,133121,100,17665,13.3,94054,70.7,4027,3.0,14989,11.3,2386,1.8,128568,100,12431,9.7,99117,77.1,3198,2.5,11296,8.8,2526,2.0
22,03903,189663,100,58955,31.1,62560,33.0,40093,21.1,20632,10.9,7423,3.9,175756,100,50055,28.5,69525,39.6,38620,22.0,13111,7.5,4445,2.5,162609,100,32192,19.8,81264,50.0,35189,21.6,8496,5.2,5468,3.4
23,04001,176207,100,36888,20.9,110033,62.4,7656,4.3,12903,7.3,8727,5.0,147577,100,36998,25.1,93731,63.5,5808,3.9,8318,5.6,2722,1.8,142098,100,48458,34.1,74568,52.5,5720,4.0,5553,3.9,7799,5.5
24,04002,136869,100,69634,50.9,31751,23.2,21135,15.4,8034,5.9,6315,4.6,129253,100,83057,64.3,12921,10.0,25816,20.0,5151,4.0,2308,1.8,120710,100,81849,67.8,3785,3.1,28283,23.4,3360,2.8,3433,2.8
25,04003,153236,100,29038,18.9,46671,30.5,61841,40.4,6157,4.0,9529,6.2,134217,100,27478,20.5,20273,15.1,81035,60.4,2494,1.9,2937,2.2,121054,100,22948,19.0,2959,2.4,90679,74.9,1016,0.8,3452,2.9
26,04004,152369,100,21211,13.9,72254,47.4,30774,20.2,18185,11.9,9945,6.5,118579,100,19045,16.1,51663,43.6,34902,29.4,8684,7.3,4285,3.6,115060,100,22156,19.3,35750,31.1,48065,41.8,4867,4.2,4222,3.7
27,04005,115390,100,17893,15.5,72892,63.2,8153,7.1,8740,7.6,7712,6.7,106002,100,18844,17.8,68871,65.0,8907,8.4,5784,5.5,3596,3.4,105601,100,25524,24.2,59143,56.0,11827,11.2,4947,4.7,4160,3.9
28,04006,137748,100,17967,13.0,37494,27.2,65920,47.9,6606,4.8,9761,7.1,123018,100,14326,11.6,19596,15.9,82337,66.9,3242,2.6,3517,2.9,123117,100,12087,9.8,9122,7.4,96192,78.1,1899,1.5,3817,3.1
29,04007,134109,100,30681,22.9,4215,3.1,89395,66.7,1739,1.3,8079,6.0,119578,100,25544,21.4,1188,1.0,89701,75.0,789,0.7,2356,2.0,116790,100,23783,20.4,804,0.7,88673,75.9,655,0.6,2875,2.5
30,04008,169668,100,65370,38.5,5715,3.4,72795,42.9,14441,8.5,11347,6.7,154541,100,59331,38.4,5977,3.9,74645,48.3,8833,5.7,5755,3.7,146857,100,57418,39.1,8745,6.0,67107,45.7,5786,3.9,7801,5.3
31,04009,204005,100,17763,8.7,43035,21.1,120905,59.3,10502,5.1,11800,5.8,193723,100,16277,8.4,50145,25.9,115715,59.7,7296,3.8,4290,2.2,194740,100,15736,8.1,67053,34.4,99231,51.0,7134,3.7,5586,2.9
32,04010,143132,100,11625,8.1,4547,3.2,112665,78.7,2659,1.9,11636,8.1,135648,100,9019,6.6,1816,1.3,120258,88.7,1480,1.1,3075,2.3,145359,100,7824,5.4,2145,1.5,128871,88.7,1445,1.0,5074,3.5
33,04011,110492,100,11363,10.3,27275,24.7,60875,55.1,2942,2.7,8037,7.3,107129,100,10050,9.4,16716,15.6,76499,71.4,1348,1.3,2516,2.3,112670,100,9281,8.2,9711,8.6,89043,79.0,870,0.8,3765,3.3
34,04012,155282,100,57337,36.9,33233,21.4,4631,3.0,55407,35.7,4674,3.0,147374,100,61941,42.0,31940,21.7,4206,2.9,46614,31.6,2673,1.8,139269,100,66719,47.9,32081,23.0,4742,3.4,30342,21.8,5385,3.9
35,04013,133143,100,22843,17.2,68606,51.5,2299,1.7,34879,26.2,4516,3.4,121790,100,17641,14.5,75777,62.2,1679,1.4,24135,19.8,2558,2.1,119871,100,13004,10.8,83290,69.5,1303,1.1,16290,13.6,5984,5.0
36,04014,176543,100,18727,10.6,113794,64.5,3973,2.3,29237,16.6,10812,6.1,163547,100,18117,11.1,116934,71.5,3529,2.2,22280,13.6,2687,1.6,158548,100,17000,10.7,112181,70.8,4412,2.8,17686,11.2,7269,4.6
37,04015,162557,100,23786,14.6,62835,38.7,44568,27.4,21196,13.0,10172,6.3,158639,100,24243,15.3,61512,38.8,53978,34.0,15229,9.6,3677,2.3,166315,100,21500,12.9,62462,37.6,62283,37.4,13242,8.0,6828,4.1
38,04016,156693,100,13910,8.9,98989,63.2,6557,4.2,30486,19.5,6751,4.3,147751,100,11524,7.8,106953,72.4,5225,3.5,21690,14.7,2359,1.6,149351,100,9414,6.3,113197,75.8,4699,3.1,18380,12.3,3661,2.5
39,04017,198527,100,31338,15.8,72103,36.3,2362,1.2,86294,43.5,6430,3.2,181636,100,24177,13.3,90322,49.7,1354,0.7,63052,34.7,2731,1.5,171778,100,15054,8.8,111208,64.7,681,0.4,39676,23.1,5159,3.0
40,04018,120104,100,19052,15.9,62985,52.4,13192,11.0,20369,17.0,4506,3.8,114698,100,18673,16.3,66971,58.4,13472,11.7,13710,12.0,1872,1.6,116138,100,18123,15.6,66328,57.1,16772,14.4,11143,9.6,3772,3.2
41,04101,186153,100,47189,25.3,87922,47.2,12923,6.9,27594,14.8,10525,5.7,174174,100,47318,27.2,83480,47.9,12388,7.1,25197,14.5,5791,3.3,192689,100,52997,27.5,85098,44.2,13649,7.1,25726,13.4,15219,7.9
42,04102,189960,100,123319,64.9,17769,9.4,8450,4.4,35354,18.6,5068,2.7,183339,100,120075,65.5,20588,11.2,10645,5.8,28401,15.5,3630,2.0,181666,100,107147,59.0,25840,14.2,17719,9.8,24690,13.6,6270,3.5
43,04103,270930,100,48989,18.1,55907,20.6,5431,2.0,155516,57.4,5087,1.9,248328,100,41176,16.6,73619,29.6,5522,2.2,123002,49.5,5009,2.0,243691,100,41036,16.8,100325,41.2,6873,2.8,87945,36.1,7512,3.1
44,04104,122328,100,14532,11.9,42040,34.4,2645,2.2,59961,49.0,3150,2.6,116852,100,11825,10.1,54970,47.0,2403,2.1,45739,39.1,1915,1.6,116864,100,10448,8.9,70506,60.3,2298,2.0,30841,26.4,2771,2.4
45,04105,199556,100,24877,12.5,18150,9.1,104052,52.1,36304,18.2,16173,8.1,188688,100,22215,11.8,24540,13.0,105227,55.8,27086,14.4,9620,5.1,196365,100,20229,10.3,36018,18.3,109440,55.7,19663,10.0,11015,5.6
46,04106,164781,100,30407,18.5,44366,26.9,19734,12.0,60943,37.0,9331,5.7,154017,100,26639,17.3,52792,34.3,20126,13.1,47348,30.7,7112,4.6,149895,100,24555,16.4,58353,38.9,21879,14.6,35440,23.6,9668,6.4
47,04107,153099,100,80816,52.8,8098,5.3,7387,4.8,53298,34.8,3500,2.3,146141,100,77290,52.9,10735,7.3,9001,6.2,46051,31.5,3064,2.1,141652,100,69663,49.2,15735,11.1,11555,8.2,40067,28.3,4632,3.3
48,04108,119706,100,19594,16.4,52579,43.9,3442,2.9,37141,31.0,6950,5.8,111988,100,15092,13.5,61890,55.3,2784,2.5,29199,26.1,3023,2.7,114450,100,12890,11.3,70702,61.8,2485,2.2,24407,21.3,3966,3.5
49,04109,162153,100,45635,28.1,42826,26.4,4515,2.8,62997,38.9,6180,3.8,133918,100,43906,32.8,36150,27.0,2412,1.8,47690,35.6,3760,2.8,130166,100,44960,34.5,38380,29.5,2481,1.9,38933,29.9,5412,4.2
50,04110,179263,100,64516,36.0,86272,48.1,3932,2.2,19321,10.8,5222,2.9,170331,100,58967,34.6,93532,54.9,2373,1.4,13081,7.7,2378,1.4,167078,100,46925,28.1,104004,62.2,1682,1.0,10508,6.3,3959,2.4
51,04111,151876,100,63532,41.8,22986,15.1,10158,6.7,38163,25.1,17037,11.2,143047,100,58620,41.0,28439,19.9,11933,8.3,30745,21.5,13310,9.3,141053,100,50524,35.8,40288,28.6,9670,6.9,22721,16.1,17850,12.7
52,04112,251096,100,45184,18.0,4487,1.8,135797,54.1,37961,15.1,27667,11.0,221519,100,38069,17.2,3740,1.7,145326,65.6,19483,8.8,14901,6.7,218993,100,29817,13.6,4673,2.1,159126,72.7,10254,4.7,15123,6.9
53,04113,130378,100,30678,23.5,25767,19.8,18037,13.8,28477,21.8,27419,21.0,123402,100,28456,23.1,31793,25.8,21078,17.1,22757,18.4,19318,15.7,128079,100,26573,20.7,43151,33.7,21297,16.6,16418,12.8,20640,16.1
54,04114,124185,100,28593,23.0,40189,32.4,44872,36.1,3553,2.9,6978,5.6,114978,100,24102,21.0,40459,35.2,44663,38.8,2555,2.2,3199,2.8,106738,100,18841,17.7,39822,37.3,42677,40.0,1690,1.6,3708,3.5
