puma,pop,pop_pct,pop_hsp,pop_hsp_pct,pop_wnh,pop_wnh_pct,pop_bnh,pop_bnh_pct,pop_anh,pop_anh_pct,pop_onh,pop_onh_pct
03701,108121,100,47390,43.8,39753,36.8,13325,12.3,5585,5.2,2068,1.9
03702,138360,100,30554,22.1,10275,7.4,90547,65.4,2658,1.9,4326,3.1
03703,115014,100,38347,33.3,40619,35.3,30968,26.9,2951,2.6,2129,1.9
03704,123764,100,52434,42.4,31737,25.6,26453,21.4,10175,8.2,2965,2.4
03705,161372,100,98371,61.0,7256,4.5,52250,32.4,1311,0.8,2184,1.4
03706,127405,100,83839,65.8,9024,7.1,23071,18.1,8692,6.8,2779,2.2
03707,134257,100,89639,66.8,1873,1.4,38579,28.7,1940,1.4,2226,1.7
03708,139293,100,87430,62.8,2097,1.5,45573,32.7,2012,1.4,2181,1.6
03709,181404,100,104831,57.8,5631,3.1,54094,29.8,11129,6.1,5719,3.2
03710,156118,100,108578,69.5,2944,1.9,41835,26.8,882,0.6,1879,1.2
03801,198483,100,140881,71.0,33910,17.1,15836,8.0,4888,2.5,2968,1.5
03802,127399,100,52892,41.5,32747,25.7,29183,22.9,9025,7.1,3552,2.8
03803,118665,100,26333,22.2,11322,9.5,74735,63.0,2839,2.4,3436,2.9
03804,117569,100,58649,49.9,14170,12.1,35713,30.4,6602,5.6,2435,2.1
03805,219920,100,15563,7.1,173711,79.0,7098,3.2,18847,8.6,4701,2.1
03806,193892,100,25788,13.3,134737,69.5,13872,7.2,14804,7.6,4691,2.4
03807,144664,100,21444,14.8,89903,62.1,8196,5.7,21095,14.6,4026,2.8
03808,151010,100,11393,7.5,109516,72.5,5168,3.4,21290,14.1,3643,2.4
03809,164937,100,40753,24.7,53158,32.2,11959,7.3,55285,33.5,3782,2.3
03810,149334,100,9881,6.6,108319,72.5,3580,2.4,22949,15.4,4605,3.1
03901,159853,100,13331,8.3,136590,85.4,1666,1.0,6597,4.1,1669,1.0
03902,133121,100,17665,13.3,94054,70.7,4027,3.0,14989,11.3,2386,1.8
03903,175756,100,50055,28.5,69525,39.6,38620,22.0,13111,7.5,4445,2.5
04001,147577,100,36998,25.1,93731,63.5,5808,3.9,8318,5.6,2722,1.8
04002,129253,100,83057,64.3,12921,10.0,25816,20.0,5151,4.0,2308,1.8
04003,134217,100,27478,20.5,20273,15.1,81035,60.4,2494,1.9,2937,2.2
04004,118579,100,19045,16.1,51663,43.6,34902,29.4,8684,7.3,4285,3.6
04005,106002,100,18844,17.8,68871,65.0,8907,8.4,5784,5.5,3596,3.4
04006,123018,100,14326,11.6,19596,15.9,82337,66.9,3242,2.6,3517,2.9
04007,119578,100,25544,21.4,1188,1.0,89701,75.0,789,0.7,2356,2.0
04008,154541,100,59331,38.4,5977,3.9,74645,48.3,8833,5.7,5755,3.7
04009,193723,100,16277,8.4,50145,25.9,115715,59.7,7296,3.8,4290,2.2
04010,135648,100,9019,6.6,1816,1.3,120258,88.7,1480,1.1,3075,2.3
04011,107129,100,10050,9.4,16716,15.6,76499,71.4,1348,1.3,2516,2.3
04012,147374,100,61941,42.0,31940,21.7,4206,2.9,46614,31.6,2673,1.8
04013,121790,100,17641,14.5,75777,62.2,1679,1.4,24135,19.8,2558,2.1
04014,163547,100,18117,11.1,116934,71.5,3529,2.2,22280,13.6,2687,1.6
04015,158639,100,24243,15.3,61512,38.8,53978,34.0,15229,9.6,3677,2.3
04016,147751,100,11524,7.8,106953,72.4,5225,3.5,21690,14.7,2359,1.6
04017,181636,100,24177,13.3,90322,49.7,1354,0.7,63052,34.7,2731,1.5
04018,114698,100,18673,16.3,66971,58.4,13472,11.7,13710,12.0,1872,1.6
04101,174174,100,47318,27.2,83480,47.9,12388,7.1,25197,14.5,5791,3.3
04102,183339,100,120075,65.5,20588,11.2,10645,5.8,28401,15.5,3630,2.0
04103,248328,100,41176,16.6,73619,29.6,5522,2.2,123002,49.5,5009,2.0
04104,116852,100,11825,10.1,54970,47.0,2403,2.1,45739,39.1,1915,1.6
04105,188688,100,22215,11.8,24540,13.0,105227,55.8,27086,14.4,9620,5.1
04106,154017,100,26639,17.3,52792,34.3,20126,13.1,47348,30.7,7112,4.6
04107,146141,100,77290,52.9,10735,7.3,9001,6.2,46051,31.5,3064,2.1
04108,111988,100,15092,13.5,61890,55.3,2784,2.5,29199,26.1,3023,2.7
04109,133918,100,43906,32.8,36150,27.0,2412,1.8,47690,35.6,3760,2.8
04110,170331,100,58967,34.6,93532,54.9,2373,1.4,13081,7.7,2378,1.4
04111,143047,100,58620,41.0,28439,19.9,11933,8.3,30745,21.5,13310,9.3
04112,221519,100,38069,17.2,3740,1.7,145326,65.6,19483,8.8,14901,6.7
04113,123402,100,28456,23.1,31793,25.8,21078,17.1,22757,18.4,19318,15.7
04114,114978,100,24102,21.0,40459,35.2,44663,38.8,2555,2.2,3199,2.8
