,puma,age-median,age-median-CV,age-median-MOE,anh-age-median,anh-age-median-CV,anh-age-median-MOE,bnh-age-median,bnh-age-median-CV,bnh-age-median-MOE,hsp-age-median,hsp-age-median-CV,hsp-age-median-MOE,onh-age-median,onh-age-median-CV,onh-age-median-MOE,wnh-age-median,wnh-age-median-CV,wnh-age-median-MOE
0,04015,34.0,0.00653543707155553,0.28476698675938705,32.0,0.04278369240654087,1.7545442554681947,35.0,0.02040408122440816,0.9152108782823811,31.0,0.03224798229537455,1.281151018085046,31.0,0.05768243465241181,2.291613447429896,35.0,0.028248171333264547,1.267052086857105
1,03706,31.0,0.020385846225426673,0.809890907499558,34.0,0.06059376759436794,2.6402372825754687,34.0,0.0377729398207098,1.645870985523389,29.0,0.019487335440443666,0.7242467320178072,31.0,0.1113224591281901,4.422629625056211,45.0,0.07147260547463857,4.1218123247808585
2,04002,29.0,0.0,0.0,34.0,0.03601440263605431,1.5692466787332253,30.0,0.03264923004026623,1.2552501561578693,29.0,0.007662236566651373,0.2847669867593894,33.0,0.136901296946382,5.789720357081829,28.0,0.007935887872603208,0.2847669867593894
3,03709,33.0,0.01915034039358263,0.809890907499558,32.0,0.047777765160689524,1.9593494316769255,37.0,0.028856968248733274,1.3683226349332933,30.0,0.019999999999999973,0.7689309393267592,32.0,0.10137904103382268,4.157519000009784,49.0,0.052605480003962625,3.3034151275098704
4,03701,37.0,0.024135906891205115,1.1444621427037172,43.0,0.09331168946032703,5.142100893594229,39.0,0.04073918421906577,2.036165247283191,31.0,0.026940795304016243,1.0703065703652377,21.0,0.27302942703527566,7.347927082792857,47.0,0.03154035549015657,1.899767821943439
5,04011,33.0,0.028386354538174525,1.200493044250554,39.0,0.06198754408187003,3.098169132333033,37.0,0.029575768416539607,1.4024062757068325,33.0,0.06497509588603503,2.747874883187238,30.0,0.24287628309262493,9.337754424930212,24.0,0.03940475066537027,1.2119812777223975
6,03710,28.0,0.0,0.0,40.0,0.16940959056381663,8.684285040213158,27.0,0.028912027770362978,1.0004108702087962,28.0,0.011151782139997124,0.4001643480835176,24.0,0.15706730687475642,4.830956472509238,31.0,0.133003407277989,5.283972469416061
7,04017,38.0,0.025641020091980337,1.2486909987594421,35.0,0.023861847269271555,1.0703065703652388,34.0,0.08160108470002989,3.5555839268136684,29.0,0.007662236566651373,0.2847669867593894,22.0,0.18746900570273892,5.2855263504875625,47.0,0.02045626013088239,1.2321403532082362
8,04001,30.0,0.007406828681096327,0.2847669867593894,35.0,0.033775972621533916,1.5149977706821423,35.0,0.08310308326999424,3.7275310263185544,34.0,0.009183820585879984,0.4001643480835176,27.0,0.036851386559504436,1.2751277077211982,29.0,0.0,0.0
9,04007,29.0,0.013327262787707161,0.4953076602103018,31.0,0.030217732250314804,1.2004930442505535,30.0,0.01927505584370062,0.7410593397736238,26.0,0.04484316852446546,1.4941896534892354,45.0,0.15697369442279413,9.052644772658319,27.0,0.20491223990552673,7.09035124995482
10,04006,33.0,0.027773186030035403,1.1745614112194587,34.0,0.04096584787407092,1.7849947802138357,38.0,0.025641020091980337,1.2486909987594421,31.0,0.04193548387096777,1.6660170352079817,28.0,0.07231040480357678,2.594746349473253,30.0,0.019999999999999973,0.7689309393267592
11,03707,29.0,0.030344337770341477,1.1277471736748628,33.0,0.08463175784102389,3.5791787379465374,32.0,0.025182439783259708,1.0327230441110113,27.0,0.03646549753243557,1.2617752171785004,28.0,0.1385943234032038,4.973241619723173,40.0,0.08289441703154686,4.249338796867435
12,03704,36.0,0.02405626121623438,1.1098562120213409,34.0,0.02805703533579253,1.222522277010253,37.0,0.037831804538295724,1.7938861083369173,31.0,0.028807372741115757,1.144462142703716,28.0,0.18921621028520222,6.789729254487682,48.0,0.01816207893141948,1.1172307530290515
