,age-median,age-median-CV,age-median-MOE,age-median-SE,anh-age-median,anh-age-median-CV,anh-age-median-MOE,anh-age-median-SE,bnh-age-median,bnh-age-median-CV,bnh-age-median-MOE,bnh-age-median-SE,hsp-age-median,hsp-age-median-CV,hsp-age-median-MOE,hsp-age-median-SE,onh-age-median,onh-age-median-CV,onh-age-median-MOE,onh-age-median-SE,wnh-age-median,wnh-age-median-CV,wnh-age-median-MOE,wnh-age-median-SE
4001,32.0,0.013621559198564583,0.5586153765145246,0.43588989435406666,35.0,0.024233136362410545,1.0869604845156056,0.848159772684369,35.0,0.06087793072189288,2.7306372598315143,2.130727575266251,36.0,0.026498311150470723,1.222522277010253,0.953939201416946,28.0,0.039082265407570135,1.4024062757068303,1.0943034314119637,30.0,0.021065374432940893,0.809890907499558,0.6319612329882268
3701,39.0,0.023631164860470212,1.1810976965805478,0.9216154295583383,41.0,0.08894709307140763,4.6736017414284525,3.646830815927713,42.0,0.034084853100524795,1.8346228677980818,1.4315638302220415,33.0,0.02996018171709876,1.267052086857105,0.9886859966642592,33.0,0.12680288456307684,5.362646362503618,4.1844951905815355,51.0,0.021922235073527335,1.4328182086145007,1.118033988749894
4101,35.0,0.0,0.0,0.0,34.0,0.028047398709942082,1.222102382690116,0.9536115561380308,31.0,0.05965016814589468,2.3697877575434694,1.849155212522735,36.0,0.021505364676669504,0.9921684156837606,0.7741931283601021,29.0,0.04020422005641731,1.4941896534892354,1.165922381636102,35.0,0.006348710298082515,0.28476698675938705,0.222204860432888
3801,36.0,0.015698131327024065,0.7242467320178072,0.5651327277728663,32.0,0.05275607192541919,2.163508050176144,1.688194301613414,41.0,0.06542032222773536,3.437420171144845,2.6822332113371496,36.0,0.014632852434517682,0.6750991780502131,0.5267826876426366,29.0,0.05492942180025517,2.0414517085747246,1.5929532322073998,35.0,0.034963537858629774,1.5682651837896713,1.2237238250520421
3901,41.0,0.02326680979065722,1.222522277010253,0.953939201416946,43.0,0.04044355881264809,2.2287117628394038,1.7390730289438678,40.0,0.1425644043055629,7.308145421149098,5.702576172222515,31.0,0.0431583489040634,1.7145991377339986,1.3379088160259653,28.0,0.2307910503649815,8.281577693449893,6.462149410219482,43.0,0.007261625579533011,0.4001643480835176,0.31224989991991947
