,puma,age-median,age-median-CV,age-median-MOE,anh-age-median,anh-age-median-CV,anh-age-median-MOE,bnh-age-median,bnh-age-median-CV,bnh-age-median-MOE,hsp-age-median,hsp-age-median-CV,hsp-age-median-MOE,onh-age-median,onh-age-median-CV,onh-age-median-MOE,wnh-age-median,wnh-age-median-CV,wnh-age-median-MOE
0,04004,34.0,0.0,0.0,33.0,0.02996018171709876,1.267052086857105,40.0,0.033071891388307344,1.6953333673682507,33.0,0.03765845006556538,1.5926211060377797,24.0,0.05648100713219146,1.737199754731097,33.0,0.02934078292581376,1.2408569676650698
1,04012,35.0,0.027994168488950606,1.2556589658596888,36.0,0.025974450290645875,1.1983535076289544,39.0,0.04689136521250411,2.3436543974457216,32.0,0.029553562999027727,1.2119812777223986,25.0,0.10563616804863755,3.3844549135215987,38.0,0.026109387938137402,1.2715000255261892
2,04017,38.0,0.01487191388875964,0.7242467320178072,40.0,0.009662265521087647,0.49530766021029954,41.0,0.09125993626277905,4.795126881751663,29.0,0.027464710900127583,1.0207258542873623,25.0,0.06473793323855805,2.0741249922998968,44.0,0.01637901739249953,0.9235844367833604
3,04008,34.0,0.011175503054096066,0.4869474367806594,38.0,0.04371412260626377,2.1288322859737057,34.0,0.028817526385684446,1.2556589658596888,32.0,0.02790714234295589,1.144462142703716,30.0,0.12138094304022082,4.666678127414248,55.0,0.02556792929168225,1.802164089631897
4,03706,32.0,0.01187397199497707,0.4869474367806594,38.0,0.0655224845635413,3.190876821489574,40.0,0.06410136016497625,3.2859679389185437,30.0,0.0,0.0,30.0,0.11516895800904378,4.427848753158912,40.0,0.07043392293490405,3.610588168186961
5,04011,35.0,0.0210805065191053,0.9455514646211393,30.0,0.02933285984466343,1.1277471736748628,41.0,0.02487326591996478,1.3069312880774586,34.0,0.029374976993291432,1.2799486236220345,31.0,0.08773659850941387,3.4856082304342193,28.0,0.007935887872603208,0.2847669867593894
6,04013,40.0,0.02087911636061261,1.0703065703652388,38.0,0.027842242065130043,1.355888218459887,33.0,0.04132782332419955,1.7478033104953932,32.0,0.030045132067233478,1.232140353208235,29.0,0.08216381074099212,3.0536176483006323,45.0,0.017347216662217748,1.000410870208794
7,03705,30.0,0.027271780286589314,1.048505781644007,29.0,0.1317471545155677,4.896382391638693,31.0,0.031893096666589,1.267052086857105,30.0,0.021065374432940893,0.809890907499558,26.0,0.11213369028548653,3.736332764727124,21.0,0.01809367161139363,0.4869474367806594
8,03707,30.0,0.0,0.0,39.0,0.09090593428863093,4.543525053790692,33.0,0.0266662362224213,1.1277471736748628,29.0,0.0,0.0,27.0,0.3184417973923565,11.018688767541294,29.0,0.13835065480903225,5.141801449674441
9,03702,36.0,0.010554641773312952,0.4869474367806594,38.0,0.07147777292390034,3.4808931681061055,38.0,0.027316499331614105,1.3302850943778672,30.0,0.03373713746666192,1.297076440121819,31.0,0.12196097617121975,4.8452776783748055,46.0,0.043853678124715634,2.5852344933584424
10,04003,31.0,0.0,0.0,29.0,0.032894455221274,1.222522277010253,38.0,0.019998268623119275,0.9738948735613188,31.0,0.031014329875853914,1.232140353208235,27.0,0.05849477952624846,2.0240300595073486,27.0,0.008229809645662585,0.2847669867593894
11,03703,43.0,0.021746051406122128,1.1983535076289544,37.0,0.08823972510680644,4.18409904059256,44.0,0.0316095023765935,1.7824051192996033,37.0,0.028054783097333405,1.3302850943778672,37.0,0.34516315046406115,16.36674190628439,54.0,0.019060360046517472,1.3190490499027436
12,03709,34.0,0.022351006108192132,0.9738948735613188,34.0,0.04051463915869387,1.7653343742041558,36.0,0.03139626265404813,1.4484934640356144,32.0,0.019748788530882088,0.809890907499558,32.0,0.09528688180305826,3.9076816816183233,41.0,0.057704966655224295,3.032027504624768
13,04002,30.0,0.028867513459481256,1.1098562120213409,32.0,0.04086467759569381,1.6758461295435763,34.0,0.032478033566702605,1.4151573419494055,32.0,0.028287292172237,1.160051954187131,29.0,0.07166588317281353,2.6634622185114125,29.0,0.007662236566651373,0.2847669867593894
14,04018,45.0,0.014010578014353898,0.8079875184815998,38.0,0.03605839370011765,1.7560062541015546,34.0,0.06193516394482196,2.6986856147354343,30.0,0.04886915637131916,1.8788503156352385,31.0,0.1496092725845836,5.943691922523621,54.0,0.023405971592156547,1.619781814999116
15,04014,28.0,0.020183311706173795,0.7242467320178072,33.0,0.009582659576267813,0.4052621886075501,38.0,0.07608859102526822,3.705435212043582,33.0,0.052835138709583944,2.234461506058103,25.0,0.25274295242399936,8.09757815898352,25.0,0.039191835884530846,1.2556589658596888
