,lep-anh-count,lep-anh-fraction,lep-anh-fraction-se,lep-anh-se,lep-bnh-count,lep-bnh-fraction,lep-bnh-fraction-se,lep-bnh-se,lep-count,lep-fraction,lep-fraction-se,lep-hsp-count,lep-hsp-fraction,lep-hsp-fraction-se,lep-hsp-se,lep-onh-count,lep-onh-fraction,lep-onh-fraction-se,lep-onh-se,lep-se,lep-wnh-count,lep-wnh-fraction,lep-wnh-fraction-se,lep-wnh-se,not_lep-anh-count,not_lep-anh-fraction,not_lep-anh-fraction-se,not_lep-anh-se,not_lep-bnh-count,not_lep-bnh-fraction,not_lep-bnh-fraction-se,not_lep-bnh-se,not_lep-count,not_lep-fraction,not_lep-fraction-se,not_lep-hsp-count,not_lep-hsp-fraction,not_lep-hsp-fraction-se,not_lep-hsp-se,not_lep-onh-count,not_lep-onh-fraction,not_lep-onh-fraction-se,not_lep-onh-se,not_lep-se,not_lep-wnh-count,not_lep-wnh-fraction,not_lep-wnh-fraction-se,not_lep-wnh-se,total_pop-anh-count,total_pop-anh-fraction,total_pop-anh-fraction-se,total_pop-anh-se,total_pop-bnh-count,total_pop-bnh-fraction,total_pop-bnh-fraction-se,total_pop-bnh-se,total_pop-count,total_pop-fraction,total_pop-fraction-se,total_pop-hsp-count,total_pop-hsp-fraction,total_pop-hsp-fraction-se,total_pop-hsp-se,total_pop-onh-count,total_pop-onh-fraction,total_pop-onh-fraction-se,total_pop-onh-se,total_pop-se,total_pop-wnh-count,total_pop-wnh-fraction,total_pop-wnh-fraction-se,total_pop-wnh-se
4001,4059.0,0.3697058019856089,0.03309750451259642,422.7734588405474,182.0,0.030097569042500414,0.019936140367602957,122.92940047035128,31081.0,0.19111480046731846,0.006858379592242929,10504.0,0.27869461395595646,0.014719009749314598,590.8915462037006,217.0,0.04750437828371278,0.01981005878772262,97.50639722602821,1166.7228451950361,16119.0,0.15597120352988988,0.008059276430019122,845.9564169477054,6920.0,0.6302941980143911,0.033097504512596417,456.0059319789602,5865.0,0.9699024309574996,0.01993614036760295,512.7727347470807,131549.0,0.8088851995326816,0.006858379592242922,27186.0,0.7213053860440435,0.014719009749314595,1087.1206277938986,4351.0,0.9524956217162872,0.01981005878772262,407.69688495253433,1942.0026873050408,87227.0,0.8440287964701101,0.008059276430019111,1578.9515269238002,10979.0,1.0,0.0,497.6722189353149,6047.0,1.0,0.0,523.9740356162698,162630.0,1.0,0.0,37690.0,1.0,0.0,1164.7365356594598,4568.0,1.0,0.0,443.52339002582494,1937.4376660940604,103346.0,1.0,0.0,1507.2739888620117
3701,1463.0,0.31280735514218516,0.04397056364856904,243.64059596052545,624.0,0.04555077012920651,0.01080305110662997,160.99560358904216,23174.0,0.21029801444698537,0.007899485301917177,18659.0,0.3493017334980718,0.017241617066072124,941.9515642404339,173.0,0.06089405139035551,0.030239625867339824,93.99055471163047,948.0289470132228,2255.0,0.0634121650122325,0.00923947181669932,323.7178980223367,3214.0,0.6871926448578148,0.04397056364856904,317.080742871591,13075.0,0.9544492298707935,0.01080305110662998,801.414380954073,87022.0,0.7897019855530146,0.007899485301917173,34759.0,0.6506982665019282,0.017241617066072124,1354.7157116439596,2668.0,0.9391059486096445,0.030239625867339828,403.08208763848586,1505.2835528148842,33306.0,0.9365878349877675,0.009239471816699327,922.9574336744897,4677.0,1.0,0.0,371.71763140857337,13699.0,1.0,0.0,858.4627361598173,110196.0,1.0,0.0,53418.0,1.0,0.0,1267.8981978061172,2841.0,1.0,0.0,436.0219919912297,1600.8310779092214,35561.0,1.0,0.0,868.1606472162857
4101,9004.0,0.3523243074033495,0.016316004377989527,535.3622488558565,317.0,0.028581732936615274,0.007353024841455987,79.56726321170032,34740.0,0.21185510428100987,0.00575771162177367,14991.0,0.3596947956906687,0.013748981972468016,711.8293756231194,501.0,0.10946034520428229,0.02408753130727531,118.91387639800496,1001.3814579744325,9927.0,0.1224361425276582,0.006263997802972021,528.0036339837067,16552.0,0.6476756925966505,0.01631600437798952,694.0834959678842,10774.0,0.9714182670633847,0.007353024841455994,746.4664723716666,129240.0,0.7881448957189902,0.0057577116217736694,26686.0,0.6403052043093312,0.013748981972468016,890.73544894093,4076.0,0.8905396547957177,0.02408753130727531,377.42568804997893,1632.3079594166659,71152.0,0.8775638574723418,0.0062639978029720165,1135.0484898782959,25556.0,1.0,0.0,889.6213235838045,11091.0,1.0,0.0,744.8083041964557,163980.0,1.0,0.0,41677.0,1.0,0.0,1104.6866705088823,4577.0,1.0,0.0,405.4120866476479,1658.6653550369947,81079.0,1.0,0.0,1158.5136271857143
3801,1560.0,0.24707000316756414,0.05325600564178258,376.161593434258,713.0,0.043909348441926344,0.013544108603676854,224.09582213865568,74470.0,0.34380554465501717,0.00875288105925067,69560.0,0.4700508163044653,0.011857231205402444,2027.304321013498,357.0,0.08684018486986135,0.02768735949371562,116.75923678664572,2107.058269098176,2280.0,0.05434005434005434,0.008518959754431264,360.5296719758306,4754.0,0.7529299968324359,0.05325600564178259,484.279593184557,15525.0,0.9560906515580736,0.01354410860367685,855.4286995419315,142135.0,0.6561944553449828,0.008752881059250667,78424.0,0.5299491836955347,0.011857231205402448,2338.2125917835187,3754.0,0.9131598151301387,0.02768735949371563,465.2558644176342,2495.568672166727,39678.0,0.9456599456599457,0.008518959754431258,1153.4828994722895,6314.0,1.0,0.0,519.4906904844398,16238.0,1.0,0.0,874.9518829627146,216605.0,1.0,0.0,147984.0,1.0,0.0,2593.8738730661134,4111.0,1.0,0.0,479.5469085501438,2560.7884468216034,41958.0,1.0,0.0,1153.8757634598276
3901,2824.0,0.3562507884445566,0.03471821515972147,319.492987990347,,0.0,0.0,,10719.0,0.06509184757856384,0.004194841659232286,1174.0,0.06657215764105472,0.012877473986868329,213.35050972519377,126.0,0.05101214574898785,0.031771678677648386,87.09003602594271,703.1927740669695,6595.0,0.048762273748964864,0.004046287100310747,554.604884129233,5103.0,0.6437492115554434,0.03471821515972147,511.1666502961632,1395.0,1.0,0.0,304.9008435131002,153956.0,0.9349081524214362,0.004194841659232289,16461.0,0.9334278423589453,0.012877473986868327,1000.5365947830194,2344.0,0.9489878542510122,0.03177167867764839,351.5550374763531,1417.4700788288267,128653.0,0.9512377262510351,0.004046287100310758,1266.9662179789957,7927.0,1.0,0.0,602.8539935175017,1395.0,1.0,0.0,304.9008435131002,164675.0,1.0,0.0,17635.0,1.0,0.0,964.165544655066,2470.0,1.0,0.0,381.89456660183055,1382.0391218684804,135248.0,1.0,0.0,1235.8447879891714
